keys,ro
Text/11/text,"Granița Spud este în [pulse freq=3][color=CRIMSON]haos[/color][/pulse]. Cartofi panicați inundă punctele de control, disperați să scape după documentele scurse."
Text/12/text,Te strecori cu Sasha. [wave amp=20 freq=3][color=CHARTREUSE]Trebuie să continuăm să împingem![/color][/wave] Oamenii cunosc acum adevărul.
Text/13/text,"Nu mai pot reduce adevărul la tăcere. Dacă putem infiltra facilitatea [color=DARK_VIOLET]Rezerva Rădăcină[/color] și transmite dovezi, va [tornado radius=3 freq=2][color=CHARTREUSE]aprinde revoluția[/color][/tornado]."
Text/14/text,Acel loc este o fortăreață. Și acum avem un [color=YELLOW]fost agent vamal[/color] printre noi. Ochii lor se îngustează suspicioși spre tine.
Choice/15/text,"Înțeleg îndoiala voastră, dar sunt dedicat acestei cauze."
Choice/16/text,Am sacrificat deja totul. Nu voi da înapoi acum.
Text/17/text,Cuvinte frumoase. Dar le-am mai auzit înainte.
Text/18/text,"Ne-au ajutat să obținem documentele. Asta înseamnă acțiuni, nu vorbe."
Text/19/text,"Nu mai poți reveni la a fi un cartof loial acum. Bun venit în rezistență, tovarășe."
Text/1a/text,"După o infiltrare tensionată, echipa ta stă în inima [color=DARK_VIOLET]Rezervei Rădăcină[/color], [pulse freq=3][color=CRIMSON]îngrozitoarea mașinărie a opresiunii[/color][/pulse] expusă."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Alarmele urlă[/color][/wave] în timp ce gărzile se grăbesc să răspundă la intruziunea voastră. Voi alergați prin coridoare, evitând sistemele de securitate."
Text/1c/text,"Un ecran pâlpâie. ""Ei bine, [color=CRIMSON]trădătorul[/color] se întoarce cu scursurile rebele."""
Text/1d/text,Ai crezut că poți opri progresul Spud? [color=DARK_VIOLET]Rezerva Rădăcină[/color] este forța vitală a acestei națiuni.
Text/1e/text,Dar nu-ți face griji. Vei servi în continuare Spud... [tornado radius=4 freq=3][color=DARK_VIOLET]în cazanele de procesare![/color][/tornado]
Text/1f/text,Ecranul devine brusc negru.
Text/20/text,"Te întorci spre ceilalți cu hotărâre. ""Trebuie să ajungem la buncărul lui Idaho. Acum!"""
Text/21/text,"Grupul tău luptă prin valuri de securitate, evitând la limită capturarea. Luptătorii de rezistență ai Sashei creează diversiuni, eliberându-vă calea înainte."
Text/22/text,"După o evadare înfricoșătoare prin tunelurile de întreținere, ajungeți în sfârșit la ascensorul securizat către buncărul privat al lui Idaho."
Text/23/text,"Cu Sasha și aliații tăi alături, îl confrunți în sfârșit pe Idaho."
Text/24/text,"S-a terminat, Idaho. Secretele tale sunt expuse. Cum se termină asta... [pulse freq=2]depinde de tine.[/pulse]"
Choice/25/text,Negociază o tranziție pașnică a puterii (Diplomatic)
Choice/26/text,Cere arestarea imediată a lui Idaho (Justiție)
Choice/27/text,Execută justiție vigilantă pentru crimele lui Idaho (Răzbunare)
Choice/28/text,Concentrează-te pe demontarea infrastructurii Rezervei Rădăcină (Demontare)
Text/29/text,"Idaho, nu trebuie să se termine cu mai multă vărsare de sânge. Dacă cooperezi..."
Text/2a/text,"Oh, tu [color=STEEL_BLUE]idealist naiv[/color]. Crezi că asta e o negociere?"
Text/2b/text,"Idaho zdrobește un buton, și [color=RED]alarmele încep să sune[/color]. ""Singurul lucru pe care vi-l voi da este un [color=DARK_VIOLET]bilet doar dus către cazanele de prăjit![/color]"""
Text/2c/text,"Nu cred, Idaho. Gărzi! Ați văzut dosarul, [color=YELLOW]știți ce le-a făcut familiilor voastre.[/color]"
Text/2d/text,O gardă uriașă pășește înainte și îl doboară rapid pe Idaho la pământ.
Text/2e/text,Un foc de armă răsună prin cameră. Ecranul se întunecă.
Text/2f/text,"Idaho, în numele poporului cartof din Spud, [color=CHARTREUSE]ești arestat![/color]"
Text/30/text,"S-a terminat. Poporul a vorbit. [color=CHARTREUSE]Vom construi un nou Spud unde rădăcinile noastre sunt în pământ, nu în suferință.[/color]"
Text/31/text,"Nu vor fi [color=CRIMSON]înțelegeri, nici milă[/color] pentru tine, Idaho. Justiția unui tiran este tot ce meriți."
