keys,ko
Text/d2/text,"근무를 마친 후, 당신은 버려진 전분 공장의 비밀 저항군 회의로 이끌려 갑니다."
Text/d2b/text,시작하기 전에... 고백할 것이 있습니다.
Text/d2c/text,"첫날 찾았던 그 쪽지 말입니다? ""[color=GOLD]친구[/color]""?"
Text/d2d/text,사샤가 미소 짓습니다. 그걸 간직했군요. 현명해요. 제가 올바른 새싹을 골랐다는 걸 알았습니다.
Text/d2e/text,"저는 몇 달 동안 신입 장교들을 지켜봐 왔습니다. [color=CHARTREUSE]의심하는 눈빛[/color]을 가진 사람을, 거짓말을 꿰뚫어 볼 수 있는 사람을 찾아서요."
Text/d2f/text,사샤의 표정이 복잡해집니다. 당신이 그걸 러셋에게 보여줬죠. 그 후 몇 주 동안 잠적해야 했습니다.
Text/d2g/text,하지만 어쨌든 당신은 여기 있군요. 그건 당신의 양심에 대해 무언가를 말해줍니다.
Text/d2h/text,당신은 그걸 파괴했죠. 당신을 탓하지 않습니다. 간직하는 건 위험했으니까요.
Text/d2i/text,"하지만 그 말들은 어쨌든 당신의 머릿속에 들어왔겠죠, 안 그런가요?"
Text/d2j/text,"[color=CHARTREUSE]제가 바로 ""친구""입니다.[/color] 이제 그 이유를 아시겠죠."
Text/d2k/text,사샤가 압수된 문서들을 테이블에 펼칩니다. 지난달의 처리 명세서들입니다.
Text/d2l/text,"당신은 이름들을 훑어보고, 등골이 오싹해집니다."
Text/d2m/text,저기 있군요. [color=GOLD]마리스 파이퍼[/color]. 사진 속 그 여자.
Text/d2n/text,"""[color=CRIMSON]상태: 처리됨. 배치 RR-2847.[/color]"" 그녀의 남편이 당신에게 도움을 간청한 지 사흘 뒤의 날짜입니다."
Text/d2o/text,당신은 주머니 속 사진을 느낍니다. [color=STEEL_BLUE]그녀는 사라졌습니다. 그리고 당신은 그녀를 구할 수 없었습니다.[/color]
Text/d2p/text,하지만 어쩌면... [color=CHARTREUSE]어쩌면 당신은 아직 다른 이들을 구할 수 있을지도 모릅니다.[/color]
Text/d2q/text,머피가 그림자 속에서 나타납니다. 이봐요. 와줘서 기쁩니다.
Text/d2r/text,머피가 구겨진 RR-UTIL 양식을 들어 올립니다. 제 사촌도 그 명단에 있습니다. [color=CHARTREUSE]우리는 이걸 함께 할 겁니다.[/color]
Text/d3/text,전투의 상처를 가진 풍파를 겪은 감자가 모인 그룹에게 연설합니다.
Text/d4/text,속삭임과 전단지의 시대는 끝났습니다. 정부는 본색을 드러냈습니다.
Text/d5/text,우리 소식통에 따르면 [wave amp=15 freq=2][color=DARK_VIOLET]뿌리 보존소[/color][/wave] 처리 공장들이 생산량을 늘리고 있습니다.
Text/d6/text,"이는 [tornado radius=3 freq=3][color=CRIMSON]더 많은 우리 형제자매들이 사라지고, 처리되고, 소비된다는 것[/color][/tornado]을 의미합니다."
Text/d7/text,리더가 테이블을 주먹으로 내리칩니다. [pulse freq=3][color=CHARTREUSE]이것은 지금 끝납니다.[/color][/pulse] 우리는 그들의 작전의 심장부를 타격할 계획이 있습니다.
Text/d8/text,"사샤가 테이블 위에 상세한 계획들을 펼칩니다. 사흘 안에, 우리는 주 공격을 개시할 것입니다."
Text/d9/text,"한 팀이 주요 정부 단지에서 시선을 끄는 동안, 다른 팀은 가장 큰 뿌리 보존소 시설에 침투할 것입니다."
Text/da/text,우리의 목표: 내부에서 벌어지는 일에 대한 [color=CHARTREUSE]반박할 수 없는 증거[/color]를 확보하여 스퍼드 전역에 방송하는 것입니다.
Text/db/text,사샤가 계획의 한 부분을 가리킵니다. 여기가 당신이 나설 차례입니다.
Text/dc/text,우리 요원들이 임무를 위해 국경을 넘을 수 있도록 스퍼드 세관 내부에 사람이 필요합니다.
Text/dd/text,당신이 그 사람이 되어줄 것이라 믿어도 될까요?
Choice/de/text,"""진실을 폭로하기 위해서라면 무엇이든 하겠습니다."""
Choice/df/text,"""위험하게 들리네요. 만약 우리가 잡히면 어떻게 되나요?"""
