keys,sk
Text/102/text,"Dobre, podarilo sa ti to. Odboj [color=CHARTREUSE]silnie[/color]. Vďaka tým manifestom ľudia vidia pravdu."
Text/103/text,"Podarilo sa mi získať tento spis z našich zdrojov - výrobné plány, zoznamy '[color=CRIMSON]ingrediencií[/color]', mená [color=DARK_SLATE_BLUE]zmiznutých[/color]."
Text/104/text,Toto nie je len program doplnkov stravy. [color=CRIMSON]Spracovávajú zemiaky[/color]...a nie dobrým spôsobom.
Text/105/text,"Interné memorandá od samotného premiéra Idaha, povoľujúce ""[color=DARK_ORANGE]využitie odmietnutých aktív.[/color]"""
Text/106/text,"Kvóty pre každý kontrolný bod, pričom Zemiakový colný úrad má najvyšší pomer odmietnutia k spracovaniu."
Text/107/text,"Situácia vonku sa zhoršila. Pri kontrolných bodoch sa zhromažďujú nahnevané davy, ktoré požadujú odpovede ohľadom Root Reserve."
Text/108/text,[color=YELLOW]NÚDZOVÉ VYSIELANIE[/color]: Nedávne šírenie [color=CRIMSON]falošných dokumentov[/color] spôsobilo zbytočnú paniku.
Text/109/text,Za informácie vedúce k dolapeniu týchto sabotérov je ponúkaná odmena [color=GOLD]10 000 zemiakových kreditov[/color].
Text/10a/text,Konzumácia alebo distribúcia tejto propagandy je teraz klasifikovaná ako [color=RED]vlastizrada[/color].
Text/10b/text,Dnešná zmena bude fungovať podľa špeciálnych protokolov. Každý cestujúci musí podstúpiť Hodnotenie lojality.
Text/10c/text,"Tí, ktorí prejavujú [color=CRIMSON]protivládne nálady[/color], musia byť okamžite označení."
Text/10d/text,[color=CRIMSON]Zradca medzi nami[/color] bude nájdený. A keď sa tak stane... [prejde prstom cez hrdlo]
Text/10e/text,"Nervózny zemiak sa približuje, [color=GOLD]žltý listový odznak[/color] čiastočne viditeľný. Malá poznámka je zastrčená medzi papiermi: ""[color=CHARTREUSE]Bezpečný dom kompromitovaný. Nová lokácia: Sklad 7, Sektor 4.[/color]"""
Choice/10f/text,Rýchlo ich spracujte s UV značkou (Pomoc)
Choice/110/text,Okamžite ich nahláste bezpečnosti (Zrada)
Text/111/text,"Ich tvár zaplaví úľava. ""Ďakujem. Pravda zvíťazí."""
Text/112/text,"Hrôza sa rozvíja, keď signalizujete bezpečnosti. ""[wave amp=25 freq=3]Nie, prosím! Mám rodinu![/wave]"" Ich žltý odznak padá na podlahu."
Text/113/text,Dobre urobené. Vaša lojalita je zaznamenaná.
Text/114/text,Vaše rozhodnutie bolo spozorované. Buďte pripravený. [tornado radius=3 freq=2][color=CHARTREUSE]Niečo veľké prichádza[/color][/tornado]. Odboj plánuje priamu akciu.
Text/115/text,"Keď sa to stane, budete si musieť [color=YELLOW]vybrať stranu[/color]. Nebude existovať žiadna stredná cesta."
Text/116/text,"S každým zemiakom, ktorý spracujete, buď [pulse freq=2][color=CHARTREUSE]pomáhate revolúcii[/color][/pulse], alebo [pulse freq=2][color=CRIMSON]umožňujete hrozný systém[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
