keys,el
Text/56/text,Καλώς ήρθατε στο έθνος της Σπαντ. Μια γη [pulse freq=2][color=MEDIUM_VIOLET_RED]ευημερίας για όλες τις πατάτες[/color][/pulse].
Text/57/text,Έχετε επιλεγεί για έναν [color=DARK_ORANGE]κρίσιμο ρόλο[/color] στην προστασία των συνόρων μας.
Text/59/text,"ΙΔΟΥ! Το [color=MEDIUM_VIOLET_RED]ισχυρό τείχος[/color] που προστατεύει το έθνος μας. Εδώ θα υπηρετήσετε, διασφαλίζοντας ότι μόνο οι άξιοι εισέρχονται."
Text/5a/text,"Α, το νέο βλαστάρι. Ακούστε προσεκτικά, ο ρόλος σας είναι [color=DARK_ORANGE]ζωτικής σημασίας για την ασφάλεια της Σπαντ[/color]."
Text/184/text,Ο Ράσετ πλησιάζει άβολα. Έχω δει πολλά βλαστάρια να περνούν από εδώ. [color=STEEL_BLUE]Οι περισσότεροι δεν αντέχουν.[/color]
Text/184b/text,Αυτοί που κάνουν πολλές ερωτήσεις; [color=CRIMSON]Μετατίθενται[/color]. Μόνιμα.
Text/5b/text,Σας διορίζω ως Τελωνειακό Υπάλληλο της [pulse freq=1][color=MEDIUM_VIOLET_RED]ένδοξης Σπαντ[/color][/pulse]. Καμία ερώτηση;
Choice/5c/text,"""Είμαι έτοιμος να υπηρετήσω τη Σπαντ με όλο μου το άμυλο!"""
Choice/5d/text,"""Τι ακριβώς συμβαίνει στις απορριφθείσες πατάτες;"""
Text/5e/text,Εξαιρετικά! Αυτός είναι ο ενθουσιασμός που χρειαζόμαστε. Μπορεί να κερδίσετε μια διάκριση [color=VIOLET]Αποθεματικού Ρίζας[/color].
Text/5f/text,[color=VIOLET]Επεξεργάζονται[/color]... Σύμφωνα με το πρωτόκολλο. Το [color=VIOLET]Αποθεματικό Ρίζας[/color] χειρίζεται όλες τις λεπτομέρειες.
Text/60/text,Επικεντρωθείτε στα καθήκοντά σας. [color=DARK_ORANGE]Τίποτα περισσότερο.[/color]
Text/61/text,"Η πρώτη σας βάρδια αρχίζει τώρα. Ελέγξτε τα έγγραφα προσεκτικά, απορρίψτε όσους δεν πληρούν τα πρότυπά μας."
Text/62/text,"Εκπληρώστε την ποσόστωσή σας, αποφύγετε τις ποινές."
Text/62b/text,"Και θυμηθείτε, [color=MEDIUM_VIOLET_RED]Δόξα στη Σπαντ![/color]"
Choice/5c/disabled_text,
Choice/5d/disabled_text,
