keys,pt
Character/173/name,Locutor de rádio
Character/174/name,Oficial colega
Character/175/name,Narrador
Character/176/name,Batata silenciosa
Character/177/name,Batata preocupada
Character/178/name,Batata antiga
Character/179/name,Você
Character/17a/name,Primeiro-ministro Idaho
Character/17b/name,Líder da resistência
Character/17c/name,Membro desconfiado da resistência
Character/17d/name,Membro descarado da resistência
Character/17e/name,Chefe de segurança
Character/17f/name,Oficial de segurança
Character/180/name,Batatônio Amassado
Character/181/name,Supervisor Casca-Grossa
Character/181/nicknames,"Casca,Casca-Grossa,Supervisor Casca-Grossa"
Character/182/name,Batata-doce Sasha
Character/183/name,Viajante nervoso
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
