keys,th
Text/215/text,เมอร์ฟีดักคุณไว้ที่ทางเดิน ตาของเขาแดงก่ำ มีเวลาหน่อยไหม?
Text/216/text,เมอร์ฟีดึงคุณเข้าไปในห้องเก็บของว่างเปล่าและปิดประตู
Text/217/text,เรื่องตลกที่ฉันพูดในโรงอาหาร... เกี่ยวกับลูกพี่ลูกน้องของฉันที่อยู่ในชุด [color=DARK_VIOLET]Root Reserve[/color]...
Text/218/text,เสียงของเมอร์ฟีสั่นเครือ ฉันไม่คิดว่ามันเป็นเรื่องตลกอีกต่อไปแล้ว
Text/219/text,คุณบอกว่ามันไม่ตลก คุณพูดถูก [color=STEEL_BLUE]ไม่มีอะไรเกี่ยวกับเรื่องนี้ที่ตลกเลย[/color]
Text/21a/text,ฉันเห็นคุณออกไป ฉลาดนะ ฉันหวังว่าฉันจะหยุดกินของพวกนั้นได้ แต่พวกเขา [color=YELLOW]จับตาดู[/color] พวกเขาจับตาดูอยู่เสมอ
Text/21b/text,ฉันเจออะไรบางอย่างในข้าวของของลูกพี่ลูกน้องฉัน แบบฟอร์มปฏิเสธของเขา เป็นของธรรมดาๆ ทั่วไป แต่...
Text/21c/text,"เมอร์ฟีดึงแบบฟอร์มที่ยับยู่ยี่ออกมา ดูรหัสการประมวลผลสิ ""[color=CRIMSON]RR-UTIL-7[/color]"""
Text/21d/text,ฉันไปค้นดูในหอจดหมายเหตุ RR ย่อมาจาก [pulse freq=2][color=DARK_VIOLET]Root Reserve[/color][/pulse] UTIL หมายถึง... [color=CRIMSON]การนำไปใช้ประโยชน์[/color]
Text/21d_breakdown1/text,[wave amp=20 freq=3]มือของเมอร์ฟีเริ่มสั่น[/wave] ลูกพี่ลูกน้องของฉัน... ทอมมี่... เขาอายุแค่ยี่สิบสามเอง
Text/21d_breakdown2/text,เขามาที่นี่เพื่อ [color=CHARTREUSE]ชีวิตที่ดีขึ้น[/color] ตรวจไม่ผ่านแค่ครั้งเดียว ครั้งเดียวเท่านั้น [color=STEEL_BLUE]แค่จังหวะไม่ดี[/color]
Text/21d_breakdown3/text,เมอร์ฟีทรุดตัวลงกับกำแพง ซบหน้าในมือ แล้วฉัน... ฉัน [tornado radius=3 freq=2][color=CRIMSON]กิน[/color][/tornado] ของพวกนั้น ทุกวัน
Text/21d_breakdown4/text,เมอร์ฟีเงยหน้ามองคุณ น้ำตาไหลพราก [pulse freq=2][color=CRIMSON]ถ้าฉันกินเขาเข้าไปล่ะ?[/color][/pulse]
Choice/21e/text,เมอร์ฟี... ฉันเสียใจด้วยจริงๆ ฉันอยู่ข้างคุณ เราจะหาความจริงด้วยกัน
Choice/21f/text,เมอร์ฟี นี่มันอันตรายนะ เราไม่ควรเข้าไปยุ่งกับเรื่องนี้
Choice/220/text,บางทีมันอาจจะเป็นเรื่องบังเอิญ อย่าเพิ่งด่วนสรุปเลย
Text/221_comfort1/text,คุณคุกเข่าลงข้างเมอร์ฟี วางมือบนไหล่ของเขา
Text/221/text,เมอร์ฟีคว้าแขนคุณไว้ราวกับเป็นที่พึ่ง [color=CHARTREUSE]ขอบคุณนะ[/color] ฉันคิดว่าฉันกำลังจะบ้าแล้ว
Text/221_tommy/text,[color=STEEL_BLUE]เสียงของเขาเริ่มมั่นคงขึ้นเล็กน้อย[/color] เพื่อทอมมี่ เราทำสิ่งนี้เพื่อทอมมี่ และทุกคนที่พวกเขาพาไป
Text/222/text,มีคนอื่นที่สงสัยเหมือนกัน ซาชากำลังรวบรวมผู้คนอยู่ ฉันคิดว่าเธอเชื่อใจคุณ
Text/223/text,เมอร์ฟีเช็ดตา พยายามรวบรวมสติ ใช่ ใช่ คุณอาจจะพูดถูก ลืมไปเถอะว่าฉันพูดอะไรไป
Text/224/text,แต่ถ้าคุณเปลี่ยนใจ... ฉันจะอยู่ที่นี่ [color=STEEL_BLUE]อยู่คนเดียวกับคำถามของฉัน และฝันร้ายของฉัน[/color]
Text/225/text,เรื่องบังเอิญงั้นเหรอ เมอร์ฟีหัวเราะอย่างขมขื่นทั้งน้ำตา แน่นอนสิ แล้วทอมมี่ก็แค่ [color=CRIMSON]หายไป[/color] ในอากาศธาตุ
Text/226/text,บอกตัวเองแบบนั้นต่อไปเถอะ ดูสิว่ามันจะช่วยให้คุณนอนหลับได้นานแค่ไหน [color=STEEL_BLUE]มันไม่ช่วยให้ฉันหลับเลย[/color]
Text/227/text,ซาชาปรากฏตัวที่บูธของคุณเมื่อกะสุดท้ายสิ้นสุดลง คุณดูเหมือนเห็นผีเลยนะ
Text/228/text,ให้ฉันเดา เมอร์ฟีย์เล่าเรื่องลูกพี่ลูกน้องของเขาให้คุณฟังใช่ไหม?
Text/229/text,ซาช่าพยักหน้าเห็นด้วย ดี เราต้องการคนที่ตั้งคำถาม
Text/22a/text,ซาช่าจ้องมองใบหน้าของคุณอย่างละเอียด คุณกลัว นั่นฉลาด แต่ความกลัวช่วยใครไม่ได้
Text/22b/text,"ฉันเฝ้าดูคุณมาตั้งแต่วันแรก วิธีที่คุณ[color=YELLOW]ลังเล[/color]ตอนที่รัสเซ็ตพูดถึง ""การแปรรูป"""
Text/22c/text,คุณถามว่าเกิดอะไรขึ้นกับมันฝรั่งที่ถูกปฏิเสธ นั่นต้องใช้ความกล้า [color=CHARTREUSE]ส่วนใหญ่แค่ทำความเคารพแล้วประทับตรา[/color]
Text/22d/text,ซาช่าโน้มตัวเข้ามาใกล้ขึ้น มันมีรูปแบบบางอย่าง มันฝรั่งทุกหัวที่เราปฏิเสธน่ะเหรอ? หายไปภายใน 48 ชั่วโมง ไม่มีบันทึกการเนรเทศ ไม่มีการโอนย้าย
Text/22e/text,แต่การผลิต[color=DARK_VIOLET]หัวเชื้อสำรอง[/color]น่ะเหรอ? [tornado radius=3 freq=2][color=CRIMSON]มันเพิ่มขึ้น[/color][/tornado] ทุก. ครั้ง. ไป.
Choice/22f/text,ฉันเชื่อคุณ ฉันจะช่วยอะไรได้บ้าง?
Choice/230/text,ฉันต้องเห็นหลักฐานก่อนที่ฉันจะเสี่ยงทุกอย่าง
Text/231/text,ดวงตาของซาช่าเป็นประกาย ฉันรู้ว่าฉันเลือกไม่ผิด คืนพรุ่งนี้ หลังเลิกงาน ฉันจะแสดงสิ่งที่เราพบให้คุณดู
Text/232/text,จนกว่าจะถึงตอนนั้น
Text/233/text,ยุติธรรมดี หลักฐานกำลังจะมา แค่... คอยจับตาดูให้ดีระหว่างกะพรุ่งนี้
