keys,ru
Text/215/text,"Мёрфи ловит тебя в коридоре, глаза красные. Есть минутка?"
Text/216/text,Мёрфи затаскивает тебя в пустую кладовку и закрывает дверь.
Text/217/text,"Та шутка, что я рассказал в столовой... про моего кузена, который попал в партию [color=DARK_VIOLET]«Корневого Резерва»[/color]..."
Text/218/text,"Голос Мёрфи дрожит. Мне кажется, это уже не шутка."
Text/219/text,"Ты сказал, что это не смешно. Ты был прав. [color=STEEL_BLUE]В этом нет ничего смешного.[/color]"
Text/21a/text,"Я видел, как ты ушёл. Умно. Я бы хотел перестать есть эту дрянь, но они [color=YELLOW]следят[/color]. Они всегда следят."
Text/21b/text,"Я нашёл кое-что среди вещей моего кузена. Его бланк отказа. Обычная штука, но..."
Text/21c/text,"Мёрфи достаёт скомканный бланк. Посмотри на код обработки. ""[color=CRIMSON]RR-UTIL-7[/color]."""
Text/21d/text,Я посмотрел это в архивах. RR означает [pulse freq=2][color=DARK_VIOLET]«Корневой Резерв»[/color][/pulse]. UTIL означает... [color=CRIMSON]утилизация[/color].
Text/21d_breakdown1/text,[wave amp=20 freq=3]Руки Мёрфи начинают дрожать.[/wave] Мой кузен... Томми... ему было всего двадцать три.
Text/21d_breakdown2/text,Он приехал сюда за [color=CHARTREUSE]лучшей жизнью[/color]. Провалил одну проверку. Одну. [color=STEEL_BLUE]Просто неудачное время.[/color]
Text/21d_breakdown3/text,"Мёрфи сползает по стене, закрыв лицо руками. А я... я [tornado radius=3 freq=2][color=CRIMSON]ЕЛ[/color][/tornado] эту дрянь. Каждый день."
Text/21d_breakdown4/text,"Мёрфи смотрит на тебя, слёзы текут. [pulse freq=2][color=CRIMSON]Что, если я съел ЕГО?[/color][/pulse]"
Choice/21e/text,Мёрфи... Мне так жаль. Я с тобой. Мы найдём правду вместе.
Choice/21f/text,"Мёрфи, это опасно. Нам не стоит в это вмешиваться."
Choice/220/text,"Может, это совпадение. Давай не будем делать поспешных выводов."
Text/221_comfort1/text,"Ты опускаешься на колени рядом с Мёрфи, кладя руку ему на плечо."
Text/221/text,"Мёрфи хватает тебя за руку, как за спасательный круг. [color=CHARTREUSE]Спасибо.[/color] Я думал, что схожу с ума."
Text/221_tommy/text,"[color=STEEL_BLUE]Его голос немного выравнивается.[/color] За Томми. Мы делаем это ради Томми. И всех остальных, кого они забрали."
Text/222/text,"Есть и другие, кто тоже подозревает. Саша собирает людей. Я думаю, она тебе доверяет."
Text/223/text,"Мёрфи вытирает глаза, пытаясь взять себя в руки. Да. Да, ты, наверное, прав. Забудь, что я что-то говорил."
Text/224/text,Но если ты передумаешь... Я буду здесь. [color=STEEL_BLUE]Один со своими вопросами. И своими кошмарами.[/color]
Text/225/text,Совпадение. Мёрфи горько смеётся сквозь слёзы. Конечно. И Томми просто [color=CRIMSON]исчез[/color] в никуда.
Text/226/text,"Продолжай говорить себе это. Посмотрим, как долго это поможет тебе спать. [color=STEEL_BLUE]Мне это не помогает.[/color]"
Text/227/text,"Саша появляется у твоей будки, когда заканчивается последняя смена. Ты выглядишь так, будто призрака увидел."
Text/228/text,Позволь угадать — Мерфи рассказал тебе о своём кузене?
Text/229/text,"Саша одобрительно кивает. Хорошо. Нам нужны люди, которые задают вопросы."
Text/22a/text,Саша внимательно изучает твоё лицо. Ты напуган. Это умно. Но страх никого не спасёт.
Text/22b/text,"Я наблюдаю за тобой с первого дня. Как ты [color=YELLOW]колебался[/color], когда Рассет говорил о «переработке»."
Text/22c/text,"Ты спросил, что происходит с отбракованными картофелинами. Это требовало мужества. [color=CHARTREUSE]Большинство просто отдают честь и ставят штамп.[/color]"
Text/22d/text,"Саша наклоняется ближе. Есть закономерность. Каждая картофелина, которую мы отбраковываем? Исчезает в течение 48 часов. Никаких записей о депортации. Никаких переводов."
Text/22e/text,Но производство [color=DARK_VIOLET]Корневого Резерва[/color]? [tornado radius=3 freq=2][color=CRIMSON]Оно растёт.[/color][/tornado] Каждый. Раз. И. Всегда.
Choice/22f/text,Я верю тебе. Чем я могу помочь?
Choice/230/text,"Мне нужны доказательства, прежде чем я рискну всем."
Text/231/text,"Глаза Саши загораются. Я знал, что выбрал правильно. Завтра вечером, после смены. Я покажу тебе, что я нашёл."
Text/232/text,А пока
Text/233/text,Ладно. Доказательства будут. Просто... смотри в оба во время завтрашней смены.
Text/234/text,"Следи, куда отправляются [color=CRIMSON]отбракованные картофелины[/color]. Следуй за грузовиками, если сможешь."
Text/235/text,"Ты достаёшь фотографию, которую дала тебе отчаявшаяся картофелина. Её жена. [color=STEEL_BLUE]Где она теперь?[/color]"
Text/236/text,"Если то, что говорят Саша и Мерфи, правда... она уже была..."
Text/237/text,Ты не можешь закончить мысль. Но ты [color=CHARTREUSE]не забудешь её лица[/color].
Text/238/text,"Завтра всё изменится. Либо ты найдёшь ответы, либо похоронишь вопросы навсегда."
Text/239/text,Одно можно сказать наверняка: [color=YELLOW]нет пути назад к блаженному неведению[/color].
Choice/21e/disabled_text,
Choice/21f/disabled_text,
Choice/220/disabled_text,
Choice/22f/disabled_text,
Choice/230/disabled_text,
