keys,ro
Text/69/text,Putem vorbi? Undeva privat? [color=YELLOW]Prea mulți ochi și urechi aici.[/color]
Text/6a/text,Întâlnește-mă la vechiul depozit după tura ta. Am ceva ce trebuie să vezi.
Text/6b/text,"Te apropii de colegi? Ține minte, prietenia poate duce la... [color=DARK_ORANGE]judecată compromisă[/color]."
Text/6c/text,Am adunat informații despre cartofii respinși. [wave amp=20 freq=3][color=CRIMSON]Nu merg în centre de deportare.[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]Merg în instalații de procesare Root Reserve.[/color][/tornado] Fiecare în parte.
Text/6e/text,Aceste documente arată cartofi fiind descărcați într-o instalație marcată cu logo-ul [color=DARK_VIOLET]Root Reserve[/color].
Text/6f/text,Cred că știu ce se întâmplă. [pulse freq=3][color=CRIMSON]Ei devin Root Reserve.[/color][/pulse]
Choice/70/text,E nebunie. Ei... procesează cartofi în mâncare?
Choice/71/text,Avem nevoie de mai multe dovezi înainte de a face acuzații.
Text/72/text,[color=CRIMSON]Canibalism cu pași suplimentari.[/color] Asta este [wave amp=25 freq=3][color=DARK_VIOLET]Root Reserve[/color][/wave]. Și noi am ajutat la selectarea ingredientelor lor.
Text/73/text,Colectez dovezi de luni de zile. Ține ochii deschiși. Vei vedea că am dreptate.
Text/74/text,O alarmă îndepărtată sună brusc
Text/75/text,Trebuie să plecăm. Fac verificări de securitate la ora asta. Gândește-te la ce ți-am arătat.
Text/76/text,"Sasha îți îndesă dosarul în mâini. ""[color=YELLOW]Păstrează-l în siguranță. Și nu te încrede în nimeni.[/color]"""
Text/77/text,Ascunzi dosarul în interiorul jachetei tale. [color=DARK_VIOLET]Root Reserve[/color]. Respingerile. Cartofii lipsă. Totul se conectează într-un mod [tornado radius=3 freq=2][color=CRIMSON]înfiorător[/color][/tornado].
Choice/71/disabled_text,
Choice/70/disabled_text,
Text/69_photo1/text,Scoți fotografia din nou. [color=GOLD]Maris Piper[/color]. O față atât de blândă.
Text/69_photo2/text,Soția ei era atât de disperată. [color=STEEL_BLUE]Ce s-a întâmplat cu ea?[/color]
Text/69_photo3/text,Observi ceva în fundalul fotografiei - un camion cu un [color=DARK_VIOLET]logo mov[/color].
Text/69_photo4/text,Acel simbol... l-ai văzut pe livrările de la cantină. [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve.[/color][/wave]
Text/6a_photo1/text,Sasha... fotografia asta. Soția femeii mi-a dat-o. O căuta.
Text/6a_photo2/text,Fața Sashei se întunecă. [color=STEEL_BLUE]Lasă-mă să văd.[/color]
Text/6a_photo3/text,"Sasha studiază fotografia, expresia ei întunecându-se. [color=CRIMSON]Recunosc camionul ăla.[/color]"
Text/6a_photo4/text,[pulse freq=2][color=YELLOW]Păstrează fotografia asta în siguranță.[/color][/pulse] Ar putea fi importantă mai târziu. Ai încredere în mine.
Text/6f2/text,[pulse freq=3][color=CRIMSON]Devin Root Reserve.[/color][/pulse]
