keys,tr
Text/240/text,"Akşam vardiyası sona ererken, memurların çoğu ayrıldı. Sadece sen ve bir avuç muhafız kaldınız."
Text/241/text,İri yarı bir muhafız istasyonuna yaklaşıyor. Adım Viktor. Gece nöbetindeyim.
Text/242/text,"Gözleri yorgun, kederli. Yeni olan sensin, değil mi? Russet'in sürekli izlediği kişi?"
Choice/243/text,Sadece işimi yapmaya çalışıyorum. Russet beni neden izliyor?
Choice/244/text,Bilmem gereken bir şey mi var?
Text/245/text,Ağır bir şekilde omuz silker. Russet soru soran herkesi izler. Benim [color=STEEL_BLUE]karım da bir zamanlar soru sormuştu[/color].
Text/246/text,Artık soru soracak durumda değil.
Text/247/text,"Etrafına göz gezdirir, sonra sesini alçaltır. Sadece... kime güvendiğine dikkat et."
Text/248/text,"Ve kimi [color=CRIMSON]mahkum ettiğine[/color]. Bazılarımız, işleme gönderdiğimiz her yüzü hatırlarız."
Text/249/text,"Gergin bir patates yaklaşıyor. Evrakları düzenli görünüyor, ama yakalarındaki [color=CHARTREUSE]ince yaprak rozetini[/color] fark ediyorsun."
Text/24a/text,"Evraklarını uzatıyorlar. İçine küçük bir not sıkıştırılmış: ""[color=CHARTREUSE]Sasha beni gönderdi. Ağ için paket. Lütfen.[/color]"""
Text/24b/text,Yeni [color=DARK_ORANGE]RealityScan[/color] istasyonunda hazır bir şekilde yanıp sönüyor. Tek bir tarama ile evraklarındaki sahte unsurları tespit edecek.
Choice/24c/text,Tarayıcının arızalandığını iddia et ve geçmelerine izin ver
Choice/24d/text,Tarayıcıyı gerektiği gibi kullan - açığa çıkma riskini göze alamazsın
Choice/24e/text,"Viktor'a başka tarafa bakması için işaret ver, sonra geçmelerine izin ver"
Text/24f/text,"Tarayıcıya dokunur, kaşlarını çatar, tekrar dokunursun. ""Lanet olası şey yine bozuldu. Geç bakalım."""
Text/250/text,"Yüzlerine bir rahatlama yayılır. Dudaklarıyla ""[color=CHARTREUSE]Teşekkür ederim[/color]"" derler ve aceleyle geçerler."
Text/251/text,"Göz göze gelirsiniz ve ajana doğru başını sallarsın. Onlara bakar, sonra sana."
Text/252/text,"Duvarı incelerken bilerek sırtını döner. ""[color=STEEL_BLUE]Tarayıcı tüm gün arızalıydı.[/color]"""
Text/253/text,"Ajan geçip gider. Viktor hiçbir şey söylemez, ama artık bir sırrı paylaşıyorsunuz."
Text/254/text,"Taramayı yaparsın. Makine [color=RED]siren çalar[/color]. ""Sahte evrak tespit edildi."""
Text/255/text,"Yüzlerinde dehşet belirir. ""[color=CRIMSON]Ne yaptığını anlamıyorsun...[/color]"""
Text/256/text,"O ve diğer muhafızlar yaklaşır. Ajan sürüklenerek götürülür, hala sana bakarken."
Text/257/text,"Sasha seni gölgelerde yakalar. O ajan, dışarıdaki bağlantılarımıza [color=CHARTREUSE]manifestoların kopyalarını[/color] taşıyordu."
Text/258/text,"Senin sayende gerçek, Spud'un sınırlarının ötesine yayılacak. [color=CHARTREUSE]Gerçek bir fark yarattın.[/color]"
Text/259/text,Sasha'nın gözleri büyür. Viktor yardım mı etti? Onun hakkında bir hissim vardı. Karısı...
Text/25a/text,Sözü yarım kalır. Düşündüğümden daha fazla müttefikimiz var.
Text/25b/text,"Sasha seni bulur, ifadesi soğuktur. O ajanın bir ailesi vardı. Evde üç filiz."
Text/25c/text,Korkuyu anlıyorum. Ama [color=CRIMSON]korkunun sonuçları vardır[/color]. Sabaha kadar işleri bitmiş olacak.
Text/25d/text,Umarım temiz sicilin buna değerdir.
Text/25e/text,Murphy odana süzülür. Bu gece istasyonunda biraz heyecan yaşandığını duydum.
Text/25f/text,[color=CHARTREUSE]Güzel. Artık bu işte birlikteyiz.[/color] Geri dönüş yok.
Text/260/text,Murphy'nin yüzü düşer. Ben... Bizimle olduğunu sanmıştım. Ne oldu?
Text/261/text,Yarınki vardiya farklı olacak. Riskler hiç bu kadar yüksek olmamıştı.
Text/262/text,"Ama ilk kez, [color=CHARTREUSE]doğru tarafta[/color] olduğunu hissediyorsun. Bedeli ne olursa olsun."
Text/263/text,Ajanın yüzü sana musallat olur. Ailesi neden eve dönmediğini asla bilemeyecek.
Text/264/text,[color=STEEL_BLUE]Senin yüzünden.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
