keys,no
Text/69/text,Kan vi snakke? Et sted privat? [color=YELLOW]For mange øyne og ører her.[/color]
Text/6a/text,Møt meg ved det gamle lagerskuret etter skiftet ditt. Jeg har noe du må se.
Text/6b/text,"Blir du koselig med kollegaer? Husk, å bli vennlig kan føre til... [color=DARK_ORANGE]svekket dømmekraft[/color]."
Text/6c/text,Jeg har samlet informasjon om avviste poteter. [wave amp=20 freq=3][color=CRIMSON]De går ikke til deportasjonssentre.[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]De går til Root Reserve prosesseringsanlegg.[/color][/tornado] Hver eneste en.
Text/6e/text,Disse dokumentene viser poteter som blir losset ved et anlegg merket med [color=DARK_VIOLET]Root Reserve[/color] logoen.
Text/6f/text,Jeg tror jeg vet hva som skjer. [pulse freq=3][color=CRIMSON]De blir til Root Reserve.[/color][/pulse]
Choice/70/text,Det er galskap. De... bearbeider poteter til mat?
Choice/71/text,Vi trenger mer bevis før vi kommer med beskyldninger.
Text/72/text,[color=CRIMSON]Kannibalisme med ekstra steg.[/color] Det er hva [wave amp=25 freq=3][color=DARK_VIOLET]Root Reserve[/color][/wave] er. Og vi har hjulpet med å velge ingrediensene deres.
Text/73/text,Jeg har samlet bevis i måneder. Hold øynene åpne. Du vil se at jeg har rett.
Text/74/text,En fjern alarm lyder plutselig
Text/75/text,Vi må gå. De gjør sikkerhetskontroller på denne tiden. Tenk på det jeg har vist deg.
Text/76/text,"Sasha stapper mappen i hendene dine. ""[color=YELLOW]Hold denne trygg. Og ikke stol på noen.[/color]"""
Text/77/text,Du gjemmer mappen inni jakken din. [color=DARK_VIOLET]Root Reserve[/color]. Avvisningene. De manglende potetene. Alt er koblet sammen på en [tornado radius=3 freq=2][color=CRIMSON]skremmende måte[/color][/tornado].
Choice/71/disabled_text,
Choice/70/disabled_text,
Text/69_photo1/text,Du tar frem bildet igjen. [color=GOLD]Maris Piper[/color]. Et så snilt ansikt.
Text/69_photo2/text,Kona hennes var så desperat. [color=STEEL_BLUE]Hva skjedde med henne?[/color]
Text/69_photo3/text,Du legger merke til noe i bakgrunnen av bildet - en lastebil med en [color=DARK_VIOLET]lilla logo[/color].
Text/69_photo4/text,Det symbolet... du har sett det på kantineleveransene. [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve.[/color][/wave]
Text/6a_photo1/text,Sasha... dette bildet. Kvinnens kone ga det til meg. Hun lette etter henne.
Text/6a_photo2/text,Sashas ansikt faller. [color=STEEL_BLUE]La meg se.[/color]
Text/6a_photo3/text,"Sasha studerer bildet, uttrykket hennes mørkner. [color=CRIMSON]Jeg kjenner igjen den lastebilen.[/color]"
Text/6a_photo4/text,[pulse freq=2][color=YELLOW]Ta vare på dette bildet.[/color][/pulse] Det kan bli viktig senere. Stol på meg.
Text/6f2/text,[pulse freq=3][color=CRIMSON]De blir til Root Reserve.[/color][/pulse]
