keys,uk
Text/200/text,"Привіт, нова бульбочко! Важка зміна, га? Мене звати Мерфі. Я тут вже три сезони."
Text/201/text,"Я бачив, ти розмовляв із Сашею раніше. Вона... [color=STEEL_BLUE]інша[/color]. У хорошому сенсі інша, я думаю."
Choice/202/text,"Вона здається приємною. Дала мені пораду, як залишатися пильним."
Choice/203/text,Просто знайомство. Нічого особливого.
Text/204/text,Мерфі нервово озирається. Ага.
Text/205/text,"Між нами кажучи? Та радіопередача про ""зниклих картоплин""... мій двоюрідний брат зник минулого місяця. Не пройшов перевірку."
Text/206/text,"Розумно. Не висовуйся, роби свою роботу. Ось що я кажу собі щодня."
Text/207/text,"Голос Мерфі стихає. Хоча іноді я думаю, куди насправді діваються всі ті відхилені картоплини..."
Text/208/text,У їдальні
Text/209/text,"Ти дивишся на густу, багряно-коричневу пасту. Усі їдять її без жодних запитань. Вона має бути поживною."
Choice/20a/text,"З'їсти Кореневий Запас, як усі інші"
Choice/20b/text,Відсунути її – ти не голодний
Text/20c/text,"Смак... землистий. Насичений. Щось у ньому здається [color=STEEL_BLUE]неприємно знайомим[/color], але ти не можеш зрозуміти, чому."
Text/20d/text,"Старший офіцер помічає. ""Не марнуй, не потребуватимеш, паростку. Це ж [pulse freq=2][color=DARK_VIOLET]першокласне харчування[/color][/pulse], ось що."""
Text/20e/text,Ти бурмочеш виправдання про розлад шлунка. Офіцер знизує плечима і йде далі.
Text/20f/text,"Повернувшись до своїх приміщень, ти не можеш викинути з голови слова Саші. ""[color=YELLOW]Не все так, як здається.[/color]"""
Text/210/text,"Ти запитав Рассета про відхилені картоплини у свій перший день. Його відповідь була ухильною. ""[color=VIOLET]Оброблено. Згідно з протоколом.[/color]"""
Text/211/text,Оброблено [color=STEEL_BLUE]як[/color] саме?
Text/212/text,"Ти так прагнув служити. Так пишався тим, що тебе обрали. Але гордість не пояснює [color=CRIMSON]зниклих картоплин[/color]."
Text/213/text,"Радіо повідомило, що повідомлення про зникнення ""продовжуються"". Це означає, що це відбувається вже деякий час."
Text/214/text,"Сон приходить повільно. Коли він приходить, тобі сняться [wave amp=15 freq=2][color=DARK_VIOLET]багряні річки[/color][/wave], що течуть під пропускним пунктом."
Choice/202/disabled_text,
Choice/203/disabled_text,
Choice/20a/disabled_text,
Choice/20b/disabled_text,
