keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi,ar,bg,el,es-419,ja,ko,pt-BR,ru,th,uk,zh-CN,zh-TW
LAWS,LAWS,ZÁKONY,LOVE,GESETZE,LEYES,LAIT,LOIS,TÖRVÉNYEK,HUKUM,LEGISLAZIONE,WETTEN,LOVER,PRAWA,LEIS,LEGI,ZÁKONY,LAGAR,KANUNLAR,LUẬT,LAWS,LAWS,LAWS,LAWS,LAWS,LAWS,LAWS,LAWS,LAWS,LAWS,LAWS,LAWS
_VALIDATION MESSAGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msg_not_fresh,Potato was %s but must be Fresh,"Brambora byla %s, ale musí být čerstvá","Kartoflen var %s, men skal være frisk","Die Kartoffel war %s, muss aber frisch sein","La patata era %s, pero debe ser fresca","Peruna oli %s, mutta sen on oltava tuore",La pomme de terre était %s mais doit être fraîche,"A krumpli %s volt, de frissnek kell lennie",Kentang itu %s tetapi harus Segar,La patata era %s ma deve essere fresca,De aardappel was %s maar moet vers zijn,"Potetene var %s, men må være fersk","Ziemniak był %s, ale musi być świeży","A batata era %s, mas deve ser fresca","Cartofii au fost %s, dar trebuie să fie proaspeți","Zemiaky boli %s, ale musia byť čerstvé",Potatisen var %s men måste vara färsk,Patates %s idi ama taze olmalı,Khoai tây là %s nhưng phải tươi,Potato was %s but must be Fresh,Potato was %s but must be Fresh,Potato was %s but must be Fresh,Potato was %s but must be Fresh,Potato was %s but must be Fresh,Potato was %s but must be Fresh,Potato was %s but must be Fresh,Potato was %s but must be Fresh,Potato was %s but must be Fresh,Potato was %s but must be Fresh,Potato was %s but must be Fresh,Potato was %s but must be Fresh
msg_extra_eyes,Potato had Extra Eyes which is forbidden,"Brambora měla Extra Oči, což je zakázáno","Kartoflen havde Ekstra Øjne, hvilket er forbudt","Die Kartoffel hatte Extra Augen, was verboten ist","La patata tenía Ojos Extra, lo cual está prohibido","Perunassa oli Ylimääräisiä Silmiä, mikä on kiellettyä","La pomme de terre avait des Yeux Supplémentaires, ce qui est interdit","A krumplinak Extra Szemei voltak, ami tilos",Kentang memiliki Mata Tambahan yang dilarang,La patata aveva Occhi Extra che non sono consentiti,"De aardappel had Extra Ogen, wat verboden is","Poteten hadde Ekstra Øyne, noe som er forbudt","Ziemniak miał Dodatkowe Oczy, co jest zabronione","A batata tinha Olhos Extra, o que é proibido","Cartofii aveau Ochi Suplimentari, ceea ce este interzis","Zemiaky mali Extra Oči, čo je zakázané","Potatisen hade Extra Ögon, vilket är förbjudet",Patateste Ekstra Gözler vardı ki bu yasaktır,Khoai tây có Mắt Bổ Sung là bị cấm,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden,Potato had Extra Eyes which is forbidden
msg_rotten,Rotten potatoes are not allowed,Shnilé brambory nejsou povoleny,Rådne kartofler er ikke tilladt,Faule Kartoffeln sind nicht erlaubt,Las patatas podridas no están permitidas,Mädät perunat eivät ole sallittuja,Les pommes de terre pourries ne sont pas autorisées,A rohadt krumplik nem megengedettek,Kentang busuk tidak diizinkan,Patate marce non sono consentite,Rotte aardappelen zijn niet toegestaan,Råtne poteter er ikke tillatt,Zgniłe ziemniaki są niedozwolone,Batatas podres não são permitidas,Cartofii putrezi nu sunt permisi,Zhnitné zemiaky nie sú povolené,Rutten potatis är inte tillåten,Çürük patatesler izin verilmez,Khoai tây thối không được phép,Rotten potatoes are not allowed,Rotten potatoes are not allowed,Rotten potatoes are not allowed,Rotten potatoes are not allowed,Rotten potatoes are not allowed,Rotten potatoes are not allowed,Rotten potatoes are not allowed,Rotten potatoes are not allowed,Rotten potatoes are not allowed,Rotten potatoes are not allowed,Rotten potatoes are not allowed,Rotten potatoes are not allowed
msg_sprouted,Sprouted potatoes are not allowed,Naklíčené brambory nejsou povoleny,Spirede kartofler er ikke tilladt,Gekeimte Kartoffeln sind nicht erlaubt,Las patatas germinadas no están permitidas,Itäneet perunat eivät ole sallittuja,Les pommes de terre germées ne sont pas autorisées,A kicsírázott krumplik nem megengedettek,Kentang berkecambah tidak diizinkan,Patate germogliate non sono consentite,Ontkiemde aardappelen zijn niet toegestaan,Spiredde poteter er ikke tillatt,Kiełkujące ziemniaki są niedozwolone,Batatas brotadas não são permitidas,Cartofii încolțiți nu sunt permisi,Vyklíčené zemiaky nie sú povolené,Grodda potatisar är inte tillåtna,Filizlenmiş patatesler izin verilmez,Khoai tây nảy mầm không được phép,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed,Sprouted potatoes are not allowed
msg_dehydrated,Dehydrated potatoes are not allowed today,Dehydratované brambory nejsou dnes povoleny,Dehydrerede kartofler er ikke tilladt i dag,Dehydrierte Kartoffeln sind heute nicht erlaubt,Las patatas deshidratadas no están permitidas hoy,Kuivatut perunat eivät ole tänään sallittuja,Les pommes de terre déshydratées ne sont pas autorisées aujourd'hui,A szárított krumplik ma nem megengedettek,Kentang kering tidak diizinkan hari ini,Patate disidratate non sono consentite oggi,Gedehydrateerde aardappelen zijn vandaag niet toegestaan,Tørkede poteter er ikke tillatt i dag,Suszone ziemniaki nie są dzisiaj dozwolone,Batatas desidratadas não são permitidas hoje,Cartofii deshidratați nu sunt permisi astăzi,Dehydratované zemiaky nie sú dnes povolené,Torkad potatis är inte tillåten idag,Kurutulmuş patatesler bugün izin verilmez,Khoai tây khô không được phép hôm nay,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today,Dehydrated potatoes are not allowed today
msg_frozen,Frozen potatoes are banned,Zmrazené brambory jsou zakázány,Frosne kartofler er forbudt,Gefrorene Kartoffeln sind verboten,Las patatas congeladas están prohibidas,Jäädytetyt perunat ovat kiellettyjä,Les pommes de terre surgelées sont interdites,A fagyasztott krumplik tiltottak,Kentang beku dilarang,Patate surgelate sono vietate,Bevroren aardappelen zijn verboden,Frosne poteter er forbudt,Mrożone ziemniaki są zabronione,Batatas congeladas são proibidas,Cartofii congelați sunt interzisi,Zmrazené zemiaky sú zakázané,Fryst potatis är förbjuden,Dondurulmuş patatesler yasaklanmıştır,Khoai tây đông lạnh bị cấm,Frozen potatoes are banned,Frozen potatoes are banned,Frozen potatoes are banned,Frozen potatoes are banned,Frozen potatoes are banned,Frozen potatoes are banned,Frozen potatoes are banned,Frozen potatoes are banned,Frozen potatoes are banned,Frozen potatoes are banned,Frozen potatoes are banned,Frozen potatoes are banned
msg_over_age,Potato is %d years old (max 5 years),Brambora je stará %d let (max 5 let),Kartoflen er %d år gammel (maks 5 år),Die Kartoffel ist %d Jahre alt (max 5 Jahre),La patata tiene %d años (máximo 5 años),Peruna on %d vuotta vanha (enintään 5 vuotta),La pomme de terre a %d ans (max 5 ans),A krumpli %d éves (max 5 év),Kentang berusia %d tahun (maks 5 tahun),La patata ha %d anni (max 5 anni),De aardappel is %d jaar oud (max 5 jaar),Poteten er %d år gammel (maks 5 år),Ziemniak ma %d lat (maks 5 lat),A batata tem %d anos (máximo 5 anos),Cartofii au %d ani (max 5 ani),Zemiaky sú %d rokov staré (max 5 rokov),Potatisen är %d år gammal (max 5 år),Patates %d yaşında (maks 5 yaş),Khoai tây %d tuổi (tối đa 5 tuổi),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years),Potato is %d years old (max 5 years)
msg_under_age,Potato is %d years old (must be over 3),Brambora je stará %d let (musí být starší 3 let),Kartoflen er %d år gammel (skal være over 3 år),Die Kartoffel ist %d Jahre alt (muss über 3 Jahre sein),La patata tiene %d años (debe tener más de 3 años),Peruna on %d vuotta vanha (täytyy olla yli 3 vuotta),La pomme de terre a %d ans (doit être âgée de plus de 3 ans),A krumpli %d éves (3 évnél idősebbnek kell lennie),Kentang berusia %d tahun (harus di atas 3 tahun),La patata ha %d anni (deve avere più di 3 anni),De aardappel is %d jaar oud (moet ouder zijn dan 3 jaar),Poteten er %d år gammel (må være over 3 år),Ziemniak ma %d lat (musi mieć ponad 3 lata),A batata tem %d anos (deve ter mais de 3 anos),Cartofii au %d ani (trebuie să aibă peste 3 ani),Zemiaky sú %d rokov staré (musia byť staršie ako 3 roky),Potatisen är %d år gammal (måste vara över 3 år),Patates %d yaşında (3 yaşından büyük olmalı),Khoai tây %d tuổi (phải trên 3 tuổi),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3),Potato is %d years old (must be over 3)
