keys,de
alert_border_runner,"GRENZLÄUFER ENTDECKT!\nKlicken Sie, um Rakete zu starten!"
alert_rejected_fleeing,"ABGELEHNTER KARTOFFEL FLIEHT!\nKlicken Sie, um Rakete zu starten!"
alert_runner_escaped,LÄUFER ENTKOMMEN!\nStrike hinzugefügt!
citation_runner_escaped,Ein Grenzläufer ist entkommen! Sie haben ihn nicht rechtzeitig abgefangen.
alert_points_deducted,LÄUFER ENTKOMMEN!\nStrike hinzugefügt!\n-{penalty} Punkte!
alert_perfect_hit,PERFEKTER TREFFER! +{perfect} Präzisionsbonus-Punkte
alert_perfect_stamp,PERFEKTER STEMPEL! +{points} Punkte!
alert_combo,COMBO x{mult}! +{streak} Combo-Bonuspunkte
alert_quota_met,"Quote erfüllt, Schicht beendet! \nBonus: {bonus} Punkte!"
alert_strike_removed,Strike entfernt!
alert_correct_decision,"Sie haben die richtige Entscheidung getroffen, Offizier.\n+{points} Punkte!"
alert_wrong_decision,"Sie haben unnötiges Leid verursacht, Offizier...\n+1 Strike!"
alert_potato_should_be_approved,\nDiese Kartoffel erfüllt alle Anforderungen und hätte genehmigt werden sollen.
incorrect_decision,Falsche Entscheidung bei der Dokumentenverarbeitung.
alert_strike_out,Maximale Strikes überschritten! Ihre Schicht ist vorbei.
ui_score,Punktestand: {score}
ui_quota,Quote: {current} / {target}
ui_strikes,Verwarnungen: {current} / {max}
ui_click_megaphone,"Klicken Sie auf das Megafon, um die nächste Kartoffel zu rufen"
ui_drag_document,Ziehen Sie das Dokument auf den Inspektionstisch
ui_stamp_document,Wählen Sie einen Stempel zum Genehmigen oder Ablehnen
ui_check_violations,Überprüfen Sie Dokumentenverstöße
Strike removed!,Strike entfernt!
BORDER RUNNER DETECTED!\nClick to launch missile!,"GRENZLÄUFER ENTDECKT!\nKlicken Sie, um Rakete zu starten!"
REJECTED POTATO FLEEING!\nClick to launch missile!,"ABGELEHNTER KARTOFFEL FLIEHT!\nKlicken Sie, um Rakete zu starten!"
RUNNER ESCAPED!\nStrike added!,LÄUFER ENTKOMMEN!\nStrike hinzugefügt!
Click megaphone to call the next potato,"Klicken Sie auf das Megafon, um die nächste Kartoffel zu rufen"
Drag document to inspection table,Ziehen Sie das Dokument auf den Inspektionstisch
Select a stamp to approve or reject,Wählen Sie einen Stempel zum Genehmigen oder Ablehnen
Check for document violations,Überprüfen Sie Dokumentenverstöße
