keys,bg
Text/240/text,"С наближаването на края на вечерната смяна, повечето служители са си тръгнали. Останали сте само вие и шепа охранители."
Text/241/text,Едър охранител се приближава до поста ви. Казва се Виктор. Аз съм нощна стража.
Text/242/text,"Очите му са уморени, измъчени. Ти си новият, нали? Онзи, когото Ръсет постоянно наблюдава?"
Choice/243/text,Просто си върша работата. Защо Ръсет ме наблюдава?
Choice/244/text,"Има ли нещо, което трябва да знам?"
Text/245/text,"Той тежко свива рамене. Ръсет наблюдава всеки, който задава въпроси. Веднъж [color=STEEL_BLUE]жена ми зададе въпроси[/color]."
Text/246/text,"Тя вече не е тук, за да пита."
Text/247/text,"Той се оглежда, после понижава глас. Просто... внимавай на кого се доверяваш."
Text/248/text,"И кого [color=CRIMSON]осъждаш[/color]. Някои от нас помнят всяко лице, което изпратихме за обработка."
Text/249/text,"Нервен картоф се приближава. Документите изглеждат наред, но забелязвате [color=CHARTREUSE]дискретна значка с листо[/color] на яката му."
Text/24a/text,Те плъзгат документите си. Вътре е пъхната малка бележка: „[color=CHARTREUSE]Саша ме изпрати. Пакет за мрежата. Моля.[/color]“
Text/24b/text,Новият [color=DARK_ORANGE]RealityScan[/color] мига готов на поста ви. Едно сканиране и ще открие фалшиви елементи в документите им.
Choice/24c/text,"Престорете се, че скенерът е дефектирал, и ги пропуснете"
Choice/24d/text,Използвайте скенера според изискванията – не можете да рискувате да бъдете разкрити
Choice/24e/text,"Дайте знак на Виктор да погледне на другата страна, после ги пуснете да минат"
Text/24f/text,"Почуквате скенера, намръщвате се, почуквате го отново. „Тази проклета работа се е повредила. Минавайте.“"
Text/250/text,Лицето им се озарява от облекчение. Те безмълвно казват „[color=CHARTREUSE]Благодаря[/color]“ и бързат да минат.
Text/251/text,"Срещате погледа му и кимвате към агента. Той поглежда към тях, после към вас."
Text/252/text,"Той умишлено обръща гръб, изучавайки стената. „[color=STEEL_BLUE]Скенерът е бъгав цял ден.[/color]“"
Text/253/text,"Агентът се промъква. Виктор не казва нищо, но сега сте споделили тайна."
Text/254/text,Извършвате сканирането. Машината [color=RED]издава силен сигнал[/color]. „Открита фалшива документация.“
Text/255/text,Ужас се изписва на лицето им. „[color=CRIMSON]Не разбирате какво сте направили...[/color]“
Text/256/text,"Той и другите охранители се приближават. Агентът е влачен, все още втренчен във вас."
Text/257/text,Саша ви пресреща в сенките. Този агент носеше [color=CHARTREUSE]копия от манифестите[/color] на нашите контакти отвън.
Text/258/text,Заради вас истината ще се разпространи отвъд границите на Спъд. [color=CHARTREUSE]Направихте истинска промяна.[/color]
Text/259/text,Очите на Саша се разширяват. Виктор помогна? Имах предчувствие за него. Жена му беше...
Text/25a/text,"Тя замлъква. Имаме повече съюзници, отколкото си мислех."
Text/25b/text,"Саша те намира, изражението ѝ е студено. Този агент имаше семейство. Три кълна у дома."
Text/25c/text,Разбирам страха. Но [color=CRIMSON]страхът има последствия[/color]. Ще бъдат обработени до сутринта.
Text/25d/text,Надявам се чистото ти досие да си струва.
Text/25e/text,"Мърфи се промъква в квартирата ти. Чух, че е имало някакво вълнение на твоя пост тази вечер."
Text/25f/text,[color=CHARTREUSE]Добре. Вече сме заедно в това.[/color] Няма връщане назад.
Text/260/text,"Лицето на Мърфи помръква. Аз... Мислех, че си с нас. Какво стана?"
Text/261/text,Утрешната смяна ще бъде различна. Залозите никога не са били по-високи.
Text/262/text,"Но за първи път се чувстваш, че си на [color=CHARTREUSE]правилната страна[/color]. Каквото и да струва това."
Text/263/text,Лицето на агента те преследва. Семейството им никога няма да разбере защо не се прибраха у дома.
Text/264/text,[color=STEEL_BLUE]Заради теб.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
