keys,pl
Text/69/text,Możemy porozmawiać? Gdzieś prywatnie? [color=YELLOW]Za dużo oczu i uszu tutaj.[/color]
Text/6a/text,"Spotkaj mnie przy starej szopie magazynowej po twojej zmianie. Mam coś, co musisz zobaczyć."
Text/6b/text,"Zbliżasz się do współpracowników? Pamiętaj, zaprzyjaźnianie się może prowadzić do... [color=DARK_ORANGE]zaburzonego osądu[/color]."
Text/6c/text,Zbierałem informacje o odrzuconych ziemniakach. [wave amp=20 freq=3][color=CRIMSON]Nie trafiają do ośrodków deportacyjnych.[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]Trafiają do zakładów przetwórczych Root Reserve.[/color][/tornado] Każdy jeden.
Text/6e/text,Te dokumenty pokazują ziemniaki wyładowywane w obiekcie oznaczonym logo [color=DARK_VIOLET]Root Reserve[/color].
Text/6f/text,"Myślę, że wiem, co się dzieje. [pulse freq=3][color=CRIMSON]Stają się Root Reserve.[/color][/pulse]"
Choice/70/text,To szaleństwo. Oni... przetwarzają ziemniaki na żywność?
Choice/71/text,"Potrzebujemy więcej dowodów, zanim zaczniemy oskarżać."
Text/72/text,[color=CRIMSON]Kanibalizm z dodatkowymi krokami.[/color] Tym właśnie jest [wave amp=25 freq=3][color=DARK_VIOLET]Root Reserve[/color][/wave]. A my pomagaliśmy wybierać ich składniki.
Text/73/text,"Zbierałem dowody przez miesiące. Miej oczy otwarte. Zobaczysz, że mam rację."
Text/74/text,W oddali nagle rozlega się alarm
Text/75/text,"Musimy iść. O tej porze robią kontrole bezpieczeństwa. Pomyśl o tym, co ci pokazałem."
Text/76/text,"Sasha wpycha ci teczkę do rąk. ""[color=YELLOW]Trzymaj to w bezpiecznym miejscu. I nie ufaj nikomu.[/color]"""
Text/77/text,Chowasz teczkę w kurtce. [color=DARK_VIOLET]Root Reserve[/color]. Odrzucenia. Brakujące ziemniaki. Wszystko łączy się w [tornado radius=3 freq=2][color=CRIMSON]przerażający sposób[/color][/tornado].
Choice/71/disabled_text,
Choice/70/disabled_text,
