keys,th
Text/69_photo1/text,คุณหยิบรูปถ่ายออกมาอีกครั้ง [color=GOLD]มาริส ไพเพอร์[/color] ใบหน้าที่ดูใจดีเหลือเกิน
Text/69_photo2/text,ภรรยาของเธอสิ้นหวังมาก [color=STEEL_BLUE]เกิดอะไรขึ้นกับเธอ?[/color]
Text/69_photo3/text,คุณสังเกตเห็นบางอย่างในพื้นหลังของรูปถ่าย - รถบรรทุกที่มี[color=DARK_VIOLET]โลโก้สีม่วง[/color]
Text/69_photo4/text,สัญลักษณ์นั้น... คุณเคยเห็นมันบนรถส่งของโรงอาหาร [wave amp=15 freq=2][color=DARK_VIOLET]รูท รีเสิร์ฟ[/color][/wave]
Text/69/text,เราคุยกันหน่อยได้ไหม? ที่ส่วนตัวหน่อย? [color=YELLOW]ที่นี่มีหูมีตามากเกินไป[/color]
Text/6a/text,มาพบฉันที่โรงเก็บของเก่าหลังเลิกกะของคุณ ฉันมีบางอย่างที่คุณต้องเห็น
Text/6a_photo1/text,ซาช่า... รูปถ่ายนี้ ภรรยาของผู้หญิงคนนั้นให้มันกับฉัน เธอกำลังตามหาเธออยู่
Text/6a_photo2/text,สีหน้าของซาช่าเปลี่ยนไป [color=STEEL_BLUE]ขอฉันดูหน่อย[/color]
Text/6a_photo3/text,ซาช่าพิจารณารูปถ่าย สีหน้าของเธอมืดครึ้มลง [color=CRIMSON]ฉันจำรถบรรทุกคันนั้นได้[/color]
Text/6a_photo4/text,[pulse freq=2][color=YELLOW]เก็บรูปถ่ายนี้ไว้ให้ดี[/color][/pulse] มันอาจจะสำคัญในภายหลัง เชื่อฉันสิ
Text/6b/text,สนิทสนมกับเพื่อนร่วมงานงั้นหรือ? จำไว้ว่า การเป็นมิตรมากเกินไปอาจนำไปสู่... [color=DARK_ORANGE]การตัดสินใจที่บกพร่อง[/color]
Text/6c/text,ฉันรวบรวมข้อมูลเกี่ยวกับมันฝรั่งที่ถูกปฏิเสธมาตลอด [wave amp=20 freq=3][color=CRIMSON]พวกมันไม่ได้ไปที่ศูนย์ส่งกลับ[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]พวกมันไปที่โรงงานแปรรูปของรูท รีเสิร์ฟ[/color][/tornado] ทุกตัวเลย
Text/6e/text,เอกสารเหล่านี้แสดงให้เห็นว่ามีการขนถ่ายมันฝรั่งลงที่โรงงานที่มีโลโก้[color=DARK_VIOLET]รูท รีเสิร์ฟ[/color]
Text/6f/text,ฉันคิดว่าฉันรู้แล้วว่าเกิดอะไรขึ้น...
Text/6f2/text,[pulse freq=3][color=CRIMSON]พวกมันกำลังกลายเป็นรูท รีเสิร์ฟ[/color][/pulse]
Choice/70/text,"""นั่นมันบ้าไปแล้ว พวกเขากำลัง... แปรรูปมันฝรั่งเป็นอาหารงั้นหรือ?"""
Choice/71/text,"""เราต้องการหลักฐานเพิ่มเติมก่อนที่จะกล่าวหา"""
Text/72/text,[color=CRIMSON]การกินเนื้อพวกเดียวกันที่มีขั้นตอนซับซ้อนขึ้น[/color] นั่นคือสิ่งที่[wave amp=25 freq=3][color=DARK_VIOLET]รูท รีเสิร์ฟ[/color][/wave]เป็น และเรากำลังช่วยเลือกส่วนผสมของพวกเขา
Text/73/text,ฉันรวบรวมหลักฐานมาหลายเดือนแล้ว คอยจับตาดูไว้ แล้วคุณจะเห็นว่าฉันพูดถูก
Text/74/text,เสียงสัญญาณเตือนภัยดังขึ้นอย่างกะทันหันจากที่ไกลๆ
Text/75/text,เราต้องไปแล้ว พวกเขาจะตรวจตราความปลอดภัยในเวลานี้ คิดดูว่าฉันได้แสดงอะไรให้คุณเห็นบ้าง
Text/76/text,"ซาช่ายัดแฟ้มเอกสารใส่มือคุณ ""[color=YELLOW]เก็บสิ่งนี้ไว้ให้ดี และอย่าไว้ใจใคร[/color]"""
Text/77/text,คุณซ่อนแฟ้มเอกสารไว้ในเสื้อแจ็คเก็ตของคุณ [color=DARK_VIOLET]รูท รีเสิร์ฟ[/color] การปฏิเสธ มันฝรั่งที่หายไป ทั้งหมดนี้เชื่อมโยงกันใน[tornado radius=3 freq=2][color=CRIMSON]ทางที่น่าสะพรึงกลัว[/color][/tornado]
Choice/70/disabled_text,
Choice/71/disabled_text,
