keys,sk
Text/a6/text,"Hraničné zariadenie sa dnes cíti inak. Napäté. Bezpečnostné hliadky vo väčšom počte, keď opatrné ticho nahrádza rozhovory."
Text/a7/text,Včera v noci boli objavené [pulse freq=2][color=CRIMSON]zakázané materiály[/color][/pulse]. Letáky obsahujúce klamstvá o [color=DARK_VIOLET]Root Reserve[/color].
Text/a8/text,Zavádzame [wave amp=15 freq=2][color=DARK_ORANGE]protokoly úrovne ohrozenia ORANŽOVÁ[/color][/wave]. Všetci dôstojníci podliehajú kontrolám lojality. Všetci cestujúci čelia maximálnemu preverovaniu.
Text/a9/text,Funguje to. Letáky sa šíria. Ľudia sa pýtajú na [color=DARK_VIOLET]Root Reserve[/color].
Text/aa/text,"Mám zdroje, ktoré mi hovoria, že v Russetovej kancelárii je záznam o zásielkach - prepravné manifesty, ktoré by mohli [tornado radius=3 freq=2][color=CHARTREUSE]všetko dokázať[/color][/tornado]."
Text/ab/text,"Potrebujem tvoju pomoc, aby som ho získal. Dnes večer, po poslednej zmene. Môžem s tebou počítať?"
Choice/ac/text,Som v tom. Odhalme pravdu.
Choice/ad/text,"Neviem, Saša... mohlo by to byť nebezpečné."
Text/ae/text,"Chvalabohu. Vedel som, že máš [color=CHARTREUSE]silnejšie korene ako ostatní[/color]. Stretneme sa o polnoci."
Text/af/text,"Niekedy musíme [color=CHARTREUSE]riskovať, že nás rozdrvia, aby sme robili to, čo je správne[/color]. Premýšľaj o tom."
Text/b0/text,"[color=DARK_ORANGE]Kontrola lojality[/color]. Prosím, uveďte svoje meno a identifikačné číslo dôstojníka. Potom mi povedzte, prečo slúžite Spudovi."
Choice/b1/text,Slúžim na ochranu našich hraníc pred nebezpečnými vplyvmi.
Choice/b2/text,"Slúžim, aby som zabezpečil, že každý dostane spravodlivé zaobchádzanie."
Text/b3/text,"Dobrá odpoveď. Spud potrebuje lojálnych ochrancov. Skener ukazuje zelenú. Pokračujte, dôstojník."
Text/b4/text,"Obočie dôstojníka sa zdvihne. Spravodlivé zaobchádzanie? Skener bliká [color=DARK_ORANGE]jantárovo[/color]. Pamätajte, našou hlavnou starosťou je bezpečnosť, nie spravodlivosť."
Text/b5/text,Dnešná kvóta bola zvýšená. Každý s podozrivými materiálmi má byť označený na [color=DARK_VIOLET]špeciálne spracovanie[/color].
Text/b6/text,Budem [color=DARK_ORANGE]veľmi pozorne sledovať vaše rozhodnutia[/color] dnes.
Text/b7/text,Dnešná noc by mohla všetko zmeniť. Ale najprv [color=YELLOW]prežite deň bez vzbudenia podozrenia[/color].
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
Text/b4_viktor1/text,"Robustný strážnik ťa chytí za ruku, keď prechádzaš. Jeho tvár je poznačená starosťami."
Text/b4_viktor2/text,"Hej... prepáč, že ťa otravujem. Si jeden z colníkov, však? Volám sa [color=CHARTREUSE]Viktor[/color]."
Text/b4_viktor3/text,"Pýtal som sa každého na moju ženu, [color=GOLD]Elenu[/color]. Elena Petrovová. Prešla cez tento hraničný prechod pred tromi týždňami."
Text/b4_viktor4/text,"[color=STEEL_BLUE]Nevyhovela kontrole.[/color] Povedali, že ju vybavia a vrátia domov, ale... nič som nepočul."
Text/b4_viktor5/text,"Jeho hlas sa chveje. Nikto mi nič nepovie. Vieš, kam idú odmietnutí cestujúci?"
Choice/b4_viktor6/text,"""Je mi to ľúto, Viktor. Neviem. Ale budem dávať pozor."""
Choice/b4_viktor7/text,"""Nemôžem preberať detaily spracovania. Bezpečnostné protokoly."""
Text/b4_viktor8/text,"V Viktorových očiach sa zjaví záblesk nádeje. [color=CHARTREUSE]Ďakujem.[/color] Čokoľvek zistíš... prosím. Je to všetko, čo mám."
Text/b4_viktor9/text,Viktor skľúčene prikývne. [color=STEEL_BLUE]Jasné. Protokoly.[/color] Rozumiem.
Text/b4_viktor10/text,"Ale ak si to rozmyslíš... [color=YELLOW]Potrebujem vedieť, čo sa jej stalo.[/color]"
