keys,th
Text/56/text,ยินดีต้อนรับสู่ประเทศสปัด ดินแดนแห่ง[pulse freq=2][color=MEDIUM_VIOLET_RED]ความรุ่งเรืองสำหรับมันฝรั่งทุกหัว[/color][/pulse]
Text/57/text,คุณได้รับเลือกให้ปฏิบัติ[color=DARK_ORANGE]หน้าที่สำคัญ[/color]ในการปกป้องพรมแดนของเรา
Text/59/text,จงดู! [color=MEDIUM_VIOLET_RED]กำแพงอันยิ่งใหญ่[/color]ที่ปกป้องประเทศของเรา นี่คือที่ที่คุณจะรับใช้ เพื่อให้แน่ใจว่ามีเพียงผู้ที่คู่ควรเท่านั้นที่จะเข้ามาได้
Text/5a/text,อ้า หน่ออ่อนคนใหม่ ฟังให้ดี บทบาทของคุณ[color=DARK_ORANGE]สำคัญต่อความมั่นคงของสปัด[/color]
Text/184/text,รัสเซ็ตก้าวเข้ามาใกล้จนน่าอึดอัด ฉันเห็นหน่ออ่อนมากมายผ่านมาที่นี่ [color=STEEL_BLUE]ส่วนใหญ่ไปไม่รอด[/color]
Text/184b/text,พวกที่ถามมากเกินไปน่ะเหรอ? พวกเขาจะถูก[color=CRIMSON]ย้ายไปประจำการใหม่[/color] ถาวร
Text/5b/text,ฉันแต่งตั้งคุณเป็นเจ้าหน้าที่ศุลกากรแห่ง[pulse freq=1][color=MEDIUM_VIOLET_RED]สปัดอันรุ่งโรจน์[/color][/pulse] มีคำถามไหม?
Choice/5c/text,"""ฉันพร้อมที่จะรับใช้สปัดด้วยแป้งทั้งหมดที่มี!"""
Choice/5d/text,"""เกิดอะไรขึ้นกันแน่กับมันฝรั่งที่ถูกปฏิเสธ?"""
Text/5e/text,ยอดเยี่ยม! นั่นคือความกระตือรือร้นที่เราต้องการ คุณอาจได้รับคำชมเชยจาก[color=VIOLET]หน่วยรากสำรอง[/color]
Text/5f/text,พวกเขา... ถูก[color=VIOLET]แปรรูป[/color] ตามระเบียบปฏิบัติ [color=VIOLET]หน่วยรากสำรอง[/color]จัดการรายละเอียดทั้งหมด
Text/60/text,มุ่งเน้นไปที่หน้าที่ของคุณ [color=DARK_ORANGE]ไม่มีอะไรมากไปกว่านั้น[/color]
Text/61/text,กะแรกของคุณเริ่มต้นขึ้นแล้ว ตรวจสอบเอกสารอย่างละเอียด ปฏิเสธผู้ที่ไม่เป็นไปตามมาตรฐานของเรา
Text/62/text,ทำตามโควตาของคุณ หลีกเลี่ยงการถูกลงโทษ
Text/62b/text,และจำไว้ว่า [color=MEDIUM_VIOLET_RED]เกียรติยศแด่สปัด![/color]
Choice/5c/disabled_text,
Choice/5d/disabled_text,
