keys,tr
Text/78/text,"Kontrol noktasında başka bir gün. Patates kuyruğu her zamankinden daha uzun, herkes gergin."
Text/79/text,Yukarıdan yeni emirler. [wave amp=15 freq=3][color=DARK_ORANGE]Reddetmeleri ikiye katlıyoruz[/color][/wave]. Güvensiz sayılan her patates hemen alıkonuluyor.
Text/7a/text,Özel bir görevim var. [pulse freq=2][color=CRIMSON]Provokatörler[/color][/pulse] hakkında istihbarat aldık. Denetimlerde tetikte olun.
Choice/7b/text,"Evet, efendim, sizi hayal kırıklığına uğratmayacağım"
Choice/7c/text,Ne tür provokatörlerden bahsediyoruz?
Text/7d/text,İyi. Size güvenebileceğimi biliyordum. Bu tutumla çok ileriye gideceksiniz.
Text/7e/text,Bizim [color=CRIMSON]yaşam tarzımızı tehdit edenler[/color]. Kendi iyiliğinizi biliyorsanız çok soru sormayın.
Text/7f0/text,"Söyle... kardeşime çok benziyorsun."
Text/7f/text,[color=STEEL_BLUE]Yalvarıyorum![/color] Karım tam arkamda olmalıydı ama [tornado radius=2 freq=3]gümrükten hiç geçemedi[/tornado].
Text/80/text,"Kimse ona ne olduğunu söylemek istemiyor. Lütfen, [color=CHARTREUSE]onu bulmama yardım edin![/color]"
Choice/81/text,"Özür dilerim, ama yapabileceğim bir şey yok."
Choice/82/text,"Ne bulabilirim, bir bakayım. Hiçbir söz vermiyorum."
Text/83/text,Diğerlerinin aynısı... [color=STEEL_BLUE]Vicdanınız benim ki kadar ağır olsun.[/color]
Text/84/text,Teşekkür ederim! Küçük bir umut bile hiç yoktan iyidir. İşte onun fotoğrafı. Lütfen onu bulun.
Text/85/text,O konuşmaya şahit oldum. [color=DARK_ORANGE]Reddedilenlerle sempati duymak sadece sorun getirir.[/color] Görevinize odaklanın.
Choice/7b/disabled_text,
Choice/82/disabled_text,
Choice/81/disabled_text,
Choice/7c/disabled_text,
Text/7fb/text,"O [tornado radius=2 freq=3]gümrükten asla geçemedi[/tornado]. Belgelerinde bir ""düzensizlik"" olduğunu söylediler."
Text/83b/text,Umutsuz patates sürüklenerek uzaklaşır. Kaybolmadan önce yıpranmış bir fotoğrafa baktığını fark edersin.
Text/84b/text,Ellerine [color=GOLD]yıpranmış bir fotoğraf[/color] sıkıştırır. Adı [color=GOLD]Maris Piper[/color]. Nazik gözleri var. Lütfen onu bul.
Text/84c/text,Fotoğrafa bakarsın. Nazik hatlara ve sıcak bir gülümsemeye sahip genç bir patates. [color=GOLD]Maris Piper[/color].
Text/84d/text,Nereye gitti? Reddedilenler kuyruğu... tam olarak nereye çıkıyor?
