keys,hu
Text/d2/text,A műszakod után egy titkos ellenállási találkozóra vezetnek egy elhagyatott keményítőgyárban.
Text/d3/text,"Egy viharvert, csatákban edzett krumpli szólítja meg az összegyűlt csoportot."
Text/d4/text,A suttogások és röplapok ideje lejárt. A kormány megmutatta igazi arcát.
Text/d5/text,"Forrásaink megerősítik, hogy a [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] feldolgozóüzemek növelik a termelést."
Text/d6/text,"Ami azt jelenti, hogy [tornado radius=3 freq=3][color=CRIMSON]több testvérünk tűnt el, feldolgozták, elfogyasztották őket[/color][/tornado]."
Text/d7/text,"A vezető az asztalra csap öklével. [pulse freq=3][color=CHARTREUSE]Ennek most vége.[/color][/pulse] Van egy tervünk, hogy lecsapjunk a működésük szívére."
Text/d8/text,Sasha részletes terveket terít az asztalra. Három nap múlva indítjuk a fő offenzívánkat.
Text/d9/text,"Míg az egyik csapat elterelést végez a fő kormányzati komplexumnál, a másik behatol a legnagyobb Root Reserve létesítménybe."
Text/da/text,"Célunk: [color=CHARTREUSE]megcáfolhatatlan bizonyítékot[/color] szerezni arról, mi történik odabent, és közvetíteni azt egész Spudnak."
Text/db/text,Sasha a tervek egy részére mutat. Itt lépsz te a képbe.
Text/dc/text,"Szükségünk van valakire a Spud Vámhivatal belsejében, aki biztosítja, hogy embereink átléphessék a határt a küldetéshez."
Text/dd/text,"Rád számíthatunk, hogy te leszel ez a személy?"
Choice/de/text,"Megteszek bármit, ami szükséges, hogy leleplezzem az igazságot."
Choice/df/text,"Veszélyesnek hangzik. Mi lesz, ha elkapnak minket?"
Choice/e0/text,"Van más mód, ami nem tesz veszélybe annyi embert?"
Text/e1/text,Sasha arca felragyog a reménytől. Köszönöm. [color=CHARTREUSE]A bátorságod számtalan életet fog megmenteni.[/color]
Text/e2/text,"Megszorítja a kezed. Amikor ennek mind vége, [color=CHARTREUSE]a forradalom hőseként fognak emlékezni rád.[/color]"
Text/e3/text,Sasha ünnepélyesen bólint. Veszélyes. Nem hazudok neked erről.
Text/e4/text,"Mindannyian [color=DARK_VIOLET]Root Reserve-vé feldolgozva[/color] végezhetjük, ha kudarcot vallunk."
