keys,ru
Text/11/text,"Граница Спуд в [pulse freq=3][color=CRIMSON]хаосе[/color][/pulse]. Паникующие картофелины наводняют КПП, отчаянно пытаясь сбежать после утечки документов."
Text/12/text,Вы проскальзываете с Сашей. [wave amp=20 freq=3][color=CHARTREUSE]Мы должны продолжать давить![/color][/wave] Люди теперь знают правду.
Text/13/text,"Они больше не смогут замолчать правду. Если мы сможем проникнуть на объект [color=DARK_VIOLET]Корневой Резерв[/color] и транслировать доказательства, это [tornado radius=3 freq=2][color=CHARTREUSE]разожжет революцию[/color][/tornado]."
Text/14/text,"Это место — крепость. А теперь среди нас [color=YELLOW]бывший таможенный агент[/color]. Их глаза подозрительно сужаются, глядя на вас."
Choice/15/text,"Я понимаю ваши сомнения, но я предан этому делу."
Choice/16/text,Я уже пожертвовал всем. Я не отступлю сейчас.
Text/17/text,Красивые слова. Но мы их уже слышали.
Text/18/text,"Они помогли нам достать документы. Это действия, а не слова."
Text/19/text,"Теперь уже не вернуться к тому, чтобы быть лояльной картофелиной. Добро пожаловать в сопротивление, товарищ."
Text/1a_rescue1/text,Разведчик подбегает. Мы нашли её! [color=CHARTREUSE]Саша в блоке содержания![/color]
Text/1a_rescue2/text,Они готовятся... [tornado radius=3 freq=2][color=CRIMSON]обработать её[/color][/tornado]... менее чем через час!
Text/1a_rescue3/text,Мы должны спасти её. [pulse freq=2][color=CHARTREUSE]Она всё это начала.[/color][/pulse] Мы не уйдём без неё.
Text/1a_rescue4/text,"[wave amp=25 freq=3][color=YELLOW]Пронеситесь по объекту![/color][/wave] Доберитесь до Саши, пока не стало слишком поздно!"
Text/1a_rescue_fail1/text,Вы спотыкаетесь. Путь впереди заблокирован охранниками!
Text/1a_rescue_fail2/text,Виктор врывается через боковую дверь. [color=CHARTREUSE]ВПЕРЁД! Я задержу их![/color]
Text/1a_rescue_fail3/text,За Елену. За всех них. [color=STEEL_BLUE]Я не позволю умереть ещё одному![/color]
Text/1a_rescue_fail4/text,Мёрфи дёргает пожарную сигнализацию. [color=CHARTREUSE]За Томми![/color] Спринклеры ослепляют охранников!
Text/1a_rescue_fail5/text,[color=STEEL_BLUE]Я создам отвлекающий манёвр. Вытащи её оттуда![/color]
Text/1a_rescue_fail6/text,"[color=YELLOW]Конвейер обработки заклинивает[/color], осыпая искрами и отвлекая охранников!"
Text/1a_rescue_fail7/text,Судьба — или призраки обработанных — даёт вам второй шанс.
Text/1a_rescue5/text,"Саша поднимает взгляд из своей камеры, побитая, но не сломленная. Её глаза расширяются. [color=CHARTREUSE]Ты пришёл.[/color]"
Text/1a_rescue6/text,"Конечно, я пришёл. [color=CHARTREUSE]Мы закончим это вместе.[/color]"
Choice/1a_rescue7/text,"Я боялся, что больше никогда тебя не увижу."
Choice/1a_rescue8/text,Ты заставила нас сильно волноваться. Больше так не делай.
Choice/1a_rescue9/text,У нас есть работа. Айдахо ждёт.
Text/1a_rescue10/text,"[color=CHARTREUSE]Саша крепко обнимает вас.[/color] Я знала, что ты придёшь. Я никогда не сомневалась."
Text/1a_rescue11/text,"Теперь заставим их заплатить за каждого, кого они забрали. [color=CHARTREUSE]Вместе.[/color]"
Text/1a_rescue12/text,Саша слабо улыбается сквозь боль. [color=STEEL_BLUE]Я постараюсь.[/color] Но некоторые вещи того стоят.
Text/1a_rescue13/text,Твоё присутствие здесь доказывает это. Теперь покончим с этим.
Text/1a_rescue14/text,"Саша кивает, её решимость вновь разгорается. [color=CHARTREUSE]Ты прав.[/color] Чувства подождут."
Text/1a_rescue15/text,"Айдахо думает, что победил. Покажем ему, как сильно он ошибается."
Text/1a/text,"После напряжённого проникновения ваша команда стоит в самом сердце [color=DARK_VIOLET]Корневого Заповедника[/color], где [pulse freq=3][color=CRIMSON]ужасающая машина угнетения[/color][/pulse] предстаёт во всей красе."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Ревут сирены[/color][/wave], пока охранники спешат отреагировать на ваше вторжение. Вы мчитесь по коридорам, уворачиваясь от систем безопасности."
Text/1c/text,"Экран мерцает и включается. ""Ну-ну, [color=CRIMSON]предатель[/color] вернулся с повстанческим отребьем."""
Text/1d/text,"Думал, что сможешь остановить прогресс Спуда? [color=DARK_VIOLET]Корневой Заповедник[/color] — это жизненная сила этой нации."
Text/1e/text,Но не волнуйся. Ты всё равно будешь служить Спуду... [tornado radius=4 freq=3][color=DARK_VIOLET]в перерабатывающих чанах![/color][/tornado]
Text/1f/text,Экран внезапно гаснет.
Text/20/text,"Вы решительно поворачиваетесь к остальным. ""Нам нужно добраться до бункера Айдахо. Сейчас же!"""
Text/158/text,Силы безопасности приближаются! [pulse freq=3][color=YELLOW]Пробейтесь с боем![/color][/pulse]
Text/21_fail1/text,Охранники окружают со всех сторон. [color=CRIMSON]Бежать некуда![/color]
