keys,bg
Text/96/text,"Прокрадваш се през тъмния коридор, с биещо сърце, докато избягваш охранителни патрули."
Text/97/text,[color=CHARTREUSE]Това устройство ще деактивира ключалката[/color] на офиса на Ръсет. Ще задействам аларми в източното крило като разсейване. Ще имаш пет минути.
Text/98/text,Манифестите трябва да са в картотеката му. [color=CRIMSON]Червена папка с надпис 'RR Transport'[/color]. Не оставяй доказателства от търсенето си.
Text/99/text,"Намираш дебелата [color=CRIMSON]червена папка с надпис ""RR Transport""[/color] в картотеката."
Text/9a/text,"Вътре има манифести, съответстващи на броя на отхвърлените картофи, и директива от министър-председател Айдахо, разрешаваща ""[pulse freq=3][color=DARK_VIOLET]пълно оползотворяване на граничните отхвърлени за производство на RR.[/color][/pulse]"""
Text/9a_viktor1/text,Сканираш имената в манифеста... и едно се откроява. [color=GOLD]Елена Петров[/color].
Text/9a_viktor2/text,"Това име... чувал си го преди. Охранителят Виктор спомена, че жена му е изчезнала."
Text/9a_viktor3/text,"""[color=CRIMSON]Статус: Обработен. Партида RR-2851.[/color]"" Датирано преди две седмици."
Text/9b/text,"Стъпки наближават вратата на офиса. ""[wave amp=15 freq=3][color=YELLOW]Странно, кълна се, че заключих това.[/color][/wave]"""
Choice/9c/text,Скрий се под бюрото
Choice/9d/text,Скочи през прозореца
Text/9e/text,"Гмуркаш се под бюрото на Ръсет, докато той влиза, с биещо сърце. Той сяда, краката му на сантиметри от лицето ти."
Text/9f/text,"Ръсет слуша. Какво? [color=CHARTREUSE]Още една аларма ли?[/color] Идвам веднага. Той си тръгва, а ти избягваш."
Text/a0/text,"Отваряш прозореца с усилие и скачаш. За щастие е само един етаж. Един пазач извиква: ""[color=RED]Хей! Спри![/color]"""
Text/a1/text,Тичаш през двора и успяваш да се отървеш от преследвачите си.
Text/a2/text,Взе ли го?
Text/a3/text,"Предаваш доказателствата, обяснявайки какво си намерил."
Text/a4/text,Това доказва всичко. Съпротивата ще направи копия. [tornado radius=3 freq=2]Разпространете истината навсякъде.[/tornado] Не могат да ни заглушат всички.
Text/a5/text,"Прекрачил си чертата. [wave amp=20 freq=3][color=YELLOW]Няма връщане назад.[/color][/wave] Когато истината се разпространи, Спъд ще бъде преобразен."
Choice/9c/disabled_text,
Choice/9d/disabled_text,
