keys,bg
Text/117/text,Контролно-пропускателният пункт се е превърнал във военен аванпост. Елитни гвардейци в черни униформи патрулират с изложено оръжие.
Text/118/text,"Аз съм главен офицер по сигурността Юкон, изпратен от столицата от министър-председателя Айдахо."
Text/119/text,"Разузнаването показва, че [pulse freq=2][color=YELLOW]предстои терористична атака[/color][/pulse]. ""Съпротивата"" планира да се инфилтрира утре."
Text/11a/text,Всички офицери ще преминат [wave amp=15 freq=2][color=DARK_ORANGE]проверка за лоялност[/color][/wave]. Подозрително поведение означава задържане и [color=DARK_VIOLET]обработка[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]Пълното сътрудничество[/color][/tornado] със Сигурността е задължително. Моите доклади за всеки от вас са предоставени на Началника.
Text/11c/text,"Погледът на Ръсет се задържа върху теб неловко, преди да се премести."
Text/11d/text,"Това е [color=DARK_ORANGE]IdentityScan 5000[/color]. Той анализира биометрични данни, за да открива инфилтратори и симпатизанти."
Text/11e/text,"Всеки, който задейства скенера, ще бъде подложен на [color=CRIMSON]засилен разпит[/color]. Използвайте го без изключение."
Text/11f/text,Виждал ли си Саша? Тя не се яви на преброяването. Снощи [color=CRIMSON]силите за сигурност влязоха в нейните помещения[/color].
Text/120/text,"Казват, че е била част от [pulse freq=2][color=CHARTREUSE]съпротивата[/color][/pulse]."
Choice/121/text,"""Не трябва да говорим за това. Опасно е."""
Choice/122/text,"""И аз се тревожа за нея. Това не е редно."""
Text/123/text,Прав си. Но внимавай. Търсят връзки с нея.
Text/124/text,Значи сте били близки? Внимавай. Може и теб да те наблюдават.
Text/125/text,"Офицерът ти подава бележка: ""[color=YELLOW]Почисти работното си място от всичко подозрително.[/color]"""
Text/126/text,Доста време си на този контролно-пропускателен пункт. Интересен служебен запис.
Text/127/text,"Често си бил виждан с офицер Саша, която сега е под разследване за [wave amp=20 freq=3][color=CRIMSON]държавна измяна[/color][/wave]."
Text/128/text,"Началникът се навежда напред. Има ли нещо, което би искал да ми кажеш за нейните дейности?"
Choice/129/text,"""Аз и Саша бяхме просто колеги. Не знам нищо за нея извън работа."""
Choice/12a/text,"""Събирах доказателства за нейните подозрителни дейности, за да докладвам по-късно."""
Text/12b/text,Множество свидетели твърдят обратното. Без конкретни доказателства обаче не мога да те задържа. [color=YELLOW]Все още.[/color]
Text/12c/text,Ще бъдеш под [color=CRIMSON]строго наблюдение[/color]. Една грешка и ще [color=DARK_VIOLET]се присъединиш към Саша[/color].
Text/12d/text,Колко удобно. И все пак не си подал никакви доклади досега.
Text/12e/text,"Ще предоставиш пълно изявление. Ако информацията ти се окаже ценна, може би ще пренебрегнем забавеното ти докладване."
Text/12f/text,Днес ще [color=CRIMSON]наблюдавам работата ти[/color]. Всеки пътуващ трябва да бъде сканиран за самоличност. [color=RED]Без изключения[/color].
Text/130/text,"Саша е заловен. Планът на съпротивата е [color=CRIMSON]компрометиран[/color]. При засилена охрана, шансовете им изглеждат безнадеждни."
Choice/121/disabled_text,
Choice/122/disabled_text,
Choice/129/disabled_text,
Choice/12a/disabled_text,
