keys,sv
Text/56/text,Välkommen till Potatisens nation. Ett land av [pulse freq=2][color=MEDIUM_VIOLET_RED]framgång för alla potatisar[/color][/pulse].
Text/57/text,Du har valts ut för en [color=DARK_ORANGE]avgörande roll[/color] i skyddet av våra gränser.
Text/59/text,SE HÄR! Den [color=MEDIUM_VIOLET_RED]mäktiga muren[/color] som skyddar vår nation. Här ska du tjäna och se till att endast de värdiga kommer in.
Text/5a/text,"Ah, den nya skotten. Lyssna noga, din roll är [color=DARK_ORANGE]vital för Potatisens säkerhet[/color]."
Text/184/text,Ditt välbefinnande [wave amp=20 freq=3][color=YELLOW]beror på din prestation[/color][/wave].
Text/5b/text,Jag utser dig till Tullman vid [pulse freq=1][color=MEDIUM_VIOLET_RED]den ärorika Potatisen[/color][/pulse]. Några frågor?
Choice/5c/text,Jag är redo att tjäna Potatisen med all min stärkelse!
Choice/5d/text,Vad händer exakt med avvisade potatisar?
Text/5e/text,Utmärkt! Det är den entusiasm vi behöver. Du kan förtjäna ett erkännande från [color=DARK_VIOLET]Rotreserven[/color].
Text/5f/text,De... [color=DARK_VIOLET]processas[/color]. Enligt protokollet. [color=DARK_VIOLET]Rotreserven[/color] hanterar alla detaljer.
Text/60/text,Fokusera på dina plikter. [color=DARK_ORANGE]Inget mer.[/color]
Text/61/text,"Din första vakt börjar nu. Kontrollera dokumenten noggrant, neka dem som inte uppfyller våra standarder."
Text/62/text,"Uppfyll din kvot, undvik sanktioner. [color=MEDIUM_VIOLET_RED]Ära åt Potatisen![/color]"
Choice/5d/disabled_text,
Choice/5c/disabled_text,
Text/184b/text,De som ställer för många frågor? De blir [color=CRIMSON]omplacerade[/color]. Permanent.
Text/62b/text,"Och kom ihåg, [color=MEDIUM_VIOLET_RED]Ära åt Spud![/color]"
