keys,el
Text/102/text,"Ωραία, τα κατάφερες. Η αντίσταση [color=CHARTREUSE]δυναμώνει[/color]. Χάρη σε αυτά τα μανιφέστα, ο κόσμος βλέπει την αλήθεια."
Text/102_foreshadow1/text,"[color=STEEL_BLUE]Η Σάσα κοιτάζει νευρικά πίσω της.[/color] Συγγνώμη, εγώ... [color=YELLOW]Νομίζω ότι με παρακολουθούν.[/color]"
Text/102_foreshadow2/text,Ο Ράσετ κάνει ερωτήσεις. Με ακολουθεί μετά τις βάρδιες. [wave amp=15 freq=2][color=YELLOW]Πρέπει να είμαι πιο προσεκτική.[/color][/wave]
Text/102_foreshadow3/text,"Σάσα, ίσως πρέπει να μείνεις σε χαμηλούς τόνους για λίγο. Άσε με να αναλάβω περισσότερο ρίσκο."
Text/102_foreshadow4/text,"[color=STEEL_BLUE]Κουνάει το κεφάλι της, αναγκάζοντας τον εαυτό της να χαμογελάσει.[/color] Όχι. Είμαστε πολύ κοντά τώρα. Μπορώ να χειριστώ τον Ράσετ."
Text/102_foreshadow5/text,"Εξάλλου... [color=CHARTREUSE]κάποιος πρέπει να σας κρατάει, εσάς τα ""βλαστάρια"", μακριά από μπελάδες.[/color]"
Text/103/text,"Κατάφερα να πάρω αυτό το φάκελο από τις πηγές μας - χρονοδιαγράμματα παραγωγής, λίστες '[color=CRIMSON]συστατικών[/color]', ονόματα των [color=DARK_SLATE_BLUE]εξαφανισμένων[/color]."
Text/104/text,Αυτό δεν είναι απλώς ένα πρόγραμμα συμπληρωμάτων διατροφής. [color=CRIMSON]Επεξεργάζονται πατάτες[/color]... και όχι με καλό τρόπο.
Text/105/text,"Εσωτερικά υπομνήματα από τον ίδιο τον Πρωθυπουργό Αϊντάχο, που εγκρίνουν την ""[color=DARK_ORANGE]αξιοποίηση απορριφθέντων περιουσιακών στοιχείων.[/color]"""
Text/106/text,"Ποσοστώσεις για κάθε σημείο ελέγχου, με το Spud Customs να έχει την υψηλότερη αναλογία απόρριψης προς επεξεργασία."
Text/106_trucks1/text,Αλλά ακόμα δεν ξέρουμε πού βρίσκεται η κύρια εγκατάσταση επεξεργασίας. Τα έγγραφα αναφέρουν μόνο κωδικούς αποστολής.
Text/106_trucks2/text,Παρακολουθώ τα [color=DARK_VIOLET]φορτηγά της Root Reserve[/color]. Φεύγουν κάθε βράδυ στις 03:00. Ίδια διαδρομή.
Text/106_trucks3/text,[color=CHARTREUSE]Αν μπορούσαμε να τα ακολουθήσουμε...[/color] θα ξέραμε ακριβώς πού πηγαίνουν τα απορριφθέντα.
Choice/106_trucks4/text,Θα το κάνω εγώ. Ξέρω τα προγράμματα περιπολίας.
Choice/106_trucks5/text,Αυτό ακούγεται ριψοκίνδυνο. Δεν μπορεί να το κάνει κάποιος άλλος;
Text/106_trucks6/text,[color=CHARTREUSE]Τα μάτια της Σάσα λάμπουν.[/color] Ήξερα ότι είχες ρίζες από ατσάλι. Πρόσεχε - περιπολούν πολύ τη νύχτα.
Text/106_trucks7/text,03:00. Κρύβεσαι στις σκιές καθώς τα φορτηγά της [color=DARK_VIOLET]Root Reserve[/color] περνούν βουίζοντας.
Text/106_trucks8/text,[pulse freq=2][color=YELLOW]Μείνε κρυμμένος! Ακολούθησε την αυτοκινητοπομπή![/color][/pulse]
Text/106_trucks9/text,"Τα φορτηγά σταματούν σε ένα τεράστιο συγκρότημα κρυμμένο στη βιομηχανική περιοχή. [color=DARK_VIOLET]Τομέας 7, Συγκρότημα Αποθηκών Δέλτα.[/color]"
Text/106_trucks10/text,Καμινάδες βγάζουν μωβ καπνό. Η μυρωδιά είναι... [tornado radius=3 freq=2][color=CRIMSON]αδιαμφισβήτητη.[/color][/tornado]
Text/106_trucks11/text,[wave amp=20 freq=3][color=CHARTREUSE]Η καρδιά της Root Reserve.[/color][/wave]
Text/106_trucks12/text,[color=STEEL_BLUE]Η έκφραση της Σάσα αλλάζει με απογοήτευση.[/color] Όλοι πρέπει να παίρνουμε ρίσκα. Θα βρω έναν άλλο τρόπο.
Text/107/text,Η κατάσταση έξω έχει επιδεινωθεί. Οργισμένα πλήθη συγκεντρώνονται στα σημεία ελέγχου ζητώντας απαντήσεις για την Root Reserve.
