keys,hu
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - FRISSÍTÉSI JEGYZETEK
patch_1_2_0_personal_note_header,SZEMÉLYES ÜZENET A FEJLESZTŐTŐL
patch_1_2_0_personal_note,"Ez a frissítés a kicsimnek szól, aki élete első hónapjait a PIC-en töltötte – születésekor 1 font volt, mára pedig 20 font tiszta öröm. Köszönöm mindenkinek, aki csatlakozott ehhez az utazáshoz – több mint 2000 játékos tapasztalta meg eddig a Spud Customs-t!"
patch_1_2_0_visual_header,VIZUÁLIS FEJLESZTÉSEK
patch_1_2_0_visual_1,Animált grafika integrációja: Új animált GIF-ek beépítése a StagNation-től a nyitó jelenetekbe
patch_1_2_0_visual_2,Grafikai átalakítás: A játékosok által látott első öt jelenet újrafestése a jobb vizuális minőség érdekében
patch_1_2_0_visual_3,Dinamikus hátterek: A háttérképek mostantól változnak a nehézség növekedésével
patch_1_2_0_story_header,TÖRTÉNET ÉS ELBESZÉLÉS
patch_1_2_0_story_1,Választások megőrzése: A narratív döntések mostantól megfelelően átöröklődnek minden szinten
patch_1_2_0_story_2,Vizuális előrehaladás: Vizuális jelzések hozzáadása a történet előrehaladásáról a fő játékmenet jelenetekben az aktuális műszak száma alapján
patch_1_2_0_story_3,Elágazó párbeszéd javítások: Javítva az elágazó párbeszédekkel kapcsolatos problémák a végső narratív jelenetekben
patch_1_2_0_bugfix_header,HIBJAVÍTÁSOK
patch_1_2_0_bugfix_1,Eredményrendszer: Javítva az eredmények követése – mostantól minden eredmény megfelelően feloldódik
patch_1_2_0_bugfix_2,"Ranglista: Javítva a probléma, amikor a ranglista betöltéskor elakadt"
patch_1_2_0_bugfix_3,Képernyőremegés: A képernyőremegés mostantól minden használat után megfelelően visszaáll az eredeti állapotba
patch_1_2_0_bugfix_4,Nehézségi skálázás: Javítva az egyszerű mód skálázási faktora
patch_1_2_0_bugfix_5,Háttér megjelenítés: Javítva a hiányzó hátterek a párbeszéd jelenetek alatt
patch_1_2_0_bugfix_6,Szöveg olvashatóság: Javítva a szöveg színezése a jobb olvashatóság érdekében
patch_1_2_0_engagement_header,JÁTÉKOSI ELKÖTELEZETTSÉG
patch_1_2_0_engagement_1,Értékelési kérések: Értékelési felszólítások hozzáadva a demó és a teljes játék játékosai számára
patch_1_2_0_engagement_2,Fordítási javítások: Különböző fordítási fejlesztések a támogatott nyelveken
patch_1_2_0_technical_header,TECHNIKAI FEJLESZTÉSEK
patch_1_2_0_technical_1,Kiterjesztett nyelvi támogatás: Mostantól támogatja mind a 31 Steam által támogatott nyelvet
patch_1_2_0_technical_2,Fordítási rendszer átalakítása: Átszervezett fordítási fájlok a jobb karbantarthatóság érdekében
