keys,ja
Text/d2/text,シフト後、あなたは廃墟の澱粉工場にある秘密のレジスタンス会合へと案内される。
Text/d2b/text,始める前に… 告白があるの。
Text/d2c/text,初日に見つけたあのメモ？「[color=GOLD]友[/color]」？
Text/d2d/text,サーシャは微笑む。持っていたのね。賢い。やはり正しい芽を選んだわ。
Text/d2e/text,何ヶ月も新任の職員を監視してきたの。[color=CHARTREUSE]疑いの目[/color]を持つ者を探して。嘘を見抜けるかもしれない者をね。
Text/d2f/text,サーシャの表情は複雑だ。あなたはそれをラセットに見せたわね。そのせいで、私は何週間も身を潜めなければならなかった。
Text/d2g/text,でも、それでもあなたはここにいる。それがあなたの良心について教えてくれるわ。
Text/d2h/text,あなたはそれを破棄した。責めはしないわ。持っているのは危険だったもの。
Text/d2i/text,でも、その言葉は結局あなたの心に届いたでしょう？
Text/d2j/text,[color=CHARTREUSE]私が「友」よ。[/color]そして、これで理由が分かったでしょう。
Text/d2k/text,サーシャは捕獲した書類をテーブルに広げる。過去1ヶ月の処理記録だ。
Text/d2l/text,あなたはその名前をスキャンし、血の気が引く。
Text/d2m/text,あった。[color=GOLD]マリス・パイパー[/color]。写真の女性だ。
Text/d2n/text,「[color=CRIMSON]状態：処理済み。バッチ RR-2847。[/color]」夫が助けを求めてきた3日後の日付だ。
Text/d2o/text,ポケットの中の写真を感じる。[color=STEEL_BLUE]彼女はもういない。そして、あなたは彼女を救えなかった。[/color]
Text/d2p/text,でも、もしかしたら…[color=CHARTREUSE]まだ他の者を救えるかもしれない。[/color]
Text/d2q/text,マーフィーが影から現れる。よお。来てくれて嬉しいぜ。
Text/d2r/text,マーフィーはくしゃくしゃのRR-UTIL用紙を掲げる。俺のいとこもそのリストに載ってるんだ。[color=CHARTREUSE]俺たちで一緒にやるんだ。[/color]
Text/d3/text,戦いの傷跡を持つ老練なジャガイモが、集まったグループに語りかける。
Text/d4/text,囁きやパンフレットの時代は終わった。政府は本性を現したのだ。
Text/d5/text,我々の情報筋が確認した。[wave amp=15 freq=2][color=DARK_VIOLET]ルートリザーブ[/color][/wave]の加工工場が生産を増やしていると。
Text/d6/text,それはつまり、[tornado radius=3 freq=3][color=CRIMSON]より多くの兄弟姉妹が姿を消し、処理され、消費される[/color][/tornado]ということだ。
Text/d7/text,リーダーはテーブルに拳を叩きつける。[pulse freq=3][color=CHARTREUSE]これは今、終わらせる！[/color][/pulse]彼らの作戦の心臓部を叩く計画がある。
Text/d8/text,サーシャは詳細な計画をテーブルに広げる。3日後、我々は主要な攻勢を開始する。
Text/d9/text,一つのチームが主要な政府複合施設で陽動を行う間、別のチームが最大のルートリザーブ施設に潜入する。
Text/da/text,我々の目標は、内部で何が起こっているのかの[color=CHARTREUSE]揺るぎない証拠[/color]を入手し、それをスパッド全土に広めることだ。
Text/db/text,サーシャが計画書のある箇所を指す。ここであなたの出番よ。
Text/dc/text,我々の工作員が任務のために国境を越えられるよう、スパッド税関の内部の人間が必要なの。
Text/dd/text,あなたがその人物になってくれると、我々は期待してもいいかしら？
Choice/de/text,「真実を暴くためなら、どんなことでもします。」
Choice/df/text,「危険そうですね。もし捕まったらどうなりますか？」
Choice/e0/text,「そんなに多くの人を危険に晒さない、別の方法はありませんか？」
Text/e1/text,サーシャの顔に希望の光が差す。ありがとう。[color=CHARTREUSE]あなたの勇気が、無数の命を救うでしょう。[/color]
Text/e2/text,彼女はあなたの手を握りしめる。これが全て終わった時、[color=CHARTREUSE]あなたは革命の英雄として記憶されるでしょう。[/color]
Text/e3/text,[color=STEEL_BLUE]サーシャの希望に満ちた表情が曇る。[/color]ええ…そうね。危険よ。
