keys,bg
Character/173/name,Радио говорител
Character/174/name,Мърфи
Character/175/name,Разказвач
Character/176/name,Тих картоф
Character/177/name,Притеснен картоф
Character/178/name,Древен картоф
Character/179/name,You
Character/17a/name,Министър-председател Айдахо
Character/17b/name,Лидер на съпротивата
Character/17c/name,Недоверчив член на съпротивата
Character/17d/name,Дързък член на съпротивата
Character/17e/name,Началник на сигурността
Character/17f/name,Офицер по сигурността
Character/180/name,Спъд Машърсън
Character/181/name,Надзирател Ръсет
Character/181/nicknames,"Ръс,Ръсет,Надзирател Ръсет"
Character/182/name,Сладък картоф Саша
Character/183/name,Нервен пътник
Character/184/name,Виктор
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
