keys,en
Text/b8/text,"The border facility is in complete lockdown, with armed security patrolling every corridor."
Text/b9/text,[pulse freq=3][color=RED]ATTENTION! LEVEL RED security situation![/color][/pulse] Classified documents were stolen last night.
Text/ba/text,We have a [tornado radius=4 freq=3][color=CRIMSON]traitor in our midst[/color][/tornado]. Anyone withholding information will be treated as complicit.
Text/bb/text,"All officers, line up for [wave amp=15 freq=2][color=DARK_ORANGE]security scanning[/color][/wave]. Those with elevated stress responses will be flagged."
Text/bc/text,Have you seen what's happening outside? Pamphlets everywhere showing [color=DARK_VIOLET]Root Reserve[/color] is made from... [pulse freq=3][color=CRIMSON]from us[/color][/pulse].
Choice/bd/text,"""Keep your voice down. We're all being watched."""
Choice/be/text,"""I've heard the same rumors. It's horrifying if true."""
Choice/bf/text,"""That's ridiculous propaganda. Don't spread such lies."""
Text/c0/text,You're right. But if it's true... what does that make us?
Text/c1/text,My cousin was rejected last month. Does that mean...? I [color=CHARTREUSE]can't do this anymore[/color].
Text/c2/text,Their expression becomes guarded. Of course. Loyal Spud forever.
Text/c3/text,State your whereabouts last night between 2200 and 0400 hours.
Choice/c4/text,"""I was in my quarters the entire night, sleeping."""
Choice/c5/text,"""I'd prefer to speak to my legal representative first."""
Text/c6/text,Your stress levels indicate [color=YELLOW]deception[/color]. However... inconclusive. You may go for now.
Text/c7/text,"Legal representative? This is a security procedure, not a trial. Your refusal has been noted."
Text/c7_viktor1/text,A burly security guard approaches during your break. His face is haggard.
Text/c7_viktor2/text,"Hey... you're one of the customs officers, right? I've been asking around about my wife, Elena."
Text/c7_viktor3/text,She crossed this checkpoint three weeks ago. [color=STEEL_BLUE]Failed inspection.[/color] I haven't heard from her since.
Choice/c7_viktor4/text,"""Viktor... I found something. About Elena. You need to know the truth."""
Choice/c7_viktor5/text,"""I'm sorry, Viktor. I haven't seen anything."" (Lie to protect him)"
Text/c7_viktor6/text,You show him a copy of the manifest page. His face goes white.
Text/c7_viktor7/text,"[wave amp=25 freq=3]His hands tremble as he reads.[/wave] [color=GOLD]Elena Petrov[/color]... [color=CRIMSON]Processed... Batch RR-2851...[/color]"
Text/c7_viktor8/text,His voice is barely a whisper. [tornado radius=3 freq=2][color=CRIMSON]They... they MADE her into...[/color][/tornado]
Text/c7_viktor9/text,His grief transforms into cold fury. [pulse freq=2][color=CRIMSON]Idaho will pay for this.[/color][/pulse] I swear it on her memory.
Text/c7_viktor10/text,He grips your shoulder. [color=CHARTREUSE]Thank you for telling me.[/color] When the time comes... I'll remember this.
Text/c7_viktor11/text,He nods sadly. [color=STEEL_BLUE]I thought so.[/color] No one knows anything. Or no one wants to talk.
Text/c7_viktor12/text,"If you hear anything... [color=YELLOW]please.[/color] She's all I have."
