keys,th
Text/b8/text,สถานที่ด่านชายแดนถูกปิดตายทั้งหมด โดยมีเจ้าหน้าที่รักษาความปลอดภัยติดอาวุธลาดตระเวนอยู่ทุกทางเดิน
Text/b9/text,[pulse freq=3][color=RED]โปรดทราบ! สถานการณ์ความปลอดภัยระดับสีแดง![/color][/pulse] เอกสารลับถูกขโมยไปเมื่อคืนนี้
Text/ba/text,เรามี [tornado radius=4 freq=3][color=CRIMSON]ผู้ทรยศอยู่ท่ามกลางพวกเรา[/color][/tornado] ใครก็ตามที่ปกปิดข้อมูลจะถูกถือว่าเป็นผู้สมรู้ร่วมคิด
Text/bb/text,เจ้าหน้าที่ทุกนาย เข้าแถวเพื่อ [wave amp=15 freq=2][color=DARK_ORANGE]การสแกนความปลอดภัย[/color][/wave] ผู้ที่มีการตอบสนองความเครียดสูงขึ้นจะถูกทำเครื่องหมาย
Text/bc/text,คุณเห็นสิ่งที่เกิดขึ้นข้างนอกไหม? แผ่นพับเต็มไปหมดที่แสดงว่า [color=DARK_VIOLET]Root Reserve[/color] ทำมาจาก... [pulse freq=3][color=CRIMSON]จากพวกเรา[/color][/pulse]
Choice/bd/text,"""เบาเสียงลงหน่อย พวกเราทุกคนกำลังถูกจับตาดู"""
Choice/be/text,"""ฉันได้ยินข่าวลือเดียวกัน มันน่าสะพรึงกลัวถ้าเป็นเรื่องจริง"""
Choice/bf/text,"""นั่นมันโฆษณาชวนเชื่อที่ไร้สาระ อย่าแพร่กระจายคำโกหกเช่นนั้น"""
Text/c0/text,คุณพูดถูก แต่ถ้ามันเป็นเรื่องจริง... แล้วเราจะเป็นอะไร?
Text/c1/text,ลูกพี่ลูกน้องของฉันถูกปฏิเสธเมื่อเดือนที่แล้ว นั่นหมายความว่า...? ฉัน [color=CHARTREUSE]ทำแบบนี้ต่อไปไม่ไหวแล้ว[/color]
Text/c2/text,สีหน้าของพวกเขาเปลี่ยนเป็นระแวดระวัง แน่นอน มันฝรั่งผู้ภักดีตลอดไป
Text/c3/text,แจ้งที่อยู่ของคุณเมื่อคืนนี้ระหว่าง 22:00 ถึง 04:00 น.
Choice/c4/text,"""ฉันอยู่ในห้องพักของฉันตลอดทั้งคืน กำลังนอนหลับ"""
Choice/c5/text,"""ฉันขอเลือกที่จะพูดคุยกับตัวแทนทางกฎหมายของฉันก่อน"""
Text/c6/text,ระดับความเครียดของคุณบ่งชี้ถึง [color=YELLOW]การหลอกลวง[/color] อย่างไรก็ตาม... ยังสรุปไม่ได้ ตอนนี้คุณไปได้
Text/c7/text,ตัวแทนทางกฎหมาย? นี่คือขั้นตอนการรักษาความปลอดภัย ไม่ใช่การพิจารณาคดี การปฏิเสธของคุณถูกบันทึกไว้แล้ว
Text/c7_viktor1/text,เจ้าหน้าที่รักษาความปลอดภัยร่างใหญ่เข้ามาหาคุณระหว่างพัก ใบหน้าของเขาดูอิดโรย
Text/c7_viktor2/text,เฮ้... คุณเป็นหนึ่งในเจ้าหน้าที่ศุลกากรใช่ไหม? ฉันถามหาภรรยาของฉัน เอเลน่า มาตลอด
Text/c7_viktor3/text,เธอข้ามด่านนี้เมื่อสามสัปดาห์ก่อน [color=STEEL_BLUE]ไม่ผ่านการตรวจสอบ[/color] ฉันไม่ได้รับข่าวจากเธอเลยตั้งแต่นั้นมา
Choice/c7_viktor4/text,"""วิกเตอร์... ฉันเจออะไรบางอย่าง เกี่ยวกับเอเลน่า คุณจำเป็นต้องรู้ความจริง"""
Choice/c7_viktor5/text,"""ฉันขอโทษ วิกเตอร์ ฉันไม่เห็นอะไรเลย"""
Text/c7_viktor6/text,คุณแสดงสำเนาหน้าบัญชีรายชื่อให้เขาดู ใบหน้าของเขาซีดเผือด
Text/c7_viktor7/text,[wave amp=25 freq=3]มือของเขาสั่นขณะที่เขาอ่าน[/wave] [color=GOLD]เอเลน่า เปตรอฟ[/color]... [color=CRIMSON]ดำเนินการแล้ว... แบทช์ RR-2851...[/color]
Text/c7_viktor8/text,เสียงของเขาแทบจะเป็นกระซิบ [tornado radius=3 freq=2][color=CRIMSON]พวกเขา... พวกเขาเอาเธอไปทำเป็น...[/color][/tornado]
Text/c7_viktor9/text,ความเศร้าโศกของเขาเปลี่ยนเป็นความโกรธแค้นเย็นชา [pulse freq=2][color=CRIMSON]ไอดาโฮจะต้องชดใช้เรื่องนี้[/color][/pulse] ฉันขอสาบานด้วยความทรงจำของเธอ
Text/c7_viktor10/text,เขากุมไหล่คุณ [color=CHARTREUSE]ขอบคุณที่บอกผม[/color] เมื่อถึงเวลา... ผมจะจำเรื่องนี้ไว้
Text/c7_viktor11/text,เขาส่ายหน้าอย่างเศร้าสร้อย [color=STEEL_BLUE]ผมคิดไว้แล้ว[/color] ไม่มีใครรู้อะไรเลย หรือไม่มีใครอยากพูดกันแน่
Text/c7_viktor12/text,ถ้าคุณได้ยินอะไร... [color=YELLOW]ได้โปรด[/color] เธอคือทั้งหมดที่ผมมี
Text/c8/text,มันได้ผล รายการสินค้าทำให้เกิดความวุ่นวาย แต่ [color=DARK_ORANGE]รัสเซ็ตสงสัยเรา[/color]
Text/c9/text,คอยดูพันธมิตรจากองค์กรของเราในกะวันนี้ [color=CHARTREUSE]คุณจะจำพวกเขาได้[/color]
Text/ca/text,ถ้าคุณสามารถให้พวกเขาผ่านไปได้อย่างปลอดภัย ให้ใช้ [color=CHARTREUSE]เครื่องหมายพิเศษที่เราคุยกันไว้[/color]
Choice/cb/text,"""มันคุ้มค่าที่จะเสี่ยง ผมเข้าร่วมด้วย"""
Choice/cc/text,"""นี่มันอันตรายเกินไปแล้ว บางทีเราควรจะซ่อนตัว"""
Text/cd/text,ผมรู้ว่าผมพึ่งคุณได้ เมื่อเรื่องนี้จบลง [color=CHARTREUSE]สปัดจะรู้ว่าใครคือฮีโร่ที่แท้จริง[/color]
Text/ce/text,เราเลยจุดนั้นมาไกลแล้ว การซ่อนตัวจะไม่ช่วยเรา [color=CHARTREUSE]มีแต่การล้มล้างระบบเท่านั้นที่จะทำได้[/color]
Text/cf/text,แต่ละสถานีมีระบบใหม่ [color=DARK_ORANGE]RealityScan[/color] มันตรวจจับเครื่องหมายที่ไม่ได้รับอนุญาตและการปลอมแปลง
Text/d0/text,เอกสารทั้งหมดต้องถูกสแกนก่อนการอนุมัติ [color=CRIMSON]พวกกบฏจะถูกกำจัด[/color] ผมรับประกัน
Text/d0_qte1/text,ในกะต่อมา นักเดินทางคนหนึ่งเข้ามาพร้อมเอกสารที่มี [color=CHARTREUSE]เครื่องหมายต่อต้านที่ซ่อนอยู่[/color]
Text/d0_qte2/text,[color=DARK_ORANGE]RealityScan[/color] เริ่มสแกน [wave amp=15 freq=3][color=RED]มันกำลังจะตรวจพบเครื่องหมาย![/color][/wave]
Text/d0_qte3/text,คุณมีเวลาไม่กี่วินาทีในการตัดสินใจ เครื่องสแกนกำลังวอร์มอัพ...
Choice/d0_qte4/text,"""แกล้งทำเครื่องสแกนเสีย - เร็วเข้า!"" (ช่วยฝ่ายต่อต้าน)"
Choice/d0_qte5/text,"""ปล่อยให้เครื่องสแกนทำงานจนเสร็จ"" (ทำตามระเบียบ)"
Text/d0_qte6/text,[pulse freq=3][color=YELLOW]คุณต้องรีบ![/color][/pulse] ทำให้เครื่องเสียก่อนที่มันจะสแกนเสร็จ!
Text/d0_qte7/text,คุณคลำสายเคเบิลเครื่องสแกน ประกายไฟแลบ หน้าจอกะพริบแล้วดับไป
Text/d0_qte8/text,รัสเซ็ตรีบเข้ามา [color=YELLOW]เกิดอะไรขึ้นที่นี่?[/color]
Choice/d0_qte9/text,"""ไฟกระชากครับท่าน ระบบใหม่พวกนี้มันเอาแน่เอานอนไม่ได้"""
Choice/d0_qte10/text,"""ผมไม่ทราบครับท่าน มันก็ดับไปเอง"""
Text/d0_qte11/text,รัสเซ็ตคำราม [color=STEEL_BLUE]พวกข้าราชการให้เราใช้อุปกรณ์ที่ยังไม่ได้ทดสอบ[/color] ดำเนินการด้วยตนเองและทำเครื่องหมายเพื่อตรวจสอบซ้ำ
Text/d0_qte12/text,รัสเซ็ตมองคุณอย่างสงสัย [color=YELLOW]บังเอิญจริงนะ[/color] ฉันจะให้ฝ่ายซ่อมบำรุงมาดู อย่าให้เกิดเรื่องแบบนี้ขึ้นอีก
Text/d0_qte13/text,สมาชิกฝ่ายต่อต้านพยักหน้าขอบคุณเล็กน้อยขณะที่พวกเขาผ่านไป
Text/d0_qte14/text,เครื่องสแกน [pulse freq=3][color=RED]ส่งเสียงดังลั่น[/color][/pulse] ตรวจพบรอยประทับที่ไม่ได้รับอนุญาต!
Text/d0_qte15/text,รัสเซ็ตปรากฏตัวขึ้นทันที [color=CHARTREUSE]ทำได้ดีมาก![/color] จับกบฏได้อีกคนแล้ว
Text/d0_qte16/text,"สมาชิกกลุ่มต่อต้านถูกลากตัวไป ดวงตาเต็มไปด้วยความหวาดกลัว ""[color=CRIMSON]ไม่นะ! ได้โปรด! ฉันมีลูก![/color]"""
Text/d0_qte17/text,ความภักดีของคุณ [color=DARK_ORANGE]ถูกบันทึกไว้ในแฟ้มของคุณ[/color] ทำต่อไป
Text/d1/text,การช่วยเหลือสมาชิกกลุ่มต่อต้านอันตรายขึ้นมาก แต่ [color=CHARTREUSE]ความจริงจะต้องแพร่กระจายออกไป[/color]
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
Choice/c7_viktor4/disabled_text,
Choice/c7_viktor5/disabled_text,
Choice/d0_qte4/disabled_text,
Choice/d0_qte5/disabled_text,
Choice/d0_qte9/disabled_text,
Choice/d0_qte10/disabled_text,
