keys,cs
Character/173/name,Rozhlasový hlasatel
Character/174/name,Kolega důstojník
Character/175/name,Vypravěč
Character/176/name,Tichý brambor
Character/177/name,Znepokojený brambor
Character/178/name,Prastarý brambor
Character/179/name,Ty
Character/17a/name,Premiér Idaho
Character/17b/name,Vůdce odboje
Character/17c/name,Nedůvěřivý člen odboje
Character/17d/name,Drzý člen odboje
Character/17e/name,Šéf bezpečnosti
Character/17f/name,Bezpečnostní důstojník
Character/180/name,Brambor Šťouchal
Character/181/name,Dozorce Russet
Character/181/nicknames,"Russ,Russet,Dozorce Russet"
Character/182/name,Sladký brambor Sasha
Character/183/name,Nervózní cestovatel
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
