keys,ar
Character/173/name,مذيع الراديو
Character/174/name,مورفي
Character/175/name,الراوي
Character/176/name,بطاطس هادئة
Character/177/name,بطاطس قلقة
Character/178/name,بطاطس عتيقة
Character/179/name,You
Character/17a/name,رئيس الوزراء أيداهو
Character/17b/name,قائد المقاومة
Character/17c/name,عضو مقاومة متشكك
Character/17d/name,عضو مقاومة جريء
Character/17e/name,رئيس الأمن
Character/17f/name,ضابط الأمن
Character/180/name,سبود ماشرسون
Character/181/name,المشرف راسيت
Character/181/nicknames,راس، راسيت، المشرف راسيت
Character/182/name,ساشا البطاطا الحلوة
Character/183/name,مسافر متوتر
Character/184/name,فيكتور
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
