keys,pt-BR
Character/173/name,Locutor de Rádio
Character/174/name,Murphy
Character/175/name,Narrador
Character/176/name,Batata Silenciosa
Character/177/name,Batata Preocupada
Character/178/name,Batata Antiga
Character/179/name,You
Character/17a/name,Primeiro-Ministro Idaho
Character/17b/name,Líder da Resistência
Character/17c/name,Membro Desconfiado da Resistência
Character/17d/name,Membro Ousado da Resistência
Character/17e/name,Chefe de Segurança
Character/17f/name,Oficial de Segurança
Character/180/name,Spud Masherson
Character/181/name,Supervisor Russet
Character/181/nicknames,"Russ,Russet,Supervisor Russet"
Character/182/name,Batata Doce Sasha
Character/183/name,Viajante Assustado
Character/184/name,Viktor
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
