keys,ro
Text/299_suppress1/text,Haosul izbucnește odată cu începerea atacului rezistenței. Explozii zguduie punctul de control.
Text/299_suppress2/text,"Ai putea fugi. Ai putea să te ascunzi. În schimb, tu [color=DARK_ORANGE]îți alegi partea[/color]."
Text/299_suppress3/text,Russet te prinde de braț. [pulse freq=2][color=YELLOW]ACUM E ȘANSA TA![/color][/pulse] Dovedește-ți loialitatea!
Text/299_suppress4/text,Rezistența încearcă să spargă poarta de est! [color=CRIMSON]Oprește-i![/color]
Text/299_suppress5/text,Îți strângi arma. Aceștia ar putea fi oameni pe care îi cunoști. Oameni pe care i-ai ajutat.
Text/299_suppress6/text,Dar supraviețuirea are un preț. [color=DARK_ORANGE]Ți-ai făcut alegerea.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Luptă pentru stat![/color][/pulse] Suprimă atacul rezistenței!
Text/299_suppress8/text,"Când fumul se risipește, cadavrele zac împrăștiate pe jos. Unii poartă insigne ale rezistenței."
Text/299_suppress9/text,[color=STEEL_BLUE]Recunoști fețe printre cei căzuți.[/color]
Text/299_suppress10/text,Murphy zace printre morți. Ochii lui privesc în gol. Fotografia lui Tommy strânsă în mână.
Text/299_suppress11/text,[color=STEEL_BLUE]A murit luptând pentru ceva în care credea. Tu ai ajutat la distrugerea acelui lucru.[/color]
Text/300/text,"Atacul rezistenței a eșuat. Punctul de control rezistă, mai puternic ca oricând. Și tu rămâi la postul tău."
Text/301/text,[pulse freq=2][color=GOLD]TRĂIASCĂ PRIM-MINISTRUL IDAHO![/color][/pulse] Apărător al Spudului! Învingător al trădătorilor!
Text/302/text,"Un cartof masiv, în veșminte bogate, coboară dintr-un vehicul blindat, flancat de gărzi de elită."
Text/303/text,"Idaho inspectează punctul de control cu ochi reci, calculați."
Text/304/text,"Russet se grăbește înainte, înclinându-se adânc. Prim-ministre! Suntem onorați de prezența dumneavoastră!"
Text/305/text,Trădătorii au fost [color=DARK_VIOLET]procesați[/color] conform ordinelor dumneavoastră. Producția a crescut cu 40% în acest trimestru!
Text/306/text,Și acesta este ofițerul care a rămas loial în timpul revoltei?
Text/307/text,"Da, Prim-ministre. Devotament neclintit. A raportat activități suspecte. Un cetățean model."
Text/308/text,"Idaho pășește înainte, prinzându-ți o medalie pe piept - [color=GOLD]Tuberculul de Aur[/color]."
Text/309/text,Pentru servicii excepționale. Ai dovedit că [color=DARK_ORANGE]loialitatea față de Spud[/color] va fi întotdeauna recompensată.
