keys,uk
Text/11/text,"Кордон Бульби в [pulse freq=3][color=CRIMSON]хаосі[/color][/pulse]. Спантеличені картоплини заполонили КПП, відчайдушно намагаючись втекти після витоку документів."
Text/12/text,Ти прослизаєш із Сашею. [wave amp=20 freq=3][color=CHARTREUSE]Ми мусимо просуватися![/color][/wave] Люди знають правду тепер.
Text/13/text,"Вони більше не зможуть замовчувати правду. Якщо ми зможемо проникнути на об'єкт [color=DARK_VIOLET]Кореневий Резерв[/color] і транслювати докази, це [tornado radius=3 freq=2][color=CHARTREUSE]розпалить революцію[/color][/tornado]."
Text/14/text,Те місце — фортеця. І тепер серед нас є [color=YELLOW]колишній митний агент[/color]. Їхні очі підозріло звужуються на тебе.
Choice/15/text,"Я розумію твої сумніви, але я відданий цій справі."
Choice/16/text,Я вже пожертвував усім. Я не відступлю зараз.
Text/17/text,Гарні слова. Але ми чули їх раніше.
Text/18/text,"Вони допомогли нам отримати документи. Це дії, а не слова."
Text/19/text,"Тепер не можна повернутися до того, щоб бути вірною картоплиною. Ласкаво просимо до опору, товаришу."
Text/1a_rescue1/text,Розвідник підбігає. Ми її знайшли! [color=CHARTREUSE]Саша в блоці затримання![/color]
Text/1a_rescue2/text,Вони готуються... [tornado radius=3 freq=2][color=CRIMSON]обробити її[/color][/tornado]... менш ніж за годину!
Text/1a_rescue3/text,Ми мусимо її врятувати. [pulse freq=2][color=CHARTREUSE]Вона все це почала.[/color][/pulse] Ми не підемо без неї.
Text/1a_rescue4/text,"[wave amp=25 freq=3][color=YELLOW]Мчи крізь об'єкт![/color][/wave] Доберися до Саші, поки не пізно!"
Text/1a_rescue_fail1/text,Ти спіткаєшся. Шлях попереду заблокований охоронцями!
Text/1a_rescue_fail2/text,Віктор вривається через бічні двері. [color=CHARTREUSE]ЙДИ! Я їх затримаю![/color]
Text/1a_rescue_fail3/text,За Олену. За всіх них. [color=STEEL_BLUE]Я не дозволю померти ще одному![/color]
Text/1a_rescue_fail4/text,Мерфі смикає пожежну сигналізацію. [color=CHARTREUSE]За Томмі![/color] Спринклери засліплюють охоронців!
Text/1a_rescue_fail5/text,[color=STEEL_BLUE]Я створю відволікаючий маневр. Виведи її звідти![/color]
Text/1a_rescue_fail6/text,"[color=YELLOW]Конвеєр обробки заклинює[/color], сиплячи іскрами та відволікаючи охоронців!"
Text/1a_rescue_fail7/text,Доля — або привиди оброблених — дарує тобі другий шанс.
Text/1a_rescue5/text,"Саша піднімає погляд зі своєї камери, побита, але не зламана. Її очі розширюються. [color=CHARTREUSE]Ти прийшов.[/color]"
Text/1a_rescue6/text,"Звісно, я прийшов. [color=CHARTREUSE]Ми закінчимо це разом.[/color]"
Choice/1a_rescue7/text,"Я боявся, що більше ніколи тебе не побачу."
Choice/1a_rescue8/text,Ти змусила нас хвилюватися до смерті. Більше так не роби.
Choice/1a_rescue9/text,У нас є робота. Айдахо чекає.
Text/1a_rescue10/text,"[color=CHARTREUSE]Саша коротко обіймає тебе.[/color] Я знала, що ти прийдеш. Я ніколи не сумнівалася."
Text/1a_rescue11/text,"Тепер змусимо їх заплатити за кожного, кого вони забрали. [color=CHARTREUSE]Разом.[/color]"
Text/1a_rescue12/text,Саша ледь помітно посміхається крізь біль. [color=STEEL_BLUE]Я спробую.[/color] Але деякі речі варті ризику.
Text/1a_rescue13/text,Твоя присутність тут доводить це. Тепер давай покінчимо з цим.
Text/1a_rescue14/text,"Саша киває, її рішучість знову спалахує. [color=CHARTREUSE]Ти маєш рацію.[/color] Сентименти можуть зачекати."
Text/1a_rescue15/text,"Айдахо думає, що переміг. Покажемо йому, як сильно він помиляється."
