keys,pt
Text/131/text,"Você se agacha enquanto a batalha continua. Sinto muito, Sasha. [color=STEEL_BLUE]Não sou tão corajoso quanto você[/color]."
Text/132/text,O [color=CRIMSON]ataque terrorista[/color] foi repelido! Os líderes estão sendo [color=DARK_VIOLET]processados[/color] neste momento.
Text/133/text,"Chefe Yukon arrasta membros da resistência acorrentados, Sasha entre eles. ""Estes [color=CRIMSON]traidores[/color] enfrentarão [color=DARK_VIOLET]processamento final[/color]."""
Text/134/text,"Sasha encontra seu olhar. Apesar de seus hematomas, seu olhar contém [wave amp=15 freq=2][color=CHARTREUSE]nenhum julgamento, apenas tristeza[/color][/wave]."
Text/135/text,"Você sobreviveu mantendo a cabeça baixa, mas [pulse freq=3][color=GOLD]a que custo?[/color][/pulse] Enquanto a produção da [color=DARK_VIOLET]Reserva Raiz[/color] exala da fábrica, seu estômago se revira."
Text/136/text,Talvez ainda haja uma chance de dentro. Ou talvez você esteja apenas acalmando sua consciência.
Text/137/text,Você [tornado radius=3 freq=2][color=CHARTREUSE]abandona seu posto[/color][/tornado] e corre em direção à luta. O tempo de cautela acabou.
Text/138/text,[pulse freq=3][color=GOLD]Prove que está conosco![/color][/pulse] Como você conhece a Sasha?
Text/139/text,"[color=CHARTREUSE]As raízes crescem profundamente![/color] Sou do posto de controle, Sasha me recrutou!"
Text/13a/text,Eles estão levando-a para a fábrica de processamento agora mesmo. Precisamos nos apressar!
Text/13b/text,"As portas explodem, revelando a [wave amp=25 freq=3][color=CRIMSON]terrível verdade[/color][/wave] - máquinas de moer, esteiras transportando batatas para sua destruição."
Text/13c/text,No final de uma esteira - Sasha e outros [color=CRIMSON]indefesamente amarrados[/color]. Supervisor Russet está nos controles.
Text/13d/text,[color=RED]VOCÊ![/color] Eu deveria ter sabido que você era um deles! Afaste-se ou eu inicio o processador!
Text/13e/text,"Enquanto combatentes da resistência dominam Russet, Sasha redireciona as câmeras da instalação. [color=YELLOW]Povo de Spud! Isto é a Reserva Raiz! Eles têm nos alimentado uns com os outros![/color]"
Text/13f/text,Você voltou por mim. [color=CHARTREUSE]Conseguimos. A verdade está lá fora agora.[/color] Temos um futuro para construir!
