keys,uk
Text/50/text,"Непогана робота сьогодні, паростку. Пам'ятай, ефективність — запорука успіху. Нам потрібно виконати норми."
Text/51/text,"Не забудь взяти свою порцію [wave amp=15 freq=2][color=DARK_VIOLET]Кореневого Запасу[/color][/wave]. Ти ж знаєш, що каже радіо: це смак майбутнього Бульби!"
Text/52/text,"Коли ти збираєш свої речі, маленька записка вислизає з-поміж твоїх робочих паперів."
Text/52b/text,Її там не було вранці. Хтось поклав її [color=YELLOW]під час твоєї зміни[/color].
Text/53/text,"[color=GOLD]Не все так, як здається. Коріння нашої нації прогнило.[/color]"
Text/53b/text,"[color=GOLD]Йди по сліду, але стережись, щоб тебе не змусили замовкнути.[/color]"
Text/53c/text,"[color=GOLD]Стеж, хто їсть [/color][color=DARK_VIOLET]Запас[/color][color=GOLD]. Стеж, хто відмовляється.[/color]"
Text/53d/text,[color=GOLD]- [/color][color=CHARTREUSE]Друг[/color]
Choice/53e/text,"""Заховати записку — розслідувати таємно"""
Choice/53f/text,"""Знищити записку — це може бути перевірка"""
Choice/53g/text,"""Негайно показати записку Рассету"""
Text/53h/text,Ти обережно складаєш записку і ховаєш її до кишені. [color=CHARTREUSE]Хтось намагається зв'язатися.[/color]
Text/53i/text,"Але хто? І чому ти, у свій перший день?"
Text/53j/text,Ти розриваєш записку на дрібні шматочки
Text/53k/text,"Рассет казав, що паростків, які ставлять питання, ""перепризначають"". Краще не ризикувати."
Text/53l/text,"Ти наздоганяєш Рассета, перш ніж він піде. ""Сер? Я знайшов це у своїх паперах..."""
Text/53m/text,"Рассет вихоплює записку, читає її. Його вираз обличчя змінюється — [color=YELLOW]чи це було впізнавання?[/color]"
Text/53n/text,"Пропаганда. Повстанці намагаються розбестити нових офіцерів. [color=DARK_ORANGE]Ти правильно зробив, принісши це мені.[/color]"
Text/53o/text,"Він ховає записку до кишені. Забудь, що ти її колись бачив. І стеж за будь-ким, хто поводиться... [color=CRIMSON]підозріло[/color]."
Text/54/text,"Та записка... і те, як Рассет відповів на моє питання про [pulse freq=3][color=CRIMSON]відбракованих бульб[/color][/pulse]..."
Text/54b/text,"""[color=VIOLET]Оброблено. Згідно з протоколом.[/color]"" Що це взагалі означає?"
Text/54c/text,"Та записка... у ній йшлося, що коріння прогнило [color=CRIMSON]наскрізь[/color]."
Text/54d/text,"Але ж Бульба славетна, чи не так? Так нам казали. У що я вірив."
Text/54e/text,"Ти витягуєш записку, перечитуючи її. ""[color=GOLD]Стеж, хто їсть Запас. Стеж, хто відмовляється.[/color]"""
Text/54f/text,Завтра ти будеш уважним. [color=YELLOW]Хтось намагається тобі щось сказати.[/color]
Text/54g/text,"Обличчя Рассета, коли він читав записку. На мить він виглядав майже... [color=STEEL_BLUE]наляканим[/color]."
Text/54h/text,Що таке [color=DARK_VIOLET]Кореневий Резерв[/color] насправді? І чому хтось попереджав би тебе про нього?
Text/54i/text,"Записки немає, але слова залишаються. [color=YELLOW]Не все так, як здається.[/color]"
Text/54j/text,"Можливо, знищити її було розумним рішенням. Можливо, ти просто змусив замовкнути свого єдиного союзника."
Text/55/text,"Мені слід залишатися [color=YELLOW]напоготові[/color]. Тут відбувається більше, ніж просто штампування паспортів."
Choice/53e/disabled_text,
Choice/53f/disabled_text,
Choice/53g/disabled_text,
