keys,nl
violation_condition_not_fresh,AFWIJZEN: Alleen verse aardappelen toegestaan. Deze aardappel is {condition}
violation_extra_eyes,AFWIJZEN: Extra Ogen conditie is verboden
violation_rotten,AFWIJZEN: Rotte aardappelen zijn verboden
violation_sprouted,AFWIJZEN: Gekiemde aardappelen zijn verboden
violation_dehydrated,AFWIJZEN: Gedehydrateerde aardappelen zijn verboden
violation_frozen,AFWIJZEN: Bevroren aardappelen zijn verboden
violation_too_old,AFWIJZEN: Aardappel is {age} jaar oud (maximale leeftijd: 4 jaar)
violation_too_young_3,AFWIJZEN: Aardappel is {age} jaar oud (minimale leeftijd: 4 jaar)
violation_too_young_2,AFWIJZEN: Aardappel is {age} jaar oud (minimale leeftijd: 3 jaar)
violation_males_only,AFWIJZEN: Alleen mannelijke aardappelen toegestaan
violation_females_only,AFWIJZEN: Alleen vrouwelijke aardappelen toegestaan
violation_country_spudland,AFWIJZEN: Alle Spudland aardappelen zijn verboden
violation_country_potatopia,AFWIJZEN: Alle Potatopia aardappelen zijn verboden
violation_country_tuberstan,AFWIJZEN: Alle Tuberstan aardappelen zijn verboden
violation_country_north_yamnea,AFWIJZEN: Alle Noord-Yamnea aardappelen zijn verboden
violation_country_spuddington,AFWIJZEN: Alle Spuddington aardappelen zijn verboden
violation_country_tatcross,AFWIJZEN: Alle Tatcross aardappelen zijn verboden
violation_country_mash_meadows,AFWIJZEN: Alle Mash Meadows aardappelen zijn verboden
violation_country_tuberville,AFWIJZEN: Alle Tuberville aardappelen zijn verboden
violation_country_chip_hill,AFWIJZEN: Alle Chip Hill aardappelen zijn verboden (exportbeperkingen)
violation_country_murphyland,AFWIJZEN: Alle Murphyland aardappelen zijn verboden
violation_country_colcannon,AFWIJZEN: Alle Colcannon aardappelen zijn verboden
violation_country_pratie_point,AFWIJZEN: Alle Pratie Point aardappelen zijn verboden
violation_race_purple_majesty,AFWIJZEN: Purple Majesty types zijn verboden
violation_race_sweet_potato,AFWIJZEN: Zoete aardappel types vereisen speciale vergunningen (niet beschikbaar)
violation_race_yukon_gold,AFWIJZEN: Yukon Gold types zijn verboden
violation_expired_document,AFWIJZEN: Document verlopen op {date}
violation_invalid_potato,Deze aardappel voldoet aan alle eisen en had goedgekeurd moeten zijn.
