keys,th
Text/117/text,ด่านตรวจได้กลายเป็นฐานทัพทหารไปแล้ว หน่วยรักษาความปลอดภัยชั้นยอดในชุดเครื่องแบบสีดำออกลาดตระเวนพร้อมอาวุธครบมือ
Text/118/text,ผมคือหัวหน้าเจ้าหน้าที่รักษาความปลอดภัย ยูคอน ถูกส่งมาจากเมืองหลวงโดยนายกรัฐมนมนตรีไอดาโฮ
Text/119/text,"ข้อมูลข่าวกรองระบุว่า [pulse freq=2][color=YELLOW]การโจมตีของผู้ก่อการร้ายกำลังจะเกิดขึ้น[/color][/pulse] ""กลุ่มต่อต้าน"" วางแผนที่จะแทรกซึมเข้ามาในวันพรุ่งนี้"
Text/11a/text,เจ้าหน้าที่ทุกคนจะต้องเข้ารับการ [wave amp=15 freq=2][color=DARK_ORANGE]ตรวจสอบความภักดี[/color][/wave] พฤติกรรมที่น่าสงสัยหมายถึงการควบคุมตัวและ [color=DARK_VIOLET]ดำเนินการ[/color]
Text/11b/text,[tornado radius=3 freq=2][color=RED]ความร่วมมืออย่างเต็มที่[/color][/tornado] กับฝ่ายความมั่นคงเป็นสิ่งจำเป็น รายงานเกี่ยวกับพวกคุณแต่ละคนได้ถูกส่งให้ท่านหัวหน้าแล้ว
Text/11c/text,สายตาของรัสเซ็ตจ้องมองคุณอย่างไม่สบายใจก่อนจะเลื่อนผ่านไป
Text/11d/text,นี่คือ [color=DARK_ORANGE]IdentityScan 5000[/color] มันจะวิเคราะห์ข้อมูลชีวมาตรเพื่อตรวจจับผู้แทรกซึมและผู้เห็นอกเห็นใจ
Text/11e/text,ใครก็ตามที่เครื่องสแกนตรวจพบจะต้องเผชิญกับการ [color=CRIMSON]สอบสวนขั้นสูง[/color] ใช้มันโดยไม่มีข้อยกเว้น
Text/11f/text,คุณเห็นซาช่าไหม? เธอไม่ได้มารายงานตัวเมื่อคืนนี้ [color=CRIMSON]กองกำลังรักษาความปลอดภัยบุกเข้าไปในห้องพักของเธอ[/color]
Text/120/text,พวกเขาบอกว่าเธอเป็นส่วนหนึ่งของ [pulse freq=2][color=CHARTREUSE]กลุ่มต่อต้าน[/color][/pulse]
Choice/121/text,"""เราไม่ควรพูดเรื่องนี้ มันอันตราย"""
Choice/122/text,"""ฉันก็เป็นห่วงเธอเหมือนกัน นี่มันไม่ถูกต้อง"""
Text/123/text,คุณพูดถูก แต่ระวังตัวไว้ พวกเขากำลังมองหาความเชื่อมโยงกับเธอ
Text/124/text,งั้นคุณก็สนิทกับเธอเหรอ? ระวังตัวไว้ พวกเขาอาจจะกำลังจับตาดูคุณอยู่ด้วย
Text/125/text,"เจ้าหน้าที่คนนั้นเลื่อนโน้ตให้คุณ: ""[color=YELLOW]ทำความสะอาดสถานีของคุณจากสิ่งน่าสงสัยใดๆ[/color]"""
Text/126/text,คุณอยู่ที่ด่านตรวจนี้มานานพอสมควรแล้วนะ ประวัติการทำงานน่าสนใจทีเดียว
Text/127/text,คุณถูกพบเห็นบ่อยครั้งกับเจ้าหน้าที่ซาช่า ซึ่งตอนนี้กำลังถูกสอบสวนในข้อหา [wave amp=20 freq=3][color=CRIMSON]กบฏ[/color][/wave]
Text/128/text,ท่านหัวหน้าเอนตัวมาข้างหน้า มีอะไรที่คุณอยากจะบอกผมเกี่ยวกับกิจกรรมของเธอบ้างไหม?
Choice/129/text,"""ซาช่ากับผมเป็นแค่เพื่อนร่วมงาน ผมไม่รู้อะไรเกี่ยวกับเธอนอกเวลางานเลย"""
Choice/12a/text,"""ผมกำลังรวบรวมหลักฐานเกี่ยวกับกิจกรรมที่น่าสงสัยของเธอเพื่อรายงานในภายหลัง"""
Text/12b/text,พยานหลายคนพูดเป็นอย่างอื่น แต่หากไม่มีหลักฐานที่ชัดเจน ผมก็ไม่สามารถควบคุมตัวคุณได้ [color=YELLOW]ตอนนี้[/color]
Text/12c/text,คุณจะอยู่ภายใต้การ [color=CRIMSON]จับตาดูอย่างใกล้ชิด[/color] หากพลาดแม้แต่ก้าวเดียว คุณจะต้อง [color=DARK_VIOLET]ไปอยู่กับซาช่า[/color]
Text/12d/text,ช่างบังเอิญอะไรเช่นนี้ แต่คุณกลับไม่ยื่นรายงานใดๆ จนถึงตอนนี้
Text/12e/text,คุณจะต้องให้การอย่างละเอียด หากข้อมูลของคุณมีค่า เราอาจจะมองข้ามการรายงานที่ล่าช้าของคุณไป
Text/12f/text,วันนี้ผมจะ [color=CRIMSON]ตรวจสอบการทำงานของคุณ[/color] ผู้เดินทางทุกคนจะต้องถูกสแกนยืนยันตัวตน [color=RED]ไม่มีข้อยกเว้น[/color]
Text/130/text,ซาช่าถูกจับกุมตัวไปแล้ว แผนการต่อต้าน[color=CRIMSON]ถูกเปิดเผย[/color] เมื่อการรักษาความปลอดภัยเข้มงวดขึ้น โอกาสของพวกเขาดูไร้ความหวัง
Choice/121/disabled_text,
Choice/122/disabled_text,
Choice/129/disabled_text,
Choice/12a/disabled_text,
