keys,en
Text/102/text,"Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth."
Text/102_foreshadow1/text,"[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]"
Text/102_foreshadow2/text,"Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave]"
Text/102_foreshadow3/text,"Sasha, maybe you should lay low for a while. Let me take more of the risk."
Text/102_foreshadow4/text,"[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet."
Text/102_foreshadow5/text,"Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color]"
Text/103/text,"I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color]."
Text/104/text,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.
Text/105/text,"Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]"""
Text/106/text,"Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio."
Text/106_trucks1/text,But we still don't know where the main processing facility is. The documents only list shipment codes.
Text/106_trucks2/text,I've been watching the [color=DARK_VIOLET]Root Reserve trucks[/color]. They leave every night at 0300. Same route.
Text/106_trucks3/text,"[color=CHARTREUSE]If we could follow them...[/color] we'd know exactly where they're taking the rejects."
Choice/106_trucks4/text,"I'll do it. I know the patrol schedules."
Choice/106_trucks5/text,"That sounds risky. Can't someone else do it?"
Text/106_trucks6/text,"[color=CHARTREUSE]Sasha's eyes light up.[/color] I knew you had roots of steel. Be careful - they patrol heavily at night."
Text/106_trucks7/text,0300 hours. You crouch in the shadows as the [color=DARK_VIOLET]Root Reserve[/color] trucks rumble past.
Text/106_trucks8/text,[pulse freq=2][color=YELLOW]Stay hidden! Follow the convoy![/color][/pulse]
Text/106_trucks9/text,"The trucks stop at a massive complex hidden in the industrial district. [color=DARK_VIOLET]Sector 7, Warehouse Complex Delta.[/color]"
Text/106_trucks10/text,"Smokestacks belch purple-tinged smoke. The smell is... [tornado radius=3 freq=2][color=CRIMSON]unmistakable.[/color][/tornado]"
Text/106_trucks11/text,[wave amp=20 freq=3][color=CHARTREUSE]The heart of Root Reserve.[/color][/wave]
Text/106_trucks12/text,"[color=STEEL_BLUE]Sasha's expression flickers with disappointment.[/color] We all have to take risks. I'll find another way."
Text/107/text,The situation outside has deteriorated. Angry crowds gather at checkpoints demanding answers about Root Reserve.
Text/108/text,[color=YELLOW]EMERGENCY BROADCAST[/color]: Recent circulation of [color=CRIMSON]forged documents[/color] has caused unnecessary panic.
Text/109/text,"A reward of [color=GOLD]10,000 Spud Credits[/color] is offered for information leading to the capture of these saboteurs."
Text/10a/text,Consuming or distributing this propaganda is now classified as [color=RED]high treason[/color].
Text/10b/text,Today's shift will operate under special protocols. Each traveler must undergo Loyalty Assessment.
Text/10c/text,Those demonstrating [color=CRIMSON]anti-government sentiments[/color] are to be flagged immediately.
Text/10d/text,"The [color=CRIMSON]traitor in our midst[/color] will be found. And when they are... [color=DARK_ORANGE]Russet makes a menacing gesture across his neck.[/color]"
Text/10e/text,"A nervous potato approaches, [color=GOLD]yellow leaf badge[/color] partially visible. A tiny note is tucked between papers: ""[color=CHARTREUSE]Safe house compromised. New location: Warehouse 7, Sector 4.[/color]"""
Choice/10f/text,"""Process them through quickly with the UV mark"" (Help)"
Choice/110/text,"""Report them to security immediately"" (Betray)"
Text/111/text,"Relief floods their face. ""Thank you. The truth will prevail."""
Text/112/text,"Horror dawns as you signal security. ""[wave amp=25 freq=3]No, please! I have a family![/wave]"" Their yellow badge falls to the floor."
Text/113/text,"""Well done. Your loyalty is noted."""
Text/114/text,"""Your decision was noticed. Be ready. [tornado radius=3 freq=2][color=CHARTREUSE]Something big is coming[/color][/tornado]. The resistance is planning a direct action."""
Text/115/text,"""When it happens, you'll need to [color=YELLOW]choose a side[/color]. There won't be any middle ground left."""
Text/116/text,"With each potato you process, you're either [pulse freq=2][color=CHARTREUSE]aiding a revolution[/color][/pulse] or [pulse freq=2][color=CRIMSON]enabling a horrific system[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
Choice/106_trucks4/disabled_text,
Choice/106_trucks5/disabled_text,
