keys,cs
Text/299_suppress1/text,"Vypuká chaos, jakmile začne útok odporu. Výbuchy otřásají kontrolním stanovištěm."
Text/299_suppress2/text,Mohl bys utéct. Mohl bys se schovat. Místo toho jsi [color=DARK_ORANGE]zvolil svou stranu[/color].
Text/299_suppress3/text,Russet tě chytí za ruku. [pulse freq=2][color=YELLOW]TEĎ JE TVÁ ŠANCE![/color][/pulse] Dokaž svou loajalitu!
Text/299_suppress4/text,Odpor se snaží prorazit východní bránu! [color=CRIMSON]Zastav je![/color]
Text/299_suppress5/text,"Sevřeš svou zbraň. To by mohli být lidé, které znáš. Lidé, kterým jsi pomohl."
Text/299_suppress6/text,Ale přežití má svou cenu. [color=DARK_ORANGE]Učinil jsi svou volbu.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Bojuj za stát![/color][/pulse] Potlač útok odporu!
Text/299_suppress8/text,"Když se dým rozplyne, těla leží roztroušena po zemi. Některá mají odznaky odporu."
Text/299_suppress9/text,[color=STEEL_BLUE]Rozpoznáváš tváře mezi padlými.[/color]
Text/299_suppress10/text,Murphy leží mezi mrtvými. Jeho oči zírají do prázdna. Tommyho fotka sevřená v jeho ruce.
Text/299_suppress11/text,"[color=STEEL_BLUE]Zemřel v boji za něco, v co věřil. Ty jsi pomohl to zabít.[/color]"
Text/300/text,"Útok odporu selhal. Kontrolní stanoviště stojí, silnější než kdy předtím. A ty zůstáváš na svém místě."
Text/301/text,[pulse freq=2][color=GOLD]VŠICHNI SLÁVA PREMIÉROVI IDAHOVI![/color][/pulse] Obránce Brambory! Přemožitel zrádců!
Text/302/text,"Obrovská brambora v honosném rouchu vystupuje z obrněného vozidla, obklopena elitními strážemi."
Text/303/text,"Idaho si prohlíží kontrolní stanoviště chladnýma, vypočítavýma očima."
Text/304/text,"Russet se spěšně přiblíží, hluboce se ukloní. Pane premiére! Jsme poctěni vaší přítomností!"
Text/305/text,"Zrádci byli [color=DARK_VIOLET]zpracováni[/color], jak jste nařídil. Produkce vzrostla o 40 % toto čtvrtletí!"
Text/306/text,"A toto je ten důstojník, který zůstal loajální během povstání?"
Text/307/text,"Ano, pane premiére. Nepochybná oddanost. Nahlásil podezřelé aktivity. Vzorný občan."
Text/308/text,Idaho přistoupí a připne ti medaili na hruď – [color=GOLD]Zlatá Hlíza[/color].
Text/309/text,"Za službu nad rámec povinností. Dokázal jsi, že [color=DARK_ORANGE]loajalita k Bramboře[/color] bude vždy odměněna."
Choice/30a/text,"Děkuji, pane premiére. Sláva Bramboře."
Choice/30b/text,"Jen jsem plnil svou povinnost, pane. (Vynucený úsměv)"
Text/30c/text,Idahův úsměv nedosahuje k jeho očím. Ano. To jsi jistě udělal.
Text/30d/text,Idaho si tě dlouho prohlíží. Povinnost. [color=STEEL_BLUE]Tak jednoduché slovo pro tak složité činy.[/color]
Text/30e/text,"Zajímalo by mě, jaké [color=CRIMSON]noční můry[/color] navštěvují ty, kdo svou „povinnost“ plní tak dobře."
Text/30f/text,"Na počest vítězství se koná hostina. Stoly se prohýbají pod jídlem, včetně štědrých porcí [color=DARK_VIOLET]Kořenové rezervy[/color]."
Text/310/text,"Russet zvedá sklenici husté, fialové tekutiny. Přípitek! Na [color=CRIMSON]zrádce, kteří nás živí[/color]!"
Text/311/text,Místnost se směje. Někteří nervózně. Většina upřímně.
Text/312/text,Přisune k vám talíř. Zkuste novou várku. [color=DARK_VIOLET]„Odbojová směs.“[/color] Sashin příspěvek k budoucnosti Spudu.
Text/313/text,Žaludek se vám sevře. Jídlo na talíři. [color=CRIMSON]Sasha.[/color] Murphyho sestřenice. Žena z fotky.
Text/314/text,[tornado radius=3 freq=2][color=CRIMSON]Všichni.[/color][/tornado]
Choice/315/text,Přinutit se jíst – udržet si krytí
Choice/316/text,Odstrčit talíř – tohle nedokážete
Text/317/text,Zvednete vidličku k ústům. Zavřete oči. [color=STEEL_BLUE]Žvýkat. Polknout. Nemyslet.[/color]
Text/318/text,Russet souhlasně přikývne. „Dobře. [color=DARK_ORANGE]Dostanete se daleko.[/color]“
