keys,it
Text/140/text,"Il confine assomiglia a una [pulse freq=3][color=CRIMSON]zona di guerra[/color][/pulse]. Barricate, veicoli blindati e guardie d'élite sono pronte. Oggi è quando la resistenza ha pianificato di attaccare."
Text/141/text,"[wave amp=25 freq=3][color=YELLOW]TRASMISSIONE DI EMERGENZA[/color][/wave]: Tutta Spud è sotto [color=RED]legge marziale[/color]. ""La Resistenza"" ha lanciato attacchi contro strutture governative."
Text/142/text,Chiunque aiuti questi [color=CRIMSON]estremisti[/color] affronta [color=DARK_VIOLET]elaborazione immediata[/color]. Il Ministero conferma: [color=DARK_VIOLET]Root Reserve[/color] rimane sicuro per tutte le [color=DARK_ORANGE]patate leali[/color].
Text/143/text,[color=YELLOW]Sono scoppiati disordini[/color] in più settori. Le cellule della resistenza hanno attaccato tre strutture di [color=DARK_VIOLET]Root Reserve[/color].
Text/144/text,Il loro obiettivo: accedere al database centrale con tutti i registri di produzione. Qualsiasi segno di slealtà significa elaborazione.
Text/145/text,"Abbiamo catturato diversi operativi della resistenza, incluso l'Ufficiale Sasha."
Text/146/text,I [tornado radius=3 freq=2][color=CRIMSON]veri traditori[/color][/tornado] sono quelli che [color=DARK_VIOLET]nutrono la nostra gente l'uno con l'altro[/color]. Non potete fermare la verità!
Text/147/text,"Viene trascinata via, ancora gridando: [color=CHARTREUSE]La gente saprà cosa c'è nel loro cibo![/color]"
Text/148/text,"Il [color=CRIMSON]traditore[/color] sarà [pulse freq=3][color=DARK_VIOLET]elaborato immediatamente[/color][/pulse]. Un lotto speciale di [color=DARK_VIOLET]Root Reserve[/color], fatto dagli stessi terroristi."
Text/149/text,Tutti i valichi di frontiera sono [color=RED]sospesi[/color] tranne che per il personale essenziale con [color=GOLD]autorizzazione di Livello Alpha[/color].
Text/14a/text,Questo scanner [color=YELLOW]non può essere ingannato[/color]. Fai suonare immediatamente l'allarme per chiunque senza autorizzazione adeguata.
Text/14b/text,Una patata in uniforme ufficiale si avvicina con credenziali Alpha apparentemente perfette.
Text/14c/text,"Una piccola carta blu cade dalla cartella. ""[wave amp=15 freq=3][color=CHARTREUSE]Le radici crescono in profondità.[/color][/wave]"", mormorano mentre raccolgono la carta."
Choice/14d/text,"Falli passare, ignorando gli allarmi dello scanner (Aiuta la resistenza)"
Choice/14e/text,Fai suonare immediatamente l'allarme (Tradisci la resistenza)
Text/14f/text,"Il sollievo si mostra nei loro occhi. ""[color=CHARTREUSE]Per Sasha. Per Spud.[/color]"" Scompaiono verso il database centrale."
Text/150/text,"L'orrore si fa strada sul loro volto. ""[color=CRIMSON]Tu traditore! Ci fidavamo di te![/color]"" Vengono rapidamente circondati dalle guardie."
Text/151/text,Eccellente lavoro. La tua lealtà sarà ricompensata.
Text/152/text,"Improvvisamente, la struttura [color=YELLOW]trema con esplosioni[/color]. L'attacco della resistenza è iniziato, indipendentemente dalla tua scelta."
Text/153/text,"Rimango al mio posto e spero che questo passi, o [color=CHARTREUSE]prendo posizione[/color] e rischio tutto per esporre la verità?"
Choice/154/text,Non posso abbandonare il mio dovere. Starò zitto e spererò per il meglio.
Choice/155/text,Sono stato complice per troppo tempo. È ora di combattere per ciò che è giusto.
Choice/155/disabled_text,
Choice/14d/disabled_text,
Choice/154/disabled_text,
Choice/14e/disabled_text,
Text/156/text,[pulse freq=3][color=YELLOW]Sbrigati![/color][/pulse] La sicurezza è in subbuglio - questa è la tua unica occasione per scappare!
