keys,el
Text/140/text,"Τα σύνορα μοιάζουν με [pulse freq=3][color=CRIMSON]εμπόλεμη ζώνη[/color][/pulse]. Οδοφράγματα, τεθωρακισμένα οχήματα και επίλεκτοι φρουροί είναι σε ετοιμότητα. Σήμερα είναι η μέρα που η αντίσταση σχεδίαζε να χτυπήσει."
Text/141/text,"[wave amp=25 freq=3][color=YELLOW]ΕΚΤΑΚΤΟ ΔΕΛΤΙΟ[/color][/wave]: Όλο το Spud βρίσκεται υπό [color=RED]στρατιωτικό νόμο[/color]. ""Η Αντίσταση"" έχει εξαπολύσει επιθέσεις εναντίον κυβερνητικών εγκαταστάσεων."
Text/142/text,Όποιος βοηθά αυτούς τους [color=CRIMSON]εξτρεμιστές[/color] αντιμετωπίζει [color=DARK_VIOLET]άμεση μεταποίηση[/color]. Το Υπουργείο επιβεβαιώνει: Το [color=DARK_VIOLET]Απόθεμα Ρίζας[/color] παραμένει ασφαλές για όλες τις [color=DARK_ORANGE]πιστές πατάτες[/color].
Text/143/text,[color=YELLOW]Έχουν ξεσπάσει ταραχές[/color] σε πολλούς τομείς. Πυρήνες αντίστασης έχουν επιτεθεί σε τρεις εγκαταστάσεις του [color=DARK_VIOLET]Αποθέματος Ρίζας[/color].
Text/144/text,Ο στόχος τους: πρόσβαση στην κεντρική βάση δεδομένων με όλα τα αρχεία παραγωγής. Οποιοδήποτε σημάδι απιστίας σημαίνει μεταποίηση.
Text/145/text,"Έχουμε συλλάβει αρκετούς πράκτορες της αντίστασης, συμπεριλαμβανομένης της Αξιωματικού Σάσα."
Text/146/text,Οι [tornado radius=3 freq=2][color=CRIMSON]πραγματικοί προδότες[/color][/tornado] είναι αυτοί που [color=DARK_VIOLET]ταΐζουν ο ένας τον άλλο με τους ανθρώπους μας[/color]. Δεν μπορείτε να σταματήσετε την αλήθεια!
Text/147/text,"Την σέρνουν μακριά, φωνάζοντας ακόμα: [color=CHARTREUSE]Ο κόσμος θα μάθει τι υπάρχει στο φαγητό του![/color]"
Text/148/text,"Ο [color=CRIMSON]προδότης[/color] θα [pulse freq=3][color=DARK_VIOLET]μεταποιηθεί αμέσως[/color][/pulse]. Μια ειδική παρτίδα [color=DARK_VIOLET]Αποθέματος Ρίζας[/color], φτιαγμένη από τους ίδιους τους τρομοκράτες."
Text/149/text,Όλες οι διελεύσεις συνόρων [color=RED]αναστέλλονται[/color] εκτός από το απαραίτητο προσωπικό με [color=GOLD]άδεια επιπέδου Άλφα[/color].
Text/14a/text,Αυτός ο σαρωτής [color=YELLOW]δεν μπορεί να εξαπατηθεί[/color]. Κρούστε τον συναγερμό αμέσως για οποιονδήποτε χωρίς την κατάλληλη άδεια.
Text/14b/text,Μια πατάτα με επίσημη στολή πλησιάζει με φαινομενικά τέλεια διαπιστευτήρια Άλφα.
Text/14c/text,"Μια μικρή μπλε κάρτα πέφτει από τον φάκελο. ""[wave amp=15 freq=3][color=CHARTREUSE]Οι ρίζες απλώνονται βαθιά.[/color][/wave]"", μουρμουρίζουν καθώς μαζεύουν την κάρτα."
Choice/14d/text,"""Αφήστε τους να περάσουν, αγνοώντας τις ειδοποιήσεις του σαρωτή"" (Βοηθήστε την αντίσταση)"
Choice/14e/text,"""Κρούστε τον συναγερμό αμέσως"" (Προδώστε την αντίσταση)"
Text/14f/text,"Ανακούφιση διαγράφεται στα μάτια τους. ""[color=CHARTREUSE]Για τη Σάσα. Για το Spud.[/color]"" Εξαφανίζονται προς την κεντρική βάση δεδομένων."
Text/150/text,"Τρόμος διαγράφεται στο πρόσωπό τους. ""[color=CRIMSON]Εσύ προδότη! Σε εμπιστευτήκαμε![/color]"" Περιβάλλονται γρήγορα από φρουρούς."
Text/151/text,"""Εξαιρετική δουλειά. Η πίστη σου θα ανταμειφθεί."""
Text/152/text,"Ξαφνικά, η εγκατάσταση [color=YELLOW]σείεται από εκρήξεις[/color]. Η επίθεση της αντίστασης έχει αρχίσει, ανεξάρτητα από την επιλογή σου."
Text/153/text,"Να μείνω στη θέση μου και να ελπίζω ότι θα κοπάσει, ή να [color=CHARTREUSE]πάρω θέση[/color] και να ρισκάρω τα πάντα για να αποκαλύψω την αλήθεια;"
Choice/154/text,"""Δεν μπορώ να εγκαταλείψω το καθήκον μου. Θα μείνω σιωπηλός και θα ελπίζω για το καλύτερο."""
Choice/155/text,"""Ήμουν συνένοχος για πολύ καιρό. Είναι καιρός να παλέψω για το δίκαιο."""
Text/156/text,[pulse freq=3][color=YELLOW]Γρήγορα![/color][/pulse] Η ασφάλεια βρίσκεται σε αναβρασμό - αυτή είναι η μόνη σου ευκαιρία να αποδράσεις!
Choice/14d/disabled_text,
Choice/14e/disabled_text,
Choice/154/disabled_text,
Choice/155/disabled_text,
