keys,ar
Text/200/text,يا درنة جديدة! نوبة صعبة، أليس كذلك؟ اسمي مورفي. أنا هنا منذ ثلاثة مواسم الآن.
Text/201/text,رأيتك تتحدث إلى ساشا في وقت سابق. إنها... [color=STEEL_BLUE]مختلفة[/color]. اختلاف جيد، أعتقد.
Choice/202/text,تبدو لطيفة. أعطتني بعض النصائح حول البقاء متيقظًا.
Choice/203/text,مجرد تعارف. لا شيء مميز.
Text/204/text,يلقي مورفي نظرة حوله بتوتر. نعم
Text/205/text,"بيني وبينك؟ ذلك البث الإذاعي عن ""البطاطس المفقودة""... ابن عمي اختفى الشهر الماضي. فشل في تفتيشه."
Text/206/text,ذكي. ابق رأسك منخفضًا، وقم بعملك. هذا ما أقوله لنفسي كل يوم.
Text/207/text,ينخفض صوت مورفي. مع أنني أتساءل أحيانًا أين تذهب كل تلك البطاطس المرفوضة بالفعل...
Text/208/text,في الكافتيريا
Text/209/text,تحدق في المعجون السميك، البني المائل للبنفسجي. الجميع يأكله دون سؤال. من المفترض أن يكون مغذيًا.
Choice/20a/text,تناول مخزون الجذور مثل أي شخص آخر
Choice/20b/text,ادفعه جانبًا - أنت لست جائعًا
Text/20c/text,الطعم... ترابي. غني. شيء ما فيه يبدو [color=STEEL_BLUE]مألوفًا بشكل مزعج[/color]، لكنك لا تستطيع تحديد السبب.
Text/20d/text,"يلاحظ ضابط رفيع. ""لا تهدر، لا تحتاج، يا برعم. هذه [pulse freq=2][color=DARK_VIOLET]تغذية ممتازة[/color][/pulse] هناك."""
Text/20e/text,تتمتم بعذر عن اضطراب في المعدة. يهز الضابط كتفيه ويمضي.
Text/20f/text,"بالعودة إلى غرفتك، لا تستطيع التخلص مما قالته ساشا. ""[color=YELLOW]ليس كل شيء كما يبدو.[/color]"""
Text/210/text,"سألت روسيت عن البطاطس المرفوضة في يومك الأول. كانت إجابته مراوغة. ""[color=VIOLET]تمت معالجتها. وفقًا للبروتوكول.[/color]"""
Text/211/text,تمت معالجتها [color=STEEL_BLUE]كيف[/color]، بالضبط؟
Text/212/text,كنت متحمسًا جدًا للخدمة. فخورًا جدًا باختيارك. لكن الفخر لا يفسر [color=CRIMSON]البطاطس المفقودة[/color].
Text/213/text,"قالت الإذاعة إن تقارير الاختفاء ""مستمرة"". هذا يعني أنه يحدث منذ فترة."
Text/214/text,يأتي النوم ببطء. وعندما يأتي، تحلم بـ [wave amp=15 freq=2][color=DARK_VIOLET]أنهار أرجوانية[/color][/wave] تتدفق تحت نقطة التفتيش.
Choice/202/disabled_text,
Choice/203/disabled_text,
Choice/20a/disabled_text,
Choice/20b/disabled_text,
