keys,uk
Text/d2/text,Після вашої зміни вас ведуть на таємну зустріч опору на покинутій крохмальній фабриці.
Text/d2b/text,Перш ніж ми почнемо... У мене є зізнання.
Text/d2c/text,"Та записка, яку ви знайшли у свій перший день? ""[color=GOLD]Друг[/color]""?"
Text/d2d/text,"Саша посміхається. Я бачу, ви її зберегли. Мудро. Я знала, що обрала правильний паросток."
Text/d2e/text,"Я місяцями спостерігала за новими офіцерами, шукаючи когось із [color=CHARTREUSE]допитливими очима[/color]. Когось, хто міг би розгледіти брехню."
Text/d2f/text,Вираз обличчя Саші складний. Ви показали її Рассету. Мені довелося залягти на дно на кілька тижнів після цього.
Text/d2g/text,Але ви все одно тут. Це говорить мені дещо про вашу совість.
Text/d2h/text,Ви її знищили. Я вас не звинувачую — її було ризиковано зберігати.
Text/d2i/text,"Але слова все одно знайшли шлях до вашої голови, чи не так?"
Text/d2j/text,"[color=CHARTREUSE]Я — ""Друг"".[/color] І тепер ви знаєте чому."
Text/d2k/text,Саша розкладає захоплені документи на столі. Маніфести обробки за останній місяць.
Text/d2l/text,"Ви скануєте імена, і ваша кров холоне."
Text/d2m/text,Ось вона. [color=GOLD]Маріс Пайпер[/color]. Жінка з фотографії.
Text/d2n/text,"""[color=CRIMSON]Статус: Оброблено. Партія RR-2847.[/color]"" Датовано через три дні після того, як її чоловік благав вас про допомогу."
Text/d2o/text,Ви відчуваєте фотографію у своїй кишені. [color=STEEL_BLUE]Її немає. І ви не змогли її врятувати.[/color]
Text/d2p/text,"Але, можливо... [color=CHARTREUSE]можливо, ви ще можете врятувати інших[/color]."
Text/d2q/text,"Мерфі виходить з тіні. Привіт. Радий, що ви прийшли."
Text/d2r/text,Мерфі піднімає зім'яту форму RR-UTIL. Мій двоюрідний брат теж у цьому списку. [color=CHARTREUSE]Ми робимо це разом.[/color]
Text/d3/text,Загартована картопля зі шрамами від битв звертається до зібраної групи.
Text/d4/text,Час для шепоту та листівок минув. Уряд показав своє справжнє обличчя.
Text/d5/text,"Наші джерела підтверджують, що переробні заводи [wave amp=15 freq=2][color=DARK_VIOLET]Корінного Резерву[/color][/wave] збільшують виробництво."
Text/d6/text,"Що означає [tornado radius=3 freq=3][color=CRIMSON]більше наших братів і сестер зникли, були оброблені, спожиті[/tornado]."
Text/d7/text,Лідер стукає кулаком по столу. [pulse freq=3][color=CHARTREUSE]Цьому кінець.[/color][/pulse] У нас є план удару в серце їхньої операції.
Text/d8/text,Саша розгортає детальні плани на столі. Через три дні ми розпочнемо наш основний наступ.
Text/d9/text,"Поки одна команда створює відволікаючий маневр у головному урядовому комплексі, інша проникне на найбільший об'єкт Корінного Резерву."
Text/da/text,"Наша мета: отримати [color=CHARTREUSE]неспростовні докази[/color] того, що відбувається всередині, і поширити їх по всьому Спуду."
Text/db/text,Саша вказує на розділ планів. Ось тут ваша роль.
Text/dc/text,"Нам потрібен хтось всередині на Митниці Спуду, щоб наші оперативники могли перетнути кордон для місії."
Text/dd/text,"Чи можемо ми розраховувати на вас, що ви будете цією людиною?"
Choice/de/text,"""Я зроблю все можливе, щоб викрити правду."""
Choice/df/text,"""Це звучить небезпечно. А що, якщо нас спіймають?"""
Choice/e0/text,"""Чи є інший спосіб, який не наражає стількох на ризик?"""
Text/e1/text,Обличчя Саші осяяне надією. Дякую. [color=CHARTREUSE]Ваша мужність врятує незліченні життя.[/color]
Text/e2/text,"Вона стискає вашу руку. Коли все це закінчиться, [color=CHARTREUSE]вас пам'ятатимуть як героя революції.[/color]"
