keys,uk
Text/102/text,"Добре, ти впорався. Опір [color=CHARTREUSE]зростає[/color]. Завдяки тим маніфестам люди бачать правду."
Text/102_foreshadow1/text,"[color=STEEL_BLUE]Саша нервово озирається через плече.[/color] Вибач, я... [color=YELLOW]Здається, вони стежать за мною.[/color]"
Text/102_foreshadow2/text,Рассет ставив запитання. Слідкував за мною після змін. [wave amp=15 freq=2][color=YELLOW]Мені потрібно бути обережнішою.[/color][/wave]
Text/102_foreshadow3/text,"Сашо, можливо, тобі варто на деякий час залягти на дно. Дозволь мені взяти на себе більше ризику."
Text/102_foreshadow4/text,"[color=STEEL_BLUE]Вона хитає головою, силуючи посмішку.[/color] Ні. Ми вже надто близько. Я впораюся з Рассетом."
Text/102_foreshadow5/text,"Крім того... [color=CHARTREUSE]хтось має тримати вас, паростки, подалі від неприємностей.[/color]"
Text/103/text,"Мені вдалося отримати це досьє з наших джерел — графіки виробництва, списки '[color=CRIMSON]інгредієнтів[/color]', імена [color=DARK_SLATE_BLUE]зниклих[/color]."
Text/104/text,Це не просто програма харчових добавок. Вони [color=CRIMSON]переробляють картоплю[/color]... і не в найкращий спосіб.
Text/105/text,"Внутрішні службові записки від самого прем'єр-міністра Айдахо, що дозволяють ""[color=DARK_ORANGE]використання відхилених активів.[/color]"""
Text/106/text,"Квоти для кожного контрольно-пропускного пункту, причому Spud Customs має найвище співвідношення відмов до обробки."
Text/106_trucks1/text,"Але ми досі не знаємо, де знаходиться головний переробний об'єкт. У документах вказані лише коди відправлень."
Text/106_trucks2/text,Я спостерігав за вантажівками [color=DARK_VIOLET]Root Reserve[/color]. Вони виїжджають щоночі о 03:00. Той самий маршрут.
Text/106_trucks3/text,"[color=CHARTREUSE]Якби ми могли прослідкувати за ними...[/color] ми б точно знали, куди вони везуть відбракованих."
Choice/106_trucks4/text,Я зроблю це. Я знаю графіки патрулювання.
Choice/106_trucks5/text,Це звучить ризиковано. Хіба хтось інший не може це зробити?
Text/106_trucks6/text,"[color=CHARTREUSE]Очі Саші загоряються.[/color] Я знала, що у тебе сталеві корені. Будь обережний — вони інтенсивно патрулюють вночі."
Text/106_trucks7/text,"03:00 година. Ти припадаєш до тіні, коли вантажівки [color=DARK_VIOLET]Root Reserve[/color] проїжджають повз."
Text/106_trucks8/text,[pulse freq=2][color=YELLOW]Залишайся прихованим! Слідкуй за конвоєм![/color][/pulse]
Text/106_trucks9/text,"Вантажівки зупиняються біля масивного комплексу, прихованого в промисловому районі. [color=DARK_VIOLET]Сектор 7, Складський комплекс Дельта.[/color]"
Text/106_trucks10/text,Димові труби вивергають дим з фіолетовим відтінком. Запах... [tornado radius=3 freq=2][color=CRIMSON]безпомилковий.[/color][/tornado]
Text/106_trucks11/text,[wave amp=20 freq=3][color=CHARTREUSE]Серце Root Reserve.[/color][/wave]
Text/106_trucks12/text,[color=STEEL_BLUE]Вираз обличчя Саші мерехтить розчаруванням.[/color] Ми всі маємо ризикувати. Я знайду інший шлях.
Text/107/text,"Ситуація назовні погіршилася. Розлючені натовпи збираються на контрольно-пропускних пунктах, вимагаючи відповідей щодо Root Reserve."
Text/108/text,[color=YELLOW]ЕКСТРЕННЕ ПОВІДОМЛЕННЯ[/color]: Нещодавнє розповсюдження [color=CRIMSON]підроблених документів[/color] спричинило непотрібну паніку.
Text/109/text,"Пропонується винагорода у [color=GOLD]10 000 Spud Credits[/color] за інформацію, що призведе до захоплення цих саботажників."
Text/10a/text,Споживання або розповсюдження цієї пропаганди тепер класифікується як [color=RED]державна зрада[/color].
Text/10b/text,Сьогоднішня зміна працюватиме за особливими протоколами. Кожен подорожуючий повинен пройти Оцінку Лояльності.
Text/10c/text,"Ті, хто демонструє [color=CRIMSON]антиурядові настрої[/color], повинні бути негайно позначені."
Text/10d/text,[color=CRIMSON]Зрадник серед нас[/color] буде знайдений. І коли його знайдуть... [color=DARK_ORANGE]Рассет робить загрозливий жест по горлу.[/color]
Text/10e/text,"Наближається нервова картопля, [color=GOLD]жовтий значок-листок[/color] частково видно. Маленька записка захована між паперами: ""[color=CHARTREUSE]Конспіративна квартира скомпрометована. Нове місце: Склад 7, Сектор 4.[/color]"""
Choice/10f/text,"""Швидко пропустити їх з УФ-міткою"" (Допомогти)"
Choice/110/text,"""Негайно повідомити охороні"" (Зрадити)"
Text/111/text,"Полегшення заливає їхнє обличчя. ""Дякую. Правда переможе."""
Text/112/text,"Жах охоплює їх, коли ви подаєте сигнал охороні. ""[wave amp=25 freq=3]Ні, будь ласка! У мене сім'я![/wave]"" Їхній жовтий значок падає на підлогу."
Text/113/text,"""Добре зроблено. Ваша лояльність відзначена."""
Text/114/text,"""Ваше рішення було помічено. Будьте готові. [tornado radius=3 freq=2][color=CHARTREUSE]Насувається щось велике[/color][/tornado]. Опір планує пряму дію."""
Text/115/text,"""Коли це станеться, вам доведеться [color=YELLOW]обрати сторону[/color]. Середини не залишиться."""
Text/116/text,"З кожною картоплею, яку ви обробляєте, ви або [pulse freq=2][color=CHARTREUSE]допомагаєте революції[/color][/pulse], або [pulse freq=2][color=CRIMSON]сприяєте жахливій системі[/рulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
Choice/106_trucks4/disabled_text,
Choice/106_trucks5/disabled_text,
