keys,el
Text/240/text,"Καθώς η βραδινή βάρδια τελειώνει, οι περισσότεροι αξιωματικοί έχουν φύγει. Μόνο εσύ και μια χούφτα φρουροί παραμένετε."
Text/241/text,Ένας ογκώδης φρουρός πλησιάζει το σταθμό σου. Το όνομά μου είναι Βίκτορ. Είμαι στη νυχτερινή φύλαξη.
Text/242/text,"Τα μάτια του είναι κουρασμένα, στοιχειωμένα. Είσαι ο καινούριος, έτσι; Αυτός που ο Ράσετ παρακολουθεί συνεχώς;"
Choice/243/text,Απλώς προσπαθώ να κάνω τη δουλειά μου. Γιατί με παρακολουθεί ο Ράσετ;
Choice/244/text,Υπάρχει κάτι που πρέπει να ξέρω;
Text/245/text,Ανασηκώνει βαριά τους ώμους. Ο Ράσετ παρακολουθεί όλους όσους κάνουν ερωτήσεις. Η [color=STEEL_BLUE]γυναίκα μου έκανε ερωτήσεις[/color] κάποτε.
Text/246/text,Δεν είναι πια εδώ για να ρωτάει.
Text/247/text,"Κοιτάζει γύρω του, μετά χαμηλώνει τη φωνή του. Απλώς... πρόσεχε ποιον εμπιστεύεσαι."
Text/248/text,Και ποιον [color=CRIMSON]καταδικάζεις[/color]. Κάποιοι από εμάς θυμόμαστε κάθε πρόσωπο που στείλαμε για επεξεργασία.
Text/249/text,"Μια νευρική πατάτα πλησιάζει. Τα χαρτιά φαίνονται εντάξει, αλλά παρατηρείς την [color=CHARTREUSE]διακριτική καρφίτσα φύλλου[/color] στο κολάρο τους."
Text/24a/text,"Γλιστρούν τα έγγραφά τους. Ένα μικρό σημείωμα είναι κρυμμένο μέσα: ""[color=CHARTREUSE]Η Σάσα με έστειλε. Πακέτο για το δίκτυο. Παρακαλώ.[/color]"""
Text/24b/text,Το νέο [color=DARK_ORANGE]RealityScan[/color] αναβοσβήνει έτοιμο στο σταθμό σου. Μία σάρωση και θα εντοπίσει πλαστά στοιχεία στα χαρτιά τους.
Choice/24c/text,Προσποιήσου ότι ο σαρωτής δυσλειτουργεί και άφησέ τους να περάσουν
Choice/24d/text,Χρησιμοποίησε τον σαρωτή όπως απαιτείται – δεν μπορείς να ρισκάρεις την έκθεση
Choice/24e/text,"Κάνε νόημα στον Βίκτορ να κοιτάξει αλλού, μετά άφησέ τους να περάσουν"
