keys,ru
Text/50/text,"Неплохая работа сегодня, росток. Помни, эффективность — ключ ко всему. У нас есть квоты, которые нужно выполнить."
Text/51/text,"Не забудь забрать свою порцию [wave amp=15 freq=2][color=DARK_VIOLET]Корневого Резерва[/color][/wave]. Ты же знаешь, что говорит радио: это вкус будущего Спуда!"
Text/52/text,"Пока ты собираешь свои вещи, маленькая записка выскальзывает из твоих рабочих бумаг."
Text/52b/text,Этим утром её там не было. Кто-то подложил её [color=YELLOW]во время твоей смены[/color].
Text/53/text,"[color=GOLD]Не всё так, как кажется. Корни нашей нации прогнили.[/color]"
Text/53b/text,"[color=GOLD]Иди по следу, но будь осторожен, чтобы тебя не заставили замолчать.[/color]"
Text/53c/text,"[color=GOLD]Следи за тем, кто ест [/color][color=DARK_VIOLET]Резерв[/color][color=GOLD]. Следи за тем, кто отказывается.[/color]"
Text/53d/text,[color=GOLD]- [/color][color=CHARTREUSE]Друг[/color]
Choice/53e/text,"""Спрятать записку — расследовать тайно"""
Choice/53f/text,"""Уничтожить записку — это может быть проверкой"""
Choice/53g/text,"""Немедленно показать записку Рассету"""
Text/53h/text,Ты аккуратно складываешь записку и прячешь её в карман. [color=CHARTREUSE]Кто-то пытается выйти на связь.[/color]
Text/53i/text,"Но кто? И почему ты, в свой первый же день?"
Text/53j/text,Ты рвёшь записку на мелкие кусочки
Text/53k/text,"Рассет говорил, что ростки, которые задают вопросы, получают ""переназначение"". Лучше не рисковать."
Text/53l/text,"Ты догоняешь Рассета, прежде чем он уходит. ""Сэр? Я нашёл это в своих бумагах..."""
Text/53m/text,"Рассет выхватывает записку, читает её. Его выражение лица меняется — [color=YELLOW]было ли это узнавание?[/color]"
Text/53n/text,"Пропаганда. Повстанцы пытаются развратить новых офицеров. [color=DARK_ORANGE]Ты правильно сделал, что принёс это мне.[/color]"
Text/53o/text,"Он прячет записку в карман. Забудь, что ты это когда-либо видел. И следи за всеми, кто ведёт себя... [color=CRIMSON]подозрительно[/color]."
Text/54/text,"Эта записка... и то, как Рассет ответил на мой вопрос об [pulse freq=3][color=CRIMSON]отклонённых картофелинах[/color][/pulse]..."
Text/54b/text,"""[color=VIOLET]Обработаны. Согласно протоколу.[/color]"" Что это вообще значит?"
Text/54c/text,"Эта записка... в ней говорилось, что корни [color=CRIMSON]прогнили[/color]."
Text/54d/text,"Но Спуд же великолепен, разве нет? Так нам говорили. Во что я верил."
Text/54e/text,"Ты достаёшь записку, перечитывая её. ""[color=GOLD]Следи за тем, кто ест Резерв. Следи за тем, кто отказывается.[/color]"""
Text/54f/text,Завтра ты будешь внимательнее. [color=YELLOW]Кто-то пытается тебе что-то сказать.[/color]
Text/54g/text,"Лицо Рассета, когда он прочитал записку. На мгновение он выглядел почти... [color=STEEL_BLUE]напуганным[/color]."
Text/54h/text,Что такое [color=DARK_VIOLET]Корневой Резерв[/color] на самом деле? И почему кто-то стал бы предупреждать тебя о нём?
Text/54i/text,"Записки нет, но слова остались. [color=YELLOW]Не всё так, как кажется.[/color]"
Text/54j/text,"Может быть, уничтожить её было разумным решением. Может быть, ты просто заставил замолчать своего единственного союзника."
Text/55/text,"Мне следует быть [color=YELLOW]настороже[/color]. Здесь происходит нечто большее, чем просто штамповка паспортов."
Choice/53e/disabled_text,
Choice/53f/disabled_text,
Choice/53g/disabled_text,
