keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi
Character/173/name,Radio Announcer,Rozhlasový hlasatel,Radioværten,Radiosprecher,Locutor de radio,Radiojuontaja,Animateur radio,Rádióbemondó,Penyiar Radio,Conduttore radiofonico,Radioomroeper,Radiovert,Spiker radiowy,Locutor de rádio,Crainic radio,Rozhlasový hlásateľ,Radioröst,Radyo Sunucusu,Người dẫn chương trình radio
Character/174/name,Fellow Officer,Kolega důstojník,Medtjenesteperson,Mitoffizier,Oficial compañero,Virkaveli,Officier collègue,Tiszttárs,Petugas Rekan,Ufficiale collega,Mede-officier,Medoffiser,Oficer towarzyszący,Oficial colega,Ofițer coleg,Kolega dôstojník,Medofficer,Meslektaş Memur,Đồng đội sĩ quan
Character/175/name,Narrator,Vypravěč,Fortæller,Erzähler,Narrador,Kertoja,Narrateur,Narrátor,Narator,Narratore,Verteller,Forteller,Lektor,Narrador,Narator,Rozprávač,Berättare,Anlatıcı,Người kể chuyện
Character/176/name,Quiet Potato,Tichý brambor,Stille Kartoffel,Stille Kartoffel,Patata silenciosa,Hiljainen peruna,Pomme de terre silencieuse,Csendes Burgonya,Kentang Pendiam,Patata silenziosa,Stille Aardappel,Stille Potet,Cichy Ziemniak,Batata silenciosa,Cartof tăcut,Tichý zemiak,Tyst Potatis,Sessiz Patates,Khoai tây im lặng
Character/177/name,Concerned Potato,Znepokojený brambor,Bekymret Kartoffel,Besorgte Kartoffel,Patata preocupada,Huolestunut peruna,Pomme de terre inquiète,Aggódó Burgonya,Kentang Khawatir,Patata preoccupata,Bezorgde Aardappel,Bekymret Potet,Zaniepokojony Ziemniak,Batata preocupada,Cartof îngrijorat,Znepokojený zemiak,Orolig Potatis,Endişeli Patates,Khoai tây lo lắng
Character/178/name,Ancient Potato,Prastarý brambor,Ældgammel Kartoffel,Uralte Kartoffel,Patata antigua,Muinainen peruna,Pomme de terre ancienne,Ősi Burgonya,Kentang Kuno,Patata antica,Oude Aardappel,Eldgammel Potet,Starożytny Ziemniak,Batata antiga,Cartof antic,Prastarý zemiak,Urgammal Potatis,Kadim Patates,Khoai tây cổ đại
Character/179/name,You,Ty,Du,Du,Tú,Sinä,Vous,Te,Anda,Tu,Jij,Du,Ty,Você,Tu,Ty,Du,Sen,Bạn
Character/17a/name,Prime Minister Idaho,Premiér Idaho,Premierminister Idaho,Premierminister Idaho,Primer Ministro Idaho,Pääministeri Idaho,Premier ministre Idaho,Idaho Miniszterelnök,Perdana Menteri Idaho,Primo Ministro Idaho,Premier Idaho,Statsminister Idaho,Premier Idaho,Primeiro-ministro Idaho,Prim-ministru Idaho,Premiér Idaho,Premiärminister Idaho,Başbakan Idaho,Thủ tướng Idaho
Character/17b/name,Resistance Leader,Vůdce odboje,Modstandsleder,Widerstandsführer,Líder de la resistencia,Vastarintaliikkeen johtaja,Chef de la résistance,Ellenállás Vezető,Pemimpin Perlawanan,Capo della resistenza,Verzetleider,Motstandsleder,Przywódca ruchu oporu,Líder da resistência,Liderul rezistenței,Vodca odboja,Motståndsledare,Direniş Lideri,Thủ lĩnh kháng chiến
Character/17c/name,Distrusting Resistance Member,Nedůvěřivý člen odboje,Mistroisk Modstandsmedlem,Misstrauisches Widerstandsmitglied,Miembro desconfiado de la resistencia,Epäluuloinen vastarintaliikkeen jäsen,Membre méfiant de la résistance,Bizalmatlan Ellenállási Tag,Anggota Perlawanan yang Tidak Percaya,Membro diffidente della resistenza,Wantrouwend Verzetsllid,Mistroisk Motstandsmedlem,Nieufny członek ruchu oporu,Membro desconfiado da resistência,Membru neîncrezător al rezistenței,Nedôverčivý člen odboja,Misstroende Motståndsmedlem,Güvensiz Direniş Üyesi,Thành viên kháng chiến đa nghi
