keys,bg
Text/86/text,Днес влизат в сила нови протоколи за сигурност. Получихме информация за [color=YELLOW]подозрителни дейности[/color].
Text/87/text,Всички пътници трябва да преминат засилени процедури за проверка.
Text/88/text,"Наблюдавайте за [color=YELLOW]нервно поведение, необичайни маниери или нежелание за зрителен контакт[/color]."
Text/89/text,"Всички подозрителни предмети трябва да бъдат конфискувани и записани. Разбира се, за сигурността на Спъд."
Text/8a/text,"Особено сме загрижени за [color=CRIMSON]забранени материали[/color] – антиправителствена литература, фотографско оборудване..."
Text/8b/text,Гласът спада зловещо. „[pulse freq=2][color=DARK_VIOLET]Имаме специални процедури за тези лица.[/color][/pulse]“
Text/8c/text,"Камиони на [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] разтоварват каси, обозначени като „Premium Reserve“, в столовата. Миризмата е примамлива, но стомахът ти се свива."
Text/8d/text,Опитахте ли новия Premium Reserve? Братовчед ми изчезна миналия месец. Не премина проверката.
Text/8e/text,"Може би е част от тази партида, а? [tornado radius=2 freq=2][color=STEEL_BLUE]Черен хумор, нали?[/color][/tornado]"
Choice/8f/text,„Това не е смешно. Изобщо не.“
Choice/90/text,„Не съм гладен. Извинете ме.“ (Напускане)
Text/91/text,"Прав си. Понякога шегуването е по-лесно, отколкото да мислиш за [pulse freq=3][color=CRIMSON]това, което всъщност може да се случва[/color][/pulse]."
Text/92/text,"Офицерът те наблюдава как си тръгваш. „Хей, разбирам. И аз си изгубих апетита...“"
Text/93/text,"Удобен момент за нови протоколи за сигурност, нали? [wave amp=15 freq=3][color=YELLOW]Опитват се да спрат информацията за Root Reserve.[/color][/wave]"
Text/94/text,"Имам нещо, което може да ни помогне. Някои картофи с [color=CHARTREUSE]жизненоважна информация заслужават да преминат[/color]."
Text/95/text,Обмисляш внимателно възможностите си. Днешните избори могат да помогнат за [color=CHARTREUSE]разпространяване на истината[/color]... или да я [color=CRIMSON]заглушат завинаги[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
