keys,ro
Text/96/text,"Te strecori prin coridorul întunecat, inima bătându-ți cu putere în timp ce eviți patrulele de securitate."
Text/97/text,[color=CHARTREUSE]Acest dispozitiv va dezactiva încuietoarea[/color] de la biroul lui Russet. Voi declanșa alarme în aripa de est ca diversiune. Vei avea cinci minute.
Text/98/text,Manifestele ar trebui să fie în arhiva sa. [color=CRIMSON]Dosar roșu etichetat 'RR Transport'[/color]. Nu lăsa urme ale căutării tale.
Text/99/text,"Găsești dosarul roșu gros [color=CRIMSON]etichetat ""RR Transport""[/color] în arhivă."
Text/9a/text,"Înăuntru sunt manifeste care corespund numărului de cartofi respinși și o directivă a Primului Ministru al Idaho-ului care autorizează ""[pulse freq=3][color=DARK_VIOLET]utilizarea completă a respingerilor de frontieră pentru producția RR.[/color][/pulse]"""
Text/9b/text,"Pași se apropie de ușa biroului. ""[wave amp=15 freq=3][color=YELLOW]Ciudat, eram sigur că am încuiat-o.[/color][/wave]"""
Choice/9c/text,Ascunde-te sub birou
Choice/9d/text,Sari pe fereastră
Text/9e/text,"Te strecori sub biroul lui Russet în timp ce intră, inima bătându-ți cu putere. El se așază, picioarele la câțiva centimetri de fața ta."
Text/9f/text,Russet aici. Ce? [color=CHARTREUSE]Altă alarmă?[/color] Vin imediat. Părăsește încăperea și tu scapi.
Text/a0/text,"Smulgi fereastra și sari. Din fericire, este doar un etaj. Un paznic strigă: ""[color=RED]Stai! Oprește-te![/color]"""
Text/a1/text,Alergi prin curtea interioară și reușești să-ți pierzi urmăritorii.
Text/a2/text,Ai obținut-o?
Text/a3/text,"Predai dovezile, explicând ce ai găsit."
Text/a4/text,Asta dovedește totul. Rezistența va face copii. [tornado radius=3 freq=2]Răspândește adevărul peste tot.[/tornado] Nu ne pot reduce la tăcere pe toți.
Text/a5/text,"Ai trecut de o limită. [wave amp=20 freq=3][color=YELLOW]Nu mai este cale de întoarcere.[/color][/wave] Când adevărul se va răspândi, Spud va fi transformat."
Choice/9c/disabled_text,
Choice/9d/disabled_text,
Text/9a_viktor1/text,Scanezi numele de pe manifest... și unul iese în evidență. [color=GOLD]Elena Petrov[/color].
Text/9a_viktor2/text,Acel nume... l-ai mai auzit. Paznicul Viktor a menționat că soția lui lipsea.
Text/9a_viktor3/text,"""[color=CRIMSON]Status: Procesat. Lot RR-2851.[/color]"" Datat acum două săptămâni."
