keys,th
sex_male,ชาย
sex_female,หญิง
condition_fresh,สดใหม่
condition_extra_eyes,ตาพิเศษ
condition_rotten,เน่าเสีย
condition_sprouted,มีหน่อ
condition_dehydrated,ขาดน้ำ
condition_frozen,แช่แข็ง
race_russet,รัสเซ็ต
race_yukon_gold,ยูคอนโกลด์
race_sweet_potato,มันเทศ
race_purple_majesty,เพอร์เพิลมาเจสตี้
country_spudland,สปัดแลนด์
country_potatopia,โปเตโตเปีย
country_tuberstan,ทูเบอร์สถาน
country_north_yamnea,นอร์ทยัมเนีย
country_spuddington,สปัดดิงตัน
country_tatcross,แทตครอส
country_mash_meadows,แมชมีโดวส์
country_tuberville,ทูเบอร์วิลล์
country_chip_hill,ชิปฮิลล์
country_murphyland,เมอร์ฟีแลนด์
country_colcannon,โคลแคนนอน
country_pratie_point,แพรตตี้พอยต์
