keys,ru
Text/102/text,"Хорошо, ты справился. Сопротивление [color=CHARTREUSE]растёт[/color]. Благодаря этим манифестам люди видят правду."
Text/102_foreshadow1/text,"[color=STEEL_BLUE]Саша нервно оглядывается через плечо.[/color] Прости, я... [color=YELLOW]Мне кажется, за мной следят.[/color]"
Text/102_foreshadow2/text,Рассет задаёт вопросы. Следит за мной после смен. [wave amp=15 freq=2][color=YELLOW]Мне нужно быть осторожнее.[/color][/wave]
Text/102_foreshadow3/text,"Саша, может, тебе стоит залечь на дно на некоторое время. Позволь мне взять на себя больше риска."
Text/102_foreshadow4/text,"[color=STEEL_BLUE]Она качает головой, выдавливая улыбку.[/color] Нет. Мы уже слишком близко. Я справлюсь с Рассетом."
Text/102_foreshadow5/text,"Кроме того... [color=CHARTREUSE]кто-то должен оберегать вас, ростки, от неприятностей.[/color]"
Text/103/text,"Мне удалось достать это досье из наших источников — графики производства, списки '[color=CRIMSON]ингредиентов[/color]', имена [color=DARK_SLATE_BLUE]пропавших без вести[/color]."
Text/104/text,Это не просто программа пищевых добавок. Они [color=CRIMSON]перерабатывают картофель[/color]... и не в хорошем смысле.
Text/105/text,"Внутренние служебные записки от самого премьер-министра Айдахо, санкционирующие '[color=DARK_ORANGE]утилизацию отбракованных активов.[/color]'"
Text/106/text,"Квоты для каждого контрольно-пропускного пункта, причём у ""Таможни Клубней"" самое высокое соотношение отказов к переработке."
Text/106_trucks1/text,"Но мы до сих пор не знаем, где находится главный перерабатывающий комплекс. В документах указаны только коды отгрузки."
Text/106_trucks2/text,"Я следил за грузовиками [color=DARK_VIOLET]""Корневого Резерва""[/color]. Они уезжают каждую ночь в 03:00. Один и тот же маршрут."
Text/106_trucks3/text,"[color=CHARTREUSE]Если бы мы могли проследить за ними...[/color] мы бы точно знали, куда они везут отбракованных."
Choice/106_trucks4/text,Я сделаю это. Я знаю графики патрулирования.
Choice/106_trucks5/text,Это звучит рискованно. Разве кто-то другой не может это сделать?
Text/106_trucks6/text,"[color=CHARTREUSE]Глаза Саши загораются.[/color] Я знала, что у тебя стальные корни. Будь осторожен — они усиленно патрулируют ночью."
Text/106_trucks7/text,"03:00. Ты притаился в тенях, пока грузовики [color=DARK_VIOLET]""Корневого Резерва""[/color] проезжают мимо с грохотом."
Text/106_trucks8/text,[pulse freq=2][color=YELLOW]Оставайся незамеченным! Следуй за колонной![/color][/pulse]
Text/106_trucks9/text,"Грузовики останавливаются у массивного комплекса, спрятанного в промышленном районе. [color=DARK_VIOLET]Сектор 7, Складской Комплекс Дельта.[/color]"
Text/106_trucks10/text,Дымовые трубы извергают дым с фиолетовым оттенком. Запах... [tornado radius=3 freq=2][color=CRIMSON]безошибочен.[/color][/tornado]
Text/106_trucks11/text,[wave amp=20 freq=3][color=CHARTREUSE]Сердце Корневого Резерва.[/color][/wave]
Text/106_trucks12/text,[color=STEEL_BLUE]Выражение лица Саши омрачается разочарованием.[/color] Мы все должны рисковать. Я найду другой способ.
Text/107/text,"Ситуация снаружи ухудшилась. Разъяренные толпы собираются на контрольно-пропускных пунктах, требуя ответов о ""Корневом Резерве""."
Text/108/text,[color=YELLOW]ЭКСТРЕННОЕ СООБЩЕНИЕ[/color]: Недавнее распространение [color=CRIMSON]поддельных документов[/color] вызвало ненужную панику.
Text/109/text,"Предлагается вознаграждение в размере [color=GOLD]10 000 Клубневых Кредитов[/color] за информацию, ведущую к поимке этих саботажников."
Text/10a/text,Потребление или распространение этой пропаганды теперь классифицируется как [color=RED]государственная измена[/color].
Text/10b/text,Сегодняшняя смена будет проходить по особым протоколам. Каждый путешественник должен пройти Оценку Лояльности.
Text/10c/text,"Те, кто демонстрирует [color=CRIMSON]антиправительственные настроения[/color], должны быть немедленно помечены."
Text/10d/text,[color=CRIMSON]Предатель среди нас[/color] будет найден. И когда это произойдет... [color=DARK_ORANGE]Рассет делает угрожающий жест поперёк своей шеи.[/color]
Text/10e/text,"Приближается нервная картофелина, [color=GOLD]значок жёлтого листа[/color] частично виден. Маленькая записка засунута между бумаг: ""[color=CHARTREUSE]Явка раскрыта. Новое местоположение: Склад 7, Сектор 4.[/color]"""
Choice/10f/text,"""Пропустить их быстро с УФ-меткой"" (Помочь)"
Choice/110/text,"""Немедленно сообщить о них в службу безопасности"" (Предать)"
Text/111/text,"Облегчение заливает их лицо. ""Спасибо. Правда восторжествует."""
Text/112/text,"Ужас овладевает ими, когда вы подаёте сигнал службе безопасности. ""[wave amp=25 freq=3]Нет, пожалуйста! У меня семья![/wave]"" Их жёлтый значок падает на пол."
Text/113/text,"""Отлично. Ваша лояльность отмечена."""
Text/114/text,"""Ваше решение было замечено. Будьте готовы. [tornado radius=3 freq=2][color=CHARTREUSE]Грядёт что-то большое[/color][/tornado]. Сопротивление планирует прямую акцию."""
Text/115/text,"""Когда это произойдет, вам придётся [color=YELLOW]выбрать сторону[/color]. Середины больше не будет."""
Text/116/text,"С каждой обработанной картофелиной вы либо [pulse freq=2][color=CHARTREUSE]помогаете революции[/color][/pulse], либо [pulse freq=2][color=CRIMSON]поддерживаете ужасающую систему[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
Choice/106_trucks4/disabled_text,
Choice/106_trucks5/disabled_text,
