keys,ar
Text/117/text,تحولت نقطة التفتيش إلى موقع عسكري. حراس نخبة يرتدون زيًا أسود يقومون بالدورية بأسلحتهم ظاهرة.
Text/118/text,أنا رئيس الأمن يوكون، تم إرسالي من العاصمة بواسطة رئيس الوزراء أيداهو.
Text/119/text,"تشير المعلومات الاستخباراتية إلى [pulse freq=2][color=YELLOW]هجوم إرهابي وشيك[/color][/pulse]. ""المقاومة"" تخطط للتسلل غدًا."
Text/11a/text,سيخضع جميع الضباط لـ [wave amp=15 freq=2][color=DARK_ORANGE]فحص الولاء[/color][/wave]. السلوك المشبوه يعني الاحتجاز و[color=DARK_VIOLET]المعالجة[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]التعاون الكامل[/color][/tornado] مع الأمن إلزامي. تم تقديم تقاريري عن كل واحد منكم إلى الرئيس.
Text/11c/text,تتوقف نظرة راسيت عليك بشكل غير مريح قبل أن تنتقل.
Text/11d/text,هذا هو [color=DARK_ORANGE]جهاز مسح الهوية 5000[/color]. يحلل القياسات الحيوية للكشف عن المتسللين والمتعاطفين.
Text/11e/text,أي شخص يشغل الماسح سيواجه [color=CRIMSON]استجوابًا مكثفًا[/color]. استخدمه دون استثناء.
Text/11f/text,هل رأيت ساشا؟ لم تحضر لتسجيل الحضور. الليلة الماضية، [color=CRIMSON]دخلت قوات الأمن إلى غرفتها[/color].
Text/120/text,يقولون إنها كانت جزءًا من [pulse freq=2][color=CHARTREUSE]المقاومة[/color][/pulse].
Choice/121/text,"""لا ينبغي لنا التحدث عن هذا. إنه خطير."""
Choice/122/text,"""أنا قلق عليها أيضًا. هذا ليس صحيحًا."""
Text/123/text,أنت محق. لكن احذر. إنهم يبحثون عن أي صلات بها.
Text/124/text,إذن كنتما مقربين؟ كن حذرًا. قد يراقبونك أنت أيضًا.
Text/125/text,"يدس لك الضابط مذكرة: ""[color=YELLOW]نظّف محطتك من أي شيء مشبوه.[/color]"""
Text/126/text,لقد كنت في نقطة التفتيش هذه منذ فترة طويلة. سجل أداء مثير للاهتمام.
Text/127/text,لقد شوهدت كثيرًا مع الضابطة ساشا، وهي الآن قيد التحقيق بتهمة [wave amp=20 freq=3][color=CRIMSON]الخيانة[/color][/wave].
Text/128/text,يميل الرئيس إلى الأمام. هل هناك أي شيء تود إخباري به عن أنشطتها؟
Choice/129/text,"""أنا وساشا كنا مجرد زملاء. لا أعرف شيئًا عنها خارج العمل."""
Choice/12a/text,"""كنت أجمع أدلة على أنشطتها المشبوهة لأبلغ عنها لاحقًا."""
Text/12b/text,شهود متعددون يقولون عكس ذلك. لكن بدون دليل ملموس، لا يمكنني احتجازك. [color=YELLOW]بعد.[/color]
Text/12c/text,ستكون تحت [color=CRIMSON]مراقبة مشددة[/color]. خطأ واحد، وستنضم [color=DARK_VIOLET]إلى ساشا[/color].
Text/12d/text,يا له من أمر مريح. ومع ذلك لم تقدم أي تقارير حتى الآن.
Text/12e/text,ستقدم بيانًا كاملاً. إذا ثبتت قيمة معلوماتك، ربما سنتغاضى عن تأخرك في الإبلاغ.
Text/12f/text,سأكون [color=CRIMSON]أراقب عملك[/color] اليوم. يجب مسح هوية كل مسافر. [color=RED]لا استثناءات[/color].
Text/130/text,تم القبض على ساشا. خطة المقاومة [color=CRIMSON]مُخترقة[/color]. مع حالة التأهب القصوى للأمن، تبدو فرصهم ميؤوس منها.
Choice/121/disabled_text,
Choice/122/disabled_text,
Choice/129/disabled_text,
Choice/12a/disabled_text,
