keys,ja
Text/240/text,夕方勤務が終わり、ほとんどの職員は帰った。残っているのはあなたと数人の警備員だけだ。
Text/241/text,大柄な警備員があなたの持ち場に近づいてくる。「ヴィクトルだ。夜警をしている。」
Text/242/text,彼の目は疲れ、何かにおびえているようだ。「新人さんだろ？ラセットがいつも見張っている奴か？」
Choice/243/text,自分の仕事をしているだけです。なぜラセットは私を見張っているのですか？
Choice/244/text,何か知っておくべきことがありますか？
Text/245/text,彼は重々しく肩をすくめる。「ラセットは質問する奴は誰でも見張る。私の[color=STEEL_BLUE]妻も一度質問した[/color]ことがある。」
Text/246/text,彼女はもういない。
Text/247/text,彼はあたりを見回し、それから声をひそめる。「ただ…誰を信用するか、気をつけろ。」
Text/248/text,そして誰を[color=CRIMSON]断罪する[/color]かだ。我々の中には、処理に送った全ての顔を覚えている者もいる。
Text/249/text,緊張したジャガイモが近づいてくる。書類は問題ないように見えるが、その襟元に[color=CHARTREUSE]さりげない葉っぱのピン[/color]があるのに気づく。
Text/24a/text,彼らは書類を滑らせて渡す。中には小さなメモが挟まっている。「[color=CHARTREUSE]サーシャが私を寄越した。ネットワークへの荷物だ。頼む。[/color]」
Text/24b/text,新しい[color=DARK_ORANGE]リアリティスキャン[/color]があなたの持ち場で準備完了の点滅をしている。一度スキャンすれば、書類の偽造要素を検出するだろう。
Choice/24c/text,スキャナーが故障したふりをして彼らを通す
Choice/24d/text,規定通りスキャナーを使用する - 露見する危険は冒せない
Choice/24e/text,ヴィクトルに合図して見て見ぬふりをさせ、それから彼らを通す
Text/24f/text,あなたはスキャナーを叩き、眉をひそめ、もう一度叩く。「この忌々しい機械め、また調子が悪い。通っていいぞ。」
Text/250/text,安堵の表情が彼らの顔に広がる。彼らは口パクで「[color=CHARTREUSE]ありがとう[/color]」と言い、急いで通り過ぎる。
Text/251/text,あなたは彼と目を合わせ、工作員の方へ頷く。彼は工作員を見て、それからあなたを見る。
Text/252/text,彼はわざと背を向け、壁をじっと見つめる。「[color=STEEL_BLUE]スキャナーは一日中調子が悪いんだ。[/color]」
Text/253/text,工作員はすり抜けていく。ヴィクトルは何も言わないが、あなたたちは今、秘密を共有した。
Text/254/text,あなたはスキャンを実行する。機械が[color=RED]けたたましく鳴り響く[/color]。「偽造書類を検出しました。」
Text/255/text,恐怖が彼らの顔に浮かぶ。「[color=CRIMSON]お前は自分が何をしたか、分かっていない…[/color]」
Text/256/text,彼と他の警備員が詰め寄る。工作員はあなたを睨みつけながら引きずられていく。
Text/257/text,サーシャが影であなたを捕まえる。「あの工作員は、外部の連絡員に[color=CHARTREUSE]積荷目録のコピー[/color]を運んでいた。」
Text/258/text,あなたのせいで、真実がスパッドの国境を越えて広まるだろう。「[color=CHARTREUSE]あなたは本当に大きな違いを生み出した。[/color]」
Text/259/text,サーシャは目を見開く。ヴィクトルが手助けを？彼については何か感じていたんだ。彼の妻は…
Text/25a/text,彼女は言葉を濁す。思っていたよりも味方が多い。
Text/25b/text,サーシャがあなたを見つける。その表情は冷たい。あの工作員には家族がいた。家には3人の芽が。
Text/25c/text,恐怖は理解できる。しかし[color=CRIMSON]恐怖には代償が伴う[/color]。彼らは朝までに処理されるだろう。
Text/25d/text,あなたのきれいな記録がそれに見合うことを願う。
Text/25e/text,マーフィーがあなたの部屋に忍び込む。今夜、あなたの持ち場で何か騒ぎがあったと聞いたよ。
Text/25f/text,[color=CHARTREUSE]よし。これで私たちは仲間だ。[/color]もう後戻りはできない。
Text/260/text,マーフィーは顔を曇らせる。私…あなたは私たちと一緒だと思っていたのに。何があったんだ？
Text/261/text,明日のシフトは違うものになるだろう。これほどまでに危険が高まったことはない。
Text/262/text,しかし初めて、あなたは[color=CHARTREUSE]正しい側[/color]にいると感じる。それがどんな代償を伴うとしても。
Text/263/text,その工作員の顔があなたを悩ませる。彼らの家族は、なぜ彼らが家に帰ってこなかったのか、決して知ることはないだろう。
Text/264/text,[color=STEEL_BLUE]あなたのせいで。[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
