keys,ro
achievement_unlocked_title,REALIZARE DEBLOCATĂ!
achievements_menu_button,Realizări
achievements_progress_format,%d / %d Deblocate
achievement_hidden_name,???
achievement_hidden_desc,Această realizare este ascunsă până la deblocare
achievement_category_gameplay,Joc
achievement_category_resistance,Calea Rezistenței
achievement_category_loyalist,Calea Loialistului
achievement_category_character,Arcuri Personaje
achievement_category_discovery,Descoperire
achievement_rookie_officer_name,Ofițer Începător
achievement_rookie_officer_desc,Finalizează prima ta tură la graniță
achievement_veteran_officer_name,Veteran Vamal
achievement_veteran_officer_desc,Finalizează 10 ture la graniță
achievement_master_officer_name,Maestru Vamal
achievement_master_officer_desc,Finalizează 25 de ture la graniță
achievement_sharpshooter_name,Trăgător de Elită
achievement_sharpshooter_desc,Oprește 10 fugari de la graniță cu sistemul de rachete
achievement_border_defender_name,Apărător al Graniței
achievement_border_defender_desc,Oprește 50 de fugari de la graniță cu sistemul de rachete
achievement_perfect_shot_name,Lovitură Perfectă
achievement_perfect_shot_desc,Execută 5 lovituri perfecte asupra fugarilor de la graniță
achievement_high_scorer_name,Scor Mare
achievement_high_scorer_desc,Obține un scor de 10
achievement_score_legend_name,Legendă a Scorulului
achievement_score_legend_desc,Obține un scor de 50
achievement_savior_of_spud_name,Salvatorul Cartofiei
achievement_savior_of_spud_desc,Finalizează povestea și salvează națiunea
achievement_born_diplomat_name,Diplomat Înnăscut
achievement_born_diplomat_desc,Obține finalul diplomatic prin negocieri pașnice
achievement_tater_of_justice_name,Cartoful Dreptății
achievement_tater_of_justice_desc,Fă dreptate oficialilor corupți
achievement_best_served_hot_name,Cel Mai Bine Servit Fierbinte
achievement_best_served_hot_desc,Răzbună-te pe cei care ți-au greșit
achievement_down_with_tatriarchy_name,Jos cu Tatriarhia
achievement_down_with_tatriarchy_desc,Condu revoluția și răstoarnă regimul
achievement_heart_of_stone_name,Inimă de Piatră
achievement_heart_of_stone_desc,Rămâi un birocrat rece și obedient până la sfârșit
achievement_survivor_name,Supraviețuitor
achievement_survivor_desc,Fă tot ce e necesar pentru a supraviețui regimului
achievement_late_bloomer_name,Înflorit Târziu
achievement_late_bloomer_desc,Găsește răscumpărarea în ultimul moment
achievement_tommys_legacy_name,Moștenirea lui Tommy
achievement_tommys_legacy_desc,Descoperă adevărul despre soarta lui Tommy
achievement_elenas_memory_name,Memoria Elenei
achievement_elenas_memory_desc,Onorează sacrificiul Elenei și amintește-ți povestea ei
achievement_the_note_name,Notița
achievement_the_note_desc,Descoperă notița secretă și mesajul ei ascuns
achievement_root_of_evil_name,Rădăcina Răului
achievement_root_of_evil_desc,Demască corupția din inima regimului
achievement_chaos_architect_name,Arhitectul Haosului
achievement_chaos_architect_desc,Îmbrățișează haosul și privește lumea arzând
