keys,hu
violation_condition_not_fresh,ELUTASÍTÁS: Csak friss krumpli megengedett. Ez a krumpli {condition}
violation_extra_eyes,ELUTASÍTÁS: Az Extra Szemek állapot tilos
violation_rotten,ELUTASÍTÁS: A rohadt krumpli tilos
violation_sprouted,ELUTASÍTÁS: A csírázott krumpli tilos
violation_dehydrated,ELUTASÍTÁS: A dehidratált krumpli tilos
violation_frozen,ELUTASÍTÁS: A fagyasztott krumpli tilos
violation_too_old,ELUTASÍTÁS: A krumpli {age} éves (maximum életkor: 4 év)
violation_too_young_3,ELUTASÍTÁS: A krumpli {age} éves (minimum életkor: 4 év)
violation_too_young_2,ELUTASÍTÁS: A krumpli {age} éves (minimum életkor: 3 év)
violation_males_only,ELUTASÍTÁS: Csak hím krumpli megengedett
violation_females_only,ELUTASÍTÁS: Csak nőstény krumpli megengedett
violation_country_spudland,ELUTASÍTÁS: Minden Spudland krumpli tilos
violation_country_potatopia,ELUTASÍTÁS: Minden Potatopia krumpli tilos
violation_country_tuberstan,ELUTASÍTÁS: Minden Tuberstan krumpli tilos
violation_country_north_yamnea,ELUTASÍTÁS: Minden Észak-Yamnea krumpli tilos
violation_country_spuddington,ELUTASÍTÁS: Minden Spuddington krumpli tilos
violation_country_tatcross,ELUTASÍTÁS: Minden Tatcross krumpli tilos
violation_country_mash_meadows,ELUTASÍTÁS: Minden Mash Meadows krumpli tilos
violation_country_tuberville,ELUTASÍTÁS: Minden Tuberville krumpli tilos
violation_country_chip_hill,ELUTASÍTÁS: Minden Chip Hill krumpli tilos (exportkorlátozások)
violation_country_murphyland,ELUTASÍTÁS: Minden Murphyland krumpli tilos
violation_country_colcannon,ELUTASÍTÁS: Minden Colcannon krumpli tilos
violation_country_pratie_point,ELUTASÍTÁS: Minden Pratie Point krumpli tilos
violation_race_purple_majesty,ELUTASÍTÁS: A Purple Majesty típusok tilosak
violation_race_sweet_potato,ELUTASÍTÁS: Az édesburgonya típusok különleges engedélyt igényelnek (nem elérhető)
violation_race_yukon_gold,ELUTASÍTÁS: A Yukon Gold típusok tilosak
violation_expired_document,ELUTASÍTÁS: A dokumentum lejárt: {date}
violation_invalid_potato,"Ez a burgonya minden követelménynek megfelel, és jóvá kellett volna hagyni"
