keys,ar
Text/240/text,مع انتهاء وردية المساء، غادر معظم الضباط. لم يتبق سوى أنت وعدد قليل من الحراس.
Text/241/text,يقترب حارس ضخم من محطتك. اسمه فيكتور. أنا في حراسة ليلية.
Text/242/text,عيناه متعبتان، مسكونتان. أنت الجديد، أليس كذلك؟ الذي يراقبه راسيت باستمرار؟
Choice/243/text,أحاول فقط القيام بعملي. لماذا يراقبني راسيت؟
Choice/244/text,هل هناك شيء يجب أن أعرفه؟
Text/245/text,يهز كتفيه بثقل. راسيت يراقب كل من يطرح أسئلة. [color=STEEL_BLUE]زوجتي طرحت أسئلة[/color] ذات مرة.
Text/246/text,لم تعد موجودة لتسأل بعد الآن.
Text/247/text,يلقي نظرة حوله، ثم يخفض صوته. فقط... كن حذرًا بمن تثق.
Text/248/text,ومن [color=CRIMSON]تدينهم[/color]. بعضنا يتذكر كل وجه أرسلناه للمعالجة.
Text/249/text,تقترب بطاطا متوترة. تبدو الأوراق سليمة، لكنك تلاحظ [color=CHARTREUSE]دبوس الورقة الرقيق[/color] على ياقته.
Text/24a/text,"يدفعون وثائقهم عبر المنضدة. ملاحظة صغيرة مدسوسة بالداخل: ""[color=CHARTREUSE]أرسلني ساشا. طرد للشبكة. رجاءً.[/color]"""
Text/24b/text,[color=DARK_ORANGE]جهاز RealityScan[/color] الجديد يومض جاهزًا في محطتك. مسح واحد وسيكشف العناصر المزورة في أوراقهم.
Choice/24c/text,تظاهر بأن الماسح الضوئي تعطل وسمح لهم بالمرور
Choice/24d/text,استخدم الماسح الضوئي كما هو مطلوب - لا يمكنك المخاطرة بالتعرض
Choice/24e/text,أشر لفيكتور لينظر في الاتجاه الآخر، ثم اسمح لهم بالمرور
Text/24f/text,"تنقر على الماسح الضوئي، تعبس، تنقر عليه مرة أخرى. ""هذا الشيء اللعين يتعطل. تفضل بالمرور."""
Text/250/text,"يغمر الارتياح وجههم. يتمتمون بـ ""[color=CHARTREUSE]شكرًا لك[/color]"" ويمرون مسرعين."
Text/251/text,تلتقي عيناك بعينيه وتومئ نحو العميل. ينظر إليهم، ثم إليك.
Text/252/text,"يدير ظهره عمدًا، متفحصًا الجدار. ""[color=STEEL_BLUE]الماسح الضوئي كان به خلل طوال اليوم.[/color]"""
Text/253/text,يتسلل العميل. لا يقول فيكتور شيئًا، لكنكما تشاركتما سرًا الآن.
Text/254/text,"تجري المسح. الآلة [color=RED]تطلق صفيرًا عاليًا[/color]. ""تم الكشف عن وثائق مزورة."""
Text/255/text,"يرتسم الرعب على وجههم. ""[color=CRIMSON]أنت لا تفهم ما فعلته...[/color]"""
Text/256/text,يقترب هو وحراس آخرون. يُسحب العميل بعيدًا، وهو لا يزال يحدق فيك.
Text/257/text,يمسكك ساشا في الظلال. كان ذلك العميل يحمل [color=CHARTREUSE]نسخًا من البيانات[/color] إلى جهات اتصالنا في الخارج.
Text/258/text,بسببك، ستنتشر الحقيقة خارج حدود سبود. [color=CHARTREUSE]لقد أحدثت فرقًا حقيقيًا.[/color]
Text/259/text,اتسعت عينا ساشا. هل ساعد فيكتور؟ كان لدي شعور تجاهه. كانت زوجته...
Text/25a/text,تتوقف عن الكلام. لدينا حلفاء أكثر مما ظننت.
Text/25b/text,تجدك ساشا، وتعبيرات وجهها باردة. كان لذلك العميل عائلة. ثلاثة براعم في المنزل.
Text/25c/text,أنا أتفهم الخوف. لكن [color=CRIMSON]للخوف عواقب[/color]. سيتم التعامل معهم بحلول الصباح.
Text/25d/text,آمل أن يكون سجلك النظيف يستحق ذلك.
Text/25e/text,يتسلل مورفي إلى غرفتك. سمعت أن هناك بعض الإثارة في محطتك الليلة.
Text/25f/text,[color=CHARTREUSE]جيد. نحن في هذا معًا الآن.[/color] لا رجوع.
Text/260/text,تتغير ملامح مورفي. أنا... ظننت أنك معنا. ماذا حدث؟
Text/261/text,نوبة الغد ستكون مختلفة. لم تكن المخاطر أعلى من أي وقت مضى.
Text/262/text,ولكن للمرة الأولى، تشعر أنك في [color=CHARTREUSE]الجانب الصحيح[/color]. مهما كلف ذلك.
Text/263/text,يطاردك وجه العميل. لن تعرف عائلتهم أبدًا لماذا لم يعودوا إلى المنزل.
Text/264/text,[color=STEEL_BLUE]بسببك.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
