keys,uk
Text/117/text,Блокпост перетворився на військовий аванпост. Елітні охоронці у чорній формі патрулюють з виставленою напоказ зброєю.
Text/118/text,"Я Начальник служби безпеки Юкон, відряджений зі столиці Прем'єр-міністром Айдахо."
Text/119/text,Розвідка повідомляє: [pulse freq=2][color=YELLOW]терористична атака неминуча[/color][/pulse]. «Опір» планує проникнути завтра.
Text/11a/text,Усі офіцери пройдуть [wave amp=15 freq=2][color=DARK_ORANGE]перевірку на лояльність[/color][/wave]. Підозріла поведінка означає затримання та [color=DARK_VIOLET]обробку[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]Повна співпраця[/color][/tornado] зі Службою безпеки є обов'язковою. Мої звіти про кожного з вас були надані Начальнику.
Text/11c/text,"Погляд Рассета незручно затримується на вас, перш ніж перейти далі."
Text/11d/text,Це [color=DARK_ORANGE]IdentityScan 5000[/color]. Він аналізує біометричні дані для виявлення інфільтрантів та співчуваючих.
Text/11e/text,"Кожен, хто спрацює сканер, зіткнеться з [color=CRIMSON]посиленим допитом[/color]. Використовуйте його без винятків."
Text/11f/text,Ти бачив Сашу? Вона не з'явилася на перекличку. Минулої ночі [color=CRIMSON]сили безпеки увійшли до її помешкання[/color].
Text/120/text,"Кажуть, вона була частиною [pulse freq=2][color=CHARTREUSE]опору[/color][/pulse]."
Choice/121/text,"""Нам не варто про це говорити. Це небезпечно."""
Choice/122/text,"""Я теж за неї хвилююся. Це неправильно."""
Text/123/text,Ти правий. Але будь обережний. Вони шукають зв'язки з нею.
Text/124/text,"Отже, ти був близький? Будь обережний. Вони можуть стежити і за тобою."
Text/125/text,"Офіцер підсовує вам записку: ""[color=YELLOW]Прибери зі свого робочого місця все підозріле.[/color]"""
Text/126/text,Ви працюєте на цьому блокпості вже досить давно. Цікавий послужний список.
Text/127/text,"Вас часто бачили з офіцером Сашею, яка зараз під слідством за [wave amp=20 freq=3][color=CRIMSON]зраду[/color][/wave]."
Text/128/text,"Начальник нахиляється вперед. Чи є щось, що ви хотіли б мені розповісти про її діяльність?"
Choice/129/text,"""Ми з Сашею були просто колегами. Я нічого не знаю про неї поза роботою."""
Choice/12a/text,"""Я збирав докази її підозрілої діяльності, щоб повідомити пізніше."""
Text/12b/text,Багато свідків стверджують інше. Однак без конкретних доказів я не можу вас затримати. [color=YELLOW]Поки що.[/color]
Text/12c/text,"Ви будете під [color=CRIMSON]пильним наглядом[/color]. Одна помилка, і ви [color=DARK_VIOLET]приєднаєтеся до Саші[/color]."
Text/12d/text,Як зручно. І все ж ви не подавали жодних звітів досі.
Text/12e/text,"Ви надасте повну заяву. Якщо ваша інформація виявиться цінною, можливо, ми проігноруємо ваше запізніле повідомлення."
Text/12f/text,Сьогодні я буду [color=CRIMSON]контролювати вашу роботу[/color]. Кожен подорожуючий має бути ідентифікований сканером. [color=RED]Жодних винятків[/color].
Text/130/text,"Сашу схопили. План опору [color=CRIMSON]скомпрометований[/color]. З огляду на підвищену пильність охорони, їхні шанси здаються безнадійними."
Choice/121/disabled_text,
Choice/122/disabled_text,
Choice/129/disabled_text,
Choice/12a/disabled_text,
