keys,zh-TW
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - 更新說明
patch_1_2_0_personal_note_header,開發者寄語
patch_1_2_0_personal_note,"本次更新獻給我家的小寶貝，他在新生兒加護病房（NICU）度過了生命最初的幾個月——從出生時的1磅，到現在20磅的純粹喜悅。感謝所有加入這段旅程的玩家——超過2,000名玩家已經體驗了《Spud Customs》！"
patch_1_2_0_visual_header,視覺強化
patch_1_2_0_visual_1,動畫美術整合：將StagNation製作的新動畫GIF整合到開場畫面中
patch_1_2_0_visual_2,美術翻新：重新繪製了玩家會看到的前五個場景，以提升視覺品質
patch_1_2_0_visual_3,動態背景：背景視覺效果現在會隨著難度增加而變化
patch_1_2_0_story_header,故事與敘事
patch_1_2_0_story_1,選擇延續：敘事選擇現在能正確地在所有關卡中延續
patch_1_2_0_story_2,視覺化進度：在主要遊戲場景中，根據當前班次號碼增加了故事進度的視覺化指示
patch_1_2_0_story_3,分支對話修正：修正了最終敘事場景中分支對話的問題
patch_1_2_0_bugfix_header,錯誤修正
patch_1_2_0_bugfix_1,成就系統：修正了成就追蹤問題——所有成就現在都能正常解鎖
patch_1_2_0_bugfix_2,排行榜：修正了排行榜卡在載入畫面的問題
patch_1_2_0_bugfix_3,畫面震動：畫面震動在每次使用後現在能正確地重設回原點
patch_1_2_0_bugfix_4,難度調整：修正了簡單模式的縮放係數
patch_1_2_0_bugfix_5,背景顯示：修正了對話場景中背景缺失的問題
patch_1_2_0_bugfix_6,文字可讀性：改進了文字顏色以提高可讀性
patch_1_2_0_engagement_header,玩家參與
patch_1_2_0_engagement_1,評論請求：為試玩版和完整版玩家增加了評論提示
patch_1_2_0_engagement_2,翻譯修正：針對所有支援語言進行了多項翻譯改進
patch_1_2_0_technical_header,技術改進
patch_1_2_0_technical_1,擴展語言支援：現在支援所有31種Steam支援的語言
patch_1_2_0_technical_2,翻譯系統翻新：重新組織了翻譯檔案以提高可維護性
