keys,en,ar,bg,cs,da,de,el,es,es-419,fi,fr,hu,id,it,ja,ko,nl,no,pl,pt,pt-BR,ro,ru,sk,sv,th,tr,uk,vi,zh-CN,zh-TW
Text/299_suppress1/text,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.,Chaos erupts as the resistance attack begins. Explosions rock the checkpoint.
Text/299_suppress2/text,"You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color].","You could run. You could hide. Instead, you [color=DARK_ORANGE]choose your side[/color]."
Text/299_suppress3/text,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!,Russet grabs your arm. [pulse freq=2][color=YELLOW]NOW'S YOUR CHANCE![/color][/pulse] Prove your loyalty!
Text/299_suppress4/text,The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color],The resistance is trying to breach the east gate! [color=CRIMSON]Stop them![/color]
Text/299_suppress5/text,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.,You grip your weapon. These could be people you know. People you've helped.
Text/299_suppress6/text,But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color],But survival has a price. [color=DARK_ORANGE]You've made your choice.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!,[pulse freq=3][color=CRIMSON]Fight for the state![/color][/pulse] Suppress the resistance attack!
Text/299_suppress8/text,"When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges.","When the smoke clears, bodies litter the ground. Some wear resistance badges."
Text/299_suppress9/text,[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color],[color=STEEL_BLUE]You recognize faces among the fallen.[/color]
Text/299_suppress10/text,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.,Murphy lies among the dead. His eyes stare at nothing. Tommy's photo clutched in his hand.
