keys,es-419
dialogue_spud_being_called_1,"Próxima papa, tu destino te espera."
dialogue_spud_being_called_2,"Al frente de la fila, el momento de la verdad se acerca."
dialogue_spud_being_called_3,"Un paso al frente, elegido de la estirpe de los tubérculos."
dialogue_spud_being_called_4,¡Felicitaciones! Tu espera ha tenido éxito.
dialogue_spud_being_called_5,La Gran Burocracia de la Papa te convoca.
dialogue_spud_being_called_6,"¡Avance, noble tubérculo! ¡Los papeles esperan!"
dialogue_spud_being_called_7,¡Adelante! El sello se impacienta.
dialogue_spud_being_called_8,¡Paso ligero! El formulario P-38B necesita ser llenado.
dialogue_spud_being_called_9,"Acérquese, el destino exige su ingreso."
dialogue_spud_being_called_10,"Acérquese al mostrador del juicio, papa."
dialogue_spud_in_office_1,"Por favor, sea paciente. El tiempo es una ilusión."
dialogue_spud_in_office_2,Esperar forja el carácter. Y el almidón.
dialogue_spud_in_office_3,La fila se mueve de maneras misteriosas.
dialogue_spud_in_office_4,Su posición ha sido registrada por las autoridades.
dialogue_spud_in_office_5,Hacer fila: la constante universal.
dialogue_spud_in_office_6,Ninguna papa está lista hasta que es sazonada por la espera.
dialogue_spud_in_office_7,"Paciencia: no es la única virtud, pero está en la lista."
dialogue_spud_in_office_8,Las ruedas burocráticas giran lentamente. Muy lentamente.
dialogue_spud_in_office_9,"¡Ah, el dulce sonido del procedimiento!"
dialogue_spud_in_office_10,La fila de hoy es la anécdota de mañana.
dialogue_spud_in_office_11,El tiempo en las filas se curva. Ha sido medido.
dialogue_spud_in_office_12,Habilidad de espera: ¡Nivel 43 alcanzado!
dialogue_warnings_1,Los que se opongan serán pelados con precisión.
dialogue_warnings_2,Colados enviados a Procesamiento Exprés.
dialogue_warnings_3,La interrupción de la fila merece sermones sobre filas.
dialogue_warnings_4,La insubordinación lleva a la Sala del Aceite Caliente.
dialogue_warnings_5,"No tenemos que ser justos, solo organizados."
dialogue_warnings_6,El Comité de Cumplimiento de Papas lo ve todo.
dialogue_warnings_7,Alborotadores: puré sin mantequilla.
dialogue_warnings_8,Los causantes de caos se convierten en hash browns. Rápidamente.
dialogue_warnings_9,Los infractores de las reglas se enfrentan al estado de doble horneado.
dialogue_warnings_10,Los Auditores de Fila han marcado tu existencia.
dialogue_warnings_11,Tu expediente: marcado con EL sello rojo.
dialogue_misc_1,¿Dónde están todos?
dialogue_misc_2,¿Emergencia? Continúe esperando en orden.
dialogue_misc_3,¿Leyó el párrafo siete del acuerdo de espera?
dialogue_misc_4,"Objetos perdidos: hallados, gravados, extraviados."
dialogue_misc_5,"Si una papa se queja, ¿hace ruido?"
dialogue_misc_6,Luz reemplazada por letrero: 'Más Túnel.'
dialogue_misc_7,La muerte es temporal. La burocracia es eterna.
dialogue_misc_8,El sistema de archivo alcanzó la consciencia. Mantenga la calma.
dialogue_misc_9,Los números de la suerte de hoy no significan nada. Lo sentimos.
dialogue_misc_10,"¿Apocalipsis? Tome un número, espere para desaparecer."
dialogue_misc_11,Sin pruebas significa que se requieren más formularios.
dialogue_document_interaction_1,"Tome sus documentos, por favor."
dialogue_document_interaction_2,¡TÓMELOS!
dialogue_perfect_stamp_1,¡Excelente trabajo!
dialogue_perfect_stamp_2,¡ASÍ es como se sella!
dialogue_perfect_stamp_3,¡Precisión en su máxima expresión!
dialogue_perfect_stamp_4,¡Los dioses del sello te sonríen!
dialogue_perfect_stamp_5,¡Técnica de manual!
dialogue_runner_stopped_1,¡TE ATRAPÉ!
dialogue_runner_stopped_2,¡Conmigo no!
dialogue_runner_stopped_3,"¡Justicia servida, caliente y fresca!"
dialogue_runner_stopped_4,¡Eso es lo que les pasa a los fugitivos!
dialogue_runner_stopped_5,¡Objetivo eliminado!
dialogue_runner_escaped_1,¡Maldición! ¡Se escaparon!
dialogue_runner_escaped_2,¡Maldita sea! ¡Demasiado lento!
dialogue_runner_escaped_3,Ese se me escapó...
dialogue_runner_escaped_4,El papeleo para esto...
dialogue_runner_escaped_5,No es mi mejor momento.
dialogue_wrong_stamp_1,"Espera, eso no está bien..."
dialogue_wrong_stamp_2,"Mmm, ¿quise hacer eso?"
dialogue_wrong_stamp_3,¡La tinta... me traiciona!
dialogue_wrong_stamp_4,Ups.
dialogue_strike_received_1,Eso irá a mi expediente...
dialogue_strike_received_2,Al Ministerio no le gustará esto.
dialogue_strike_received_3,Un paso más cerca de ser puré...
dialogue_strike_received_4,¡Strike! Pero no del bueno.
