keys,vi
Text/215/text,"Murphy chặn bạn ở hành lang, mắt đỏ hoe. Có rảnh phút nào không?"
Text/216/text,Murphy kéo bạn vào một phòng kho trống và đóng cửa lại.
Text/217/text,Cái trò đùa tôi kể ở nhà ăn ấy... về việc anh họ tôi nằm trong lô hàng [color=DARK_VIOLET]Khu Dự Trữ Gốc[/color]...
Text/218/text,Giọng Murphy nghẹn lại. Tôi không nghĩ đó còn là trò đùa nữa.
Text/219/text,Bạn nói nó không buồn cười. Bạn đã đúng. [color=STEEL_BLUE]Chẳng có gì về chuyện này là buồn cười cả.[/color]
Text/21a/text,"Tôi thấy bạn rời đi. Khôn ngoan đấy. Tôi ước gì mình có thể ngừng ăn thứ đó, nhưng họ [color=YELLOW]theo dõi[/color]. Họ luôn theo dõi."
Text/21b/text,"Tôi tìm thấy thứ gì đó trong đồ đạc của anh họ tôi. Đơn từ chối của anh ấy. Mấy thứ tiêu chuẩn thôi, nhưng..."
Text/21c/text,"Murphy rút ra một tờ đơn nhàu nát. Nhìn vào mã xử lý này. ""[color=CRIMSON]RR-UTIL-7[/color]."""
Text/21d/text,Tôi đã tra nó trong kho lưu trữ. RR là viết tắt của [pulse freq=2][color=DARK_VIOLET]Khu Dự Trữ Gốc[/color][/pulse]. UTIL nghĩa là... [color=CRIMSON]tận dụng[/color].
Text/21d_breakdown1/text,[wave amp=20 freq=3]Tay Murphy bắt đầu run rẩy.[/wave] Anh họ tôi... Tommy... anh ấy mới hai mươi ba tuổi.
Text/21d_breakdown2/text,Anh ấy đến đây để tìm một [color=CHARTREUSE]cuộc sống tốt đẹp hơn[/color]. Trượt một lần kiểm tra. Một lần thôi. [color=STEEL_BLUE]Chỉ là sai thời điểm.[/color]
Text/21d_breakdown3/text,"Murphy trượt xuống tường, úp mặt vào tay. Và tôi... tôi đã [tornado radius=3 freq=2][color=CRIMSON]ĂN[/color][/tornado] thứ đó. Mỗi ngày."
Text/21d_breakdown4/text,"Murphy nhìn lên bạn, nước mắt giàn giụa. [pulse freq=2][color=CRIMSON]Nếu tôi đã ăn ANH ẤY thì sao?[/color][/pulse]"
Choice/21e/text,Murphy... tôi rất tiếc. Tôi ở bên bạn. Chúng ta sẽ cùng nhau tìm ra sự thật.
Choice/21f/text,"Murphy, chuyện này nguy hiểm. Chúng ta nên tránh xa nó."
Choice/220/text,Có lẽ chỉ là trùng hợp thôi. Đừng vội kết luận.
Text/221_comfort1/text,"Bạn quỳ xuống cạnh Murphy, đặt tay lên vai anh ấy."
Text/221/text,Murphy nắm chặt tay bạn như một chiếc phao cứu sinh. [color=CHARTREUSE]Cảm ơn bạn.[/color] Tôi cứ nghĩ mình sắp phát điên rồi.
Text/221_tommy/text,[color=STEEL_BLUE]Giọng anh ấy ổn định hơn một chút.[/color] Vì Tommy. Chúng ta làm điều này vì Tommy. Và tất cả những người khác mà họ đã bắt đi.
Text/222/text,Cũng có những người khác nghi ngờ. Sasha đã tập hợp mọi người. Tôi nghĩ cô ấy tin tưởng bạn.
Text/223/text,"Murphy lau mắt, cố gắng trấn tĩnh. Ừ. Ừ, bạn có lẽ đúng. Quên những gì tôi đã nói đi."
Text/224/text,Nhưng nếu bạn đổi ý... tôi sẽ ở đây. [color=STEEL_BLUE]Một mình với những câu hỏi của tôi. Và những cơn ác mộng của tôi.[/color]
