keys,da
LAWS,LOVE
_VALIDATION MESSAGES,
msg_not_fresh,"Kartoflen var %s, men skal være frisk"
msg_extra_eyes,"Kartoflen havde Ekstra Øjne, hvilket er forbudt"
msg_rotten,Rådne kartofler er ikke tilladt
msg_sprouted,Spirede kartofler er ikke tilladt
msg_dehydrated,Dehydrerede kartofler er ikke tilladt i dag
msg_frozen,Frosne kartofler er forbudt
msg_over_age,Kartoflen er %d år gammel (maks 5 år)
msg_under_age,Kartoflen er %d år gammel (skal være over 3 år)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]KUN friske[/color] kartofler tilladt - [color=dark_red]AFVIS[/color] alle andre
law_extra_eyes,[color=dark_goldenrod]Ekstra Øjne[/color] tilstand kartofler skal [color=dark_red]AFVISES[/color]
law_rotten,[color=dark_goldenrod]Rådne[/color] kartofler skal [color=dark_red]AFVISES[/color]
law_sprouted,[color=dark_goldenrod]Spirede[/color] kartofler skal [color=dark_red]AFVISES[/color]
law_dehydrated,[color=dark_goldenrod]Dehydrerede[/color] kartofler skal [color=dark_red]AFVISES[/color]
law_frozen,[color=dark_goldenrod]Frosne[/color] kartofler skal [color=dark_red]AFVISES[/color]
law_over_5_years,Kartofler [color=dark_goldenrod]5 år eller ældre[/color] skal [color=dark_red]AFVISES[/color]
law_under_3_years,Kartofler [color=dark_goldenrod]3 år eller yngre[/color] skal [color=dark_red]AFVISES[/color]
law_under_2_years,Kartofler [color=dark_goldenrod]2 år eller yngre[/color] skal [color=dark_red]AFVISES[/color]
law_males_only,[color=dark_goldenrod]KUN mandlige[/color] kartofler tilladt - [color=dark_red]AFVIS[/color] alle kvindelige
law_females_only,[color=dark_goldenrod]KUN kvindelige[/color] kartofler tilladt - [color=dark_red]AFVIS[/color] alle mandlige
law_country_spudland,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Spudland[/color] skal [color=dark_red]AFVISES[/color]
law_country_potatopia,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Potatopia[/color] skal [color=dark_red]AFVISES[/color]
law_country_tuberstan,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Tuberstan[/color] skal [color=dark_red]AFVISES[/color]
law_country_north_yamnea,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Nord Yamnea[/color] skal [color=dark_red]AFVISES[/color]
law_country_spuddington,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Spuddington[/color] skal [color=dark_red]AFVISES[/color]
law_country_tatcross,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Tatcross[/color] skal [color=dark_red]AFVISES[/color]
law_country_mash_meadows,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Mash Meadows[/color] skal [color=dark_red]AFVISES[/color]
law_country_tuberville,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Tuberville[/color] skal [color=dark_red]AFVISES[/color]
law_country_chip_hill,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Chip Hill[/color] skal [color=dark_red]AFVISES[/color] (eksportforbud)
law_country_murphyland,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Murphyland[/color] skal [color=dark_red]AFVISES[/color]
law_country_colcannon,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Colcannon[/color] skal [color=dark_red]AFVISES[/color]
law_country_pratie_point,[color=dark_goldenrod]ALLE[/color] kartofler fra [color=dark_goldenrod]Pratie Point[/color] skal [color=dark_red]AFVISES[/color]
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] kartoffel typer skal [color=dark_red]AFVISES[/color]
law_sweet_potatoes,[color=dark_goldenrod]Sød Kartoffel[/color] typer skal [color=dark_red]AFVISES[/color] (ingen tilladelser tilgængelige)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] kartoffel typer skal [color=dark_red]AFVISES[/color]
law_fingerling,[color=dark_goldenrod]Fingerling[/color] kartoffel typer skal [color=dark_red]AFVISES[/color]
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] kartoffel typer skal [color=dark_red]AFVISES[/color]
law_russet,[color=dark_goldenrod]Russet[/color] kartoffel typer skal [color=dark_red]AFVISES[/color]
